rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,1,6,182924,Harry Styles,['pop'],As It Was,major,3.310305357,0.160915598,0.839084387,5.326809883,4.961022854,1.089622855,0.459332168,0.540667892,0.926098764,0.073901244,0.746894538,0.253105432,0.247354746,0.752645254
2,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,2,4,22,131149,Eden Hason,['israeli mediterranean'],מה פספסתי,minor,4.293644428,0.139168993,0.860831022,4.630846977,4.597428322,1.363166094,0.310677171,0.689322829,0.820390224,0.179609776,0.51271081,0.48728919,0.641640127,0.358359843
3,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,3,16,130824,שחר סאול,['israeli hip hop'],דובשנייה,minor,3.964644909,0.163175389,0.836824656,4.589770317,4.657296181,1.06415987,0.334880561,0.665119469,0.762775898,0.237224072,0.350500375,0.649499655,0.43742457,0.562575459
4,spotify:track:3fCS3m3uWUgAFm3purs15C,Anna Zak,לך לישון,ITModels under exclusive license to D-Music,1,2,18,117700,Anna Zak,['israeli pop'],לך לישון,minor,4.072952747,0.054815773,0.945184171,4.506355286,4.50252533,1.422402859,0.174100265,0.82589978,0.719410956,0.280589074,0.393747896,0.606252074,0.275351375,0.724648654
5,spotify:track:1XGmzt0PVuFgQYYnV2It7A,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,5,69,12,111702,Maroon 5,['pop'],Overexposed Track By Track,major,6.141720772,0.128911585,0.871088386,4.519627571,5.017762184,1.07105577,0.495490849,0.504509151,0.777520001,0.222480029,0.454600573,0.545399487,0.511554837,0.488445133
6,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,5,67,109349,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels),major,5.493142605,0.138685629,0.861314416,5.488412857,5.350234985,1.042759538,0.264210075,0.735789895,0.924473524,0.075526506,0.578078628,0.421921313,0.140628174,0.859371841
7,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,7,21,108479,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,minor,4.27933073,0.08757139,0.912428617,4.415838242,4.427283287,1.369568229,0.608197689,0.391802281,0.795448422,0.204551563,0.621115446,0.378884554,0.414392889,0.585607052
8,spotify:track:4gbVRS8gloEluzf0GzDOFc,Maroon 5,Maps,Interscope Records*,8,89,7,102517,Maroon 5,['pop'],V,minor,3.535432816,0.246403024,0.753597021,4.906984329,4.902053833,1.102705598,0.261114419,0.738885581,0.766558051,0.233441934,0.509466887,0.490533084,0.340087354,0.659912705
9,spotify:track:4DgyTAwiSJsT5u5EljsImB,"Noa Kirel, Itay Galo",פעמון,Noa Kirel / Itay Galo under exclusive license to NMC United Entertainment Ltd.,4,6,8,101472,Noa Kirel,['israeli pop'],פעמון,minor,3.649940729,0.065301985,0.934697986,3.632748604,4.537823677,1.264102459,0.153481379,0.846518576,0.607162416,0.392837644,0.117114834,0.882885158,0.845528305,0.154471755
10,spotify:track:6ECp64rv50XVz93WvxXMGF,Maroon 5,This Love,Interscope Records*,10,192,2,99743,Maroon 5,['pop'],Songs About Jane: 10th Anniversary Edition,major,4.259316921,0.005968451,0.994031489,3.616343498,4.599684715,1.229076982,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205
11,spotify:track:05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,9,14,98992,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבד על המיטה,minor,4.11300993,0.217655987,0.782343984,5.753742695,5.249101639,0.974477708,0.393967986,0.606032014,0.920706928,0.079293087,0.79062897,0.20937109,0.215580672,0.784419358
12,spotify:track:4OuoS8NAur7tj6rMDpTVjJ,Maya Dadon,כמו שאני,Icon Artist Management under exclusive license to D-Music,8,8,7,96660,Maya Dadon,['israeli pop'],כמו שאני,major,4.784235001,0.005196805,0.994803131,3.791214943,4.807648659,1.046351552,0.084787861,0.915212095,0.331367463,0.668632567,0.02072362,0.979276419,0.719648719,0.280351311
13,spotify:track:4cktbXiXOapiLBMprHFErI,Maroon 5,Memories,Interscope Records*,8,104,95,95027,Maroon 5,['pop'],JORDI (Deluxe),major,3.076124191,0.261626005,0.738373995,5.117108345,5.012565136,1.126097202,0.428866297,0.571133733,0.937994421,0.062005628,0.621860862,0.378139168,0.214432076,0.785567939
14,spotify:track:1ZEsqzNBQqyC7VLRTUDopj,"Mor, Avi Aburomi",חצי שלי,2022 Avi Aburomi & Sarit Productions BY PIL LTD,10,10,7,94762,Mor,['israeli pop'],חצי שלי,major,7.250547409,0.102632359,0.897367656,3.81439352,3.903163671,1.081082702,0.319940627,0.680059373,0.610390723,0.389609337,0.332997799,0.667002201,0.466616571,0.533383429
15,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,15,16,5,93318,Jack Harlow,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",Come Home The Kids Miss You,major,4.007388115,0.190104425,0.809895515,3.727621555,3.938831806,1.108407021,0.216519475,0.783480465,0.595559418,0.404440582,0.347130507,0.652869523,0.543924689,0.456075341
16,spotify:track:6so2IwKQyYFkNv1G0FrZ95,Nunu,ליבינג דה דרים,Neomi Aharoni Gal under exclusive license to D-Music,9,11,11,91078,Nunu,['israeli hip hop'],ליבינג דה דרים,minor,5.134684086,0.052343968,0.947656095,3.873627186,4.563082695,1.046015978,0.188002884,0.811997116,0.505071342,0.494928598,0.1477952,0.8522048,0.622283697,0.377716362
17,spotify:track:2iuZJX9X9P0GKaE93xcPjk,Maroon 5,Sugar,Interscope Records*,17,171,2,89864,Maroon 5,['pop'],V,major,4.894383907,0.037220757,0.962779224,4.139127254,4.924162865,1.138798475,0.13109763,0.868902385,0.525220096,0.474779904,0.104779221,0.895220757,0.715069771,0.284930229
18,spotify:track:4N8FwcfRTju02qsgn9Mcl8,Eden Hason,בואי נישן על זה,Mobile1 Music,17,17,4,88866,Eden Hason,['israeli mediterranean'],בואי נישן על זה,major,5.30604887,0.009956375,0.99004364,4.062847614,4.962136269,1.060719609,0.079011425,0.92098856,0.39696303,0.60303694,0.045224536,0.954775512,0.733552217,0.266447783
19,spotify:track:5zFglKYiknIxks8geR8rcL,"Maroon 5, Megan Thee Stallion",Beautiful Mistakes (feat. Megan Thee Stallion),Interscope Records*,19,121,47,88691,Maroon 5,['pop'],JORDI (Deluxe),major,2.54968810081482,0.18439975,0.8156003,5.1678267,5.073457,1.1311651468276978,0.37653923,0.6234607,0.9056443,0.094355695,0.5709962,0.42900383,0.30518535,0.6948147
20,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,7,12,38,86981,Farruko,"['reggaeton', 'trap latino', 'urbano latino']",La 167,major,3.294902563,0.009907947,0.99009198,5.168691635,6.044807434,1.217938066,0.712237298,0.287762702,0.925648212,0.074351855,0.41146788,0.58853209,0.565504909,0.434495062
21,spotify:track:2bL2gyO6kBdLkNSkxXNh6x,Maroon 5,Animals,Interscope Records*,21,129,5,86968,Maroon 5,['pop'],V,major,4.399577618,0.090370484,0.909629524,4.660458565,5.068646908,1.091766596,0.760693073,0.239306927,0.868336499,0.131663561,0.640382051,0.359617889,0.252512157,0.747487903
22,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,14,15,15,85770,Elley Duhé,['alt z'],MIDDLE OF THE NIGHT,minor,3.295067549,0.076513156,0.923486829,4.403563976,4.55774641,1.077157259,0.504121184,0.495878786,0.781428397,0.218571588,0.560177803,0.439822227,0.616876662,0.383123398
23,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,23,128,2,84411,Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",About Damn Time,minor,7.391877651,0.005968451,0.994031489,3.616343498,4.599684715,1.332345366,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205
24,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,1,13,28,79463,Imagine Dragons,"['modern rock', 'pop', 'rock']",Mercury - Act 1,minor,5.881545544,0.164788857,0.835211158,4.296952248,4.092489243,1.156071067,0.2445959,0.755404115,0.645725489,0.354274541,0.455577999,0.54442203,0.581859171,0.418140858
25,spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,18,20,31,77764,Lost Frequencies,"['belgian edm', 'edm', 'pop dance', 'tropical house']",Where Are You Now,minor,5.782729626,0.04425386,0.955746174,4.293297768,5.022206306,1.182482958,0.220231637,0.779768407,0.510230362,0.489769578,0.139066279,0.860933781,0.59721446,0.40278554
26,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,7,19,24,77367,אודיה,['israeli pop'],אם הייתי צריכה,major,5.863355637,0.007756138,0.992243826,3.821069479,4.850969315,1.061436653,0.032624234,0.967375815,0.312055141,0.687944829,0.016869349,0.983130693,0.863400698,0.136599228
27,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,2,21,44,76476,The Kid LAROI,['australian hip hop'],F*CK LOVE 3: OVER YOU,major,5.343758106,0.079311222,0.920688748,3.979289532,4.325668335,1.23449564,0.239715278,0.760284781,0.509670138,0.490329891,0.235030159,0.764969826,0.502395868,0.497604162
28,spotify:track:70Vsir4Wan3TrEzGCIZy0l,Eden Hason,ככה כל יום,Mobile1 Music,9,18,13,75766,Eden Hason,['israeli mediterranean'],ככה כל יום,major,4.371749401,0.127337798,0.872662127,4.189071655,4.407419205,1.065854073,0.304840684,0.695159256,0.709415376,0.290584564,0.390233636,0.609766364,0.285353512,0.714646459
29,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,14,46,75407,Narkis,['israeli pop'],הולכת איתך,minor,3.609241009,0.154768333,0.845231652,4.785598755,4.661478043,1.257127643,0.611608028,0.388391912,0.874232173,0.125767842,0.710894883,0.289105088,0.195335925,0.804664075
30,spotify:track:7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,22,28,74946,Eden Hason,['israeli mediterranean'],אלבום 2,minor,4.583694935,0.170147389,0.829852581,4.831208229,4.795700073,1.180605769,0.10492485,0.895075202,0.662897229,0.337102801,0.28271085,0.71728915,0.514743268,0.485256732
31,spotify:track:6cpk00i5TxCqSeqNi2HuIe,Maroon 5,One More Night,Interscope Records*,31,-1,1,73380,Maroon 5,['pop'],Overexposed Track By Track,major,2.818160534,0.271817595,0.728182435,4.951915741,4.714977741,1.089999318,0.28187272,0.71812731,0.858170688,0.141829371,0.464991391,0.535008609,0.661132634,0.338867337
32,spotify:track:4llK75pXNWZz6KAho2Gp16,Maroon 5,She Will Be Loved - Radio Mix,Interscope Records*,32,-1,1,73202,Maroon 5,['pop'],Songs About Jane: 10th Anniversary Edition,major,2.991436958,0.19343859,0.80656141,6.166779518,5.661346912,1.065918326,0.543795526,0.456204474,0.96788913,0.032110844,0.756187856,0.243812114,0.202593774,0.797406197
