rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party
21,spotify:track:4F5i9rkN4DBMysvhzzEHoh,"Eden Ben Zaken, Eden Hason",פילטרים יפים,Sarit Productions LTD / A.M Music Productions LTD under exclusive license to D-Music,15,19,5,84907,major,4.470267773,0.005968451,0.994031489,3.616343498,4.599684715,1.096340299,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205
22,spotify:track:3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,20,69,84501,major,7.227883339,0.028921813,0.971078157,4.848984718,5.560963631,1.101805925,0.225497901,0.774502158,0.483888745,0.516111255,0.14242056,0.85757947,0.629055321,0.370944679
23,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,23,24,5,81533,major,5.801971436,0.007914848,0.992085159,3.78188324,4.68830204,1.021230698,0.050327238,0.949672818,0.363684922,0.636315107,0.028077628,0.971922398,0.785275698,0.214724317
24,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,9,23,22,81396,major,4.573262691,0.192926988,0.807072997,3.922207117,4.115914345,1.452941418,0.236922234,0.763077796,0.543217361,0.456782639,0.243856832,0.756143212,0.542777061,0.457222939
25,spotify:track:66iaD8MCoVnBtqUhuzdglT,Ran Danker,בית משוגעים,NMC United Entertainment Ltd.,1,22,44,75510,minor,3.777141571,0.332325608,0.667674363,4.773498535,4.607159138,1.177503109,0.368362457,0.631637573,0.828982711,0.171017274,0.520962059,0.47903797,0.399316341,0.600683689
26,spotify:track:0w4e9A0KryKlPySPdyZQDC,"NOROZ, Ido B & Zooki",מגבת באוויר,NOROZ under exclusive license to D-Music,9,26,18,70137,minor,3.6986474990844727,0.005968451,0.9940315,3.6163435,4.5996847,1.194880723953247,0.042205974,0.957794,0.36111858,0.63888144,0.024102194,0.97589785,0.83382684,0.1661732
27,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,36,41,69702,minor,4.281065464019775,0.005971651,0.99402833,3.6166868,4.600338,1.0941507816314695,0.04219332,0.9578067,0.36112455,0.6388754,0.024097236,0.97590274,0.83378845,0.16621156
28,spotify:track:6sADtPKtORAMZP3GQhOsHv,Ishay Ribo,סיבת הסיבות,2021 Ishay Ribo BY PIL LTD,8,28,45,69232,major,4.479908943,0.076086812,0.923913181,4.293476582,4.428977966,1.185822725,0.221626908,0.778373122,0.54788208,0.45211795,0.334431797,0.665568233,0.522257864,0.477742106
29,spotify:track:7lwBfnN8IVlP6WW702pGH0,"Omer Adam, Tuna",סחרחורת & בדד,P.A.I LTD \ איתי זבולון,7,25,16,68249,minor,3.697585105895996,0.1286194,0.87138057,4.8978033,5.0264673,1.2986238,0.6057809,0.39421907,0.9302255,0.0697745,0.58576596,0.41423404,0.26943025,0.7305698
30,spotify:track:4qAHhdpiGcbzqwjqmwuXwj,Raviv Kaner,רסיסים,Tedy Productions under exclusive license to D-Music,1,27,76,67900,major,5.685647011,0.005968451,0.994031489,3.616343498,4.599684715,1.044946551,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205
31,spotify:track:4Ow0gCGxYfOcyiCuZOt9mp,Avraham Tal,שבוע טוב,Digistage,17,30,82,66866,minor,3.898169518,0.229303688,0.770696282,5.2663908,5.174072266,1.126849532,0.204899743,0.795100212,0.852350771,0.147649199,0.50439781,0.49560219,0.321135104,0.678864896
32,spotify:track:6J8hw9Lcrp3zxk9J7s5RmH,Itay Levi,אני כבר לא בך,Mobile1 Music,31,31,3,65061,major,6.800208569,0.243218288,0.756781757,5.081950188,4.965181351,1.088716626,0.182048932,0.817951083,0.747994721,0.252005339,0.480346233,0.519653797,0.285568237,0.714431703
33,spotify:track:7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,29,10,64925,minor,4.583694935,0.170147389,0.829852581,4.831208229,4.795700073,1.180605769,0.10492485,0.895075202,0.662897229,0.337102801,0.28271085,0.71728915,0.514743268,0.485256732
34,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,33,33,4,64728,minor,4.293644428,0.139168993,0.860831022,4.630846977,4.597428322,1.363166094,0.310677171,0.689322829,0.820390224,0.179609776,0.51271081,0.48728919,0.641640127,0.358359843
35,spotify:track:0Cq5UOSrvfzJN5pUWx8Prb,Ran Danker,השמלה החדשה שלי,NMC United Entertainment Ltd.,26,41,11,64236,major,3.821175814,0.046990044,0.953009963,4.151416302,4.437972069,1.380998492,0.128708839,0.871291101,0.4839966,0.51600343,0.135437325,0.86456269,0.683554232,0.316445798
36,spotify:track:16tcNezkJ5VETVDVC4m7gj,Mergui,לא להיות לבד,Mobile1 Music,17,34,11,64058,major,2.896117687,0.241941884,0.758058071,4.503547192,4.422554016,1.545775533,0.286805302,0.713194728,0.687637508,0.312362552,0.427076489,0.572923481,0.463111013,0.536888957
37,spotify:track:5j36y0eeE3I7kCBYIsKqBF,Eden Ben Zaken,מה קרה,Sarit Productions LTD / Helicon Aroma Music Ltd. under exclusive license to D-Music,37,-1,1,62970,major,4.349318981,0.009799535,0.99020046,3.710463047,4.742456913,1.108404398,0.061005916,0.93899411,0.37187463,0.62812537,0.037621755,0.962378204,0.798713088,0.201286882
38,spotify:track:5e4PVtYVBu9BpJVhmQhIvS,Hanan Ben Ari,שמש,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,26,43,122,62353,major,4.069552898,0.100941807,0.899058223,4.724555969,4.712664604,0.959786177,0.194400668,0.805599272,0.70679903,0.293200999,0.426676154,0.573323786,0.314888567,0.685111463
39,spotify:track:3A9gSVar0MgHpO86WXeSW9,Itay Levi,הטעות הכי יפה,Mobile1 Music,16,32,32,62044,major,5.745957375,0.019298937,0.980701089,4.650367737,5.385616302,1.03790307,0.238921061,0.761078894,0.517050564,0.482949436,0.113794677,0.886205375,0.515215397,0.484784663
40,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,35,63,61903,major,6.923481941,0.187489092,0.812510908,6.292859077,5.642412186,0.956824303,0.430882126,0.569117904,0.971042275,0.028957769,0.757929862,0.242070138,0.120232344,0.879767716
41,spotify:track:686FdlEzrYCttdUAFByYhI,Eden Hason,לא מרגיש טוב,Mobile1 Music,29,39,6,61352,major,4.8489151,0.32734257,0.672657371,5.481124878,5.125736713,1.181363225,0.663935244,0.336064756,0.961017549,0.038982466,0.784357965,0.21564199,0.146300435,0.853699565
42,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,Columbia,18,50,16,61171,minor,5.37912178,0.318771511,0.681228459,4.460618019,4.687456608,1.150868416,0.091903545,0.908096433,0.55496186,0.44503811,0.296542376,0.703457654,0.367313474,0.632686496
43,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,2,53,34,59716,major,6.078299046,0.015347159,0.984652817,3.91583252,4.839441299,0.976486742,0.081971854,0.918028176,0.410613328,0.589386642,0.06370686,0.936293125,0.644734383,0.355265677
44,spotify:track:2gQPv5jvVPqU2a9HhMNO1v,BoyWithUke,Toxic,Republic Records,28,45,12,59078,minor,4.018256664,0.251323849,0.748676181,5.062984943,4.942092896,1.208547115,0.227448434,0.772551596,0.863353431,0.136646554,0.503392398,0.496607602,0.400980502,0.599019527
45,spotify:track:0XQ39JCh0I9tsKEmwMEH5F,Eliad,אין מאושר ממני,Eliad / Or Mermelstein under exclusive license to D-Music,29,38,8,58858,major,5.991064548,0.010198807,0.989801228,3.904179811,4.934334278,1.119278312,0.050275724,0.949724317,0.374646246,0.625353754,0.033923604,0.966076314,0.827243984,0.172756031
46,spotify:track:2Xl1BmPcZakzag2gIRs06i,Eyal Golan,דפוק עם תעודות,Liam Productions under exclusive license to D-Music,40,40,2,58563,minor,4.584206104,0.259398103,0.740601897,5.285554886,4.97700882,1.027593374,0.302635521,0.69736445,0.88935858,0.110641383,0.571567357,0.428432673,0.266950727,0.733049273
47,spotify:track:3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,NaNa Disc,22,37,3,57869,minor,3.570543051,0.145337299,0.854662657,4.463871002,4.476933479,1.075309873,0.308823943,0.691176116,0.670183837,0.329816133,0.482502222,0.517497778,0.317916542,0.682083428
48,spotify:track:20on25jryn53hWghthWWW3,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",48,56,8,57865,minor,6.122622013,0.005968451,0.994031489,3.616343498,4.599684715,1.156102061,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205
49,spotify:track:1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,Atlantic Records,49,66,5,57862,minor,2.891300917,0.23351346,0.766486526,5.156370163,4.637778282,1.125662565,0.385634601,0.614365399,0.932257831,0.067742169,0.637997806,0.362002254,0.498969615,0.501030385
50,spotify:track:2e33MYvTvmpUPTgOZJbRHf,Osher Cohen,זוגות כאלה,A.M Music Productions LTD / P.A.I LTD,17,42,29,56586,major,6.90803051,0.064944364,0.935055554,5.405047417,5.543496609,1.040862441,0.813478172,0.186521828,0.897787452,0.102212571,0.756307602,0.243692398,0.178112686,0.821887374
