rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party
36,spotify:track:2yPnlfwQ1AmhHauqQWDlWZ,Osher Cohen,מנגן ושר,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,38,46,136527,Osher Cohen,['israeli mediterranean'],THE LAST EPISODE,major,5.385091305,0.01744836,0.982551575,3.913222551,4.754518509,1.01704812,0.100310795,0.899689257,0.42699936,0.573000669,0.08263851,0.917361438,0.623763502,0.376236498
37,spotify:track:1Jx6aZyJR985kw8CWUZ15O,"Omer Adam, Odeya, ShrekDiMC",צמוד צמוד,P.A.I LTD / Helicon Aroma Music LTD,1,31,37,135205,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",צמוד צמוד,minor,3.302117348,0.102002874,0.897997141,4.666917801,5.077278137,1.254024148,0.40726766,0.59273237,0.767216384,0.232783601,0.502724588,0.497275412,0.380663186,0.619336784
38,spotify:track:51XDPGyuq8EgHSXwKCn8CQ,Omer Adam,שווארמה ודמעה,P.A.I LTD,17,36,7,131862,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים,minor,3.347637892,0.314033449,0.685966551,4.704476357,4.661950588,1.410994411,0.080717474,0.919282496,0.561457872,0.438542128,0.26528585,0.734714091,0.573722064,0.426277965
39,spotify:track:2v8ZRDPqR7s7KDt1QQ57hx,Jasmin Moallem,תן לי את האששש,Helicon Music,39,39,3,130931,Jasmin Moallem,['israeli pop'],תן לי את האששש,major,4.093252659,0.231284395,0.76871556,4.474476814,4.543414116,1.112359881,0.621887565,0.378112406,0.915542722,0.084457241,0.695002496,0.304997534,0.314686149,0.685313821
40,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,29,37,27,130692,Billie Eilish,"['art pop', 'pop']",HIT ME HARD AND SOFT,minor,8.178953171,0.088912472,0.911087513,3.961574316,4.266615391,1.168784142,0.131427854,0.868572116,0.531193674,0.468806326,0.237477839,0.762522101,0.450514495,0.549485505
41,spotify:track:354YT2zYO1GpAmf10xXiZf,ששון איפרם שאולוב,בואי נדבר,Mobile1 Music,4,47,62,126483,ששון איפרם שאולוב,['israeli pop'],גן עדן של משוגעים,major,4.226586819,0.277890891,0.722109079,5.573235989,5.19479847,1.144829035,0.673067033,0.326932997,0.963448465,0.036551561,0.787505746,0.212494254,0.221062884,0.778937161
42,spotify:track:4dELL8S6XVMibwBkjJACF1,Omer Adam,לילות וקללות,P.A.I LTD,2,41,40,126076,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות,major,4.292721272,0.105472393,0.894527614,5.124929428,4.738688469,1.045960307,0.336558491,0.663441539,0.885976672,0.114023313,0.542694569,0.457305431,0.666462541,0.333537489
43,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,2,44,69,118290,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים,minor,4.557133675,0.162008941,0.837991059,4.240459442,4.593020439,1.015580654,0.65135628,0.34864375,0.810891032,0.189108923,0.531207263,0.468792766,0.395699471,0.604300499
44,spotify:track:77oczEZHFyfbx5GFlIrfNk,"Odeya, E-Z, LIAD MEIR",הטוב הרע ועודיה,Helicon Aroma Music Ltd.,12,43,16,117183,אודיה,['israeli pop'],ילדה של אמונה,minor,3.474755764,0.100431889,0.899568141,4.318464756,5.011548996,0.976568222,0.597416759,0.402583241,0.815967262,0.184032694,0.488375902,0.511624098,0.214812592,0.785187423
45,spotify:track:2Nn5rAJpUi1AhPIubW6HU7,מ',בני ברק או ערק,Ilay Eliyahu Mataraso under exclusive license to D-Music,40,46,12,114757,מ',[],בני ברק או ערק,major,3.941847563,0.226693779,0.773306251,4.312537193,4.418544769,0.983761966,0.35980019,0.64019984,0.825776875,0.174223095,0.435734302,0.564265668,0.408474565,0.591525435
46,spotify:track:3DTHsQnfuQVESYAYv0fybQ,Ben Zur,אבא,A List Music LTD under exclusive list to D-Music,36,42,30,114226,Ben Zur,['israeli pop'],אבא,major,5.079150677,0.206620321,0.793379664,5.76579237,5.23000288,1.155121446,0.411433876,0.588566124,0.952942491,0.047057461,0.739643872,0.260356158,0.262813717,0.737186313
47,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,11,48,37,109233,Sabrina Carpenter,['pop'],Short n' Sweet,major,3.227688074,0.215833187,0.784166813,4.415706158,4.513061523,1.210982919,0.581914485,0.418085515,0.86552316,0.134476885,0.682282746,0.317717195,0.239655003,0.760344982
48,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,56,218,106890,Eden Hason,['israeli mediterranean'],אלבום 2,major,6.923481941,0.187489092,0.812510908,6.292859077,5.642412186,0.956824303,0.430882126,0.569117904,0.971042275,0.028957769,0.757929862,0.242070138,0.120232344,0.879767716
49,spotify:track:1saT4tObMScARIwT4wTv0W,Ravid Plotnik,נתראה בגלגול הבא,NaNa Disc,23,50,259,106315,Ravid Plotnik,"['israeli hip hop', 'israeli trap']",ועכשיו לחלק האומנותי,major,4.07230854,0.279695332,0.720304668,4.762760162,4.599781036,1.026422143,0.34392494,0.65607506,0.8627069,0.137293145,0.553047717,0.446952313,0.313360572,0.686639428
50,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,4,49,160,105010,Jasmin Moallem,['israeli pop'],יחפים,major,5.801971436,0.007914848,0.992085159,3.78188324,4.68830204,1.021230698,0.050327238,0.949672818,0.363684922,0.636315107,0.028077628,0.971922398,0.785275698,0.214724317
