rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:1DAJswyIul47SQNBkYPiCx,Mergui,Sucks to Know You (FU),Mobile1 Music,1,-1,1,221878,Mergui,['israeli pop'],Sucks To Know You (FU),Israeli
2,spotify:track:7DS5SpsWS7rtKeAfe9rbfn,"Nunu, Sagi Kariv, Forever Tel Aviv",Cute Boy,Neomi Aharoni Gal / Forever Tel Aviv under exclusive license to D-Music,1,1,6,215710,Nunu,['israeli hip hop'],Cute Boy,Israeli
3,spotify:track:3iJQ54fGO6CyP374UzvDJu,Anna Zak,מי זאת,ITModels under exclusive license to D-Music,1,2,9,190819,Anna Zak,['israeli pop'],מי זאת,Israeli
4,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,3,11,152253,Full Trunk,['israeli rock'],ממותה,Israeli
5,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,4,16,146409,Harry Styles,['pop'],Harry's House,International
6,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,6,8,8,131260,Kate Bush,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",Hounds Of Love,International
7,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,9,31,131005,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
8,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,5,9,130191,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
9,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,7,26,125419,שחר סאול,['israeli hip hop'],דובשנייה,Israeli
10,spotify:track:63TUZWEmunvQnAdLUD61yY,"Noa Kirel, Gitit Fisher",שלושה בנות,session42,2,6,8,121690,Noa Kirel,['israeli pop'],שלושה בנות,Israeli
11,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,2,10,32,117739,Eden Hason,['israeli mediterranean'],מה פספסתי,Israeli
12,spotify:track:3fCS3m3uWUgAFm3purs15C,Anna Zak,לך לישון,ITModels under exclusive license to D-Music,1,11,28,114260,Anna Zak,['israeli pop'],לך לישון,Israeli
13,spotify:track:3lc6b4cCbPLWNQ95GYxPkN,Nunu,ליבינג דה דרים,Neomi Aharoni Gal under exclusive license to D-Music,9,13,21,114047,Nunu,['israeli hip hop'],סטטוס,Israeli
14,spotify:track:2O1af1DbXF7paOr7O5CRst,Avi Aburomi,ספרי להם הכל,2022 Avi Aburomi BY PIL LTD,12,12,8,109603,Avi Aburomi,['israeli pop'],ספרי להם הכל,Israeli
15,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,14,77,101978,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels),International
