rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:3iJQ54fGO6CyP374UzvDJu,Anna Zak,מי זאת,ITModels under exclusive license to D-Music,1,1,4,214488,Anna Zak,['israeli pop'],מי זאת,Israeli
2,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,5,6,194113,Full Trunk,['israeli rock'],ממותה,Israeli
3,spotify:track:63TUZWEmunvQnAdLUD61yY,"Noa Kirel, Gitit Fisher",שלושה בנות,session42,2,2,3,189327,Noa Kirel,['israeli pop'],שלושה בנות,Israeli
4,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,4,21,170521,שחר סאול,['israeli hip hop'],דובשנייה,Israeli
5,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,5,7,4,168112,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
6,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,3,11,166346,Harry Styles,['pop'],Harry's House,International
7,spotify:track:5dUG9RrLElsi2sxJAhVUZJ,"Agam Buhbut, הפשוטע",בשורות טובות,2022 Z.I. Productions BY PIL LTD,7,62,2,144212,Agam Buhbut,['israeli mediterranean'],בשורות טובות,Israeli
8,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,2,6,27,142883,Eden Hason,['israeli mediterranean'],מה פספסתי,Israeli
9,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,14,26,136172,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
10,spotify:track:3fCS3m3uWUgAFm3purs15C,Anna Zak,לך לישון,ITModels under exclusive license to D-Music,1,8,23,125825,Anna Zak,['israeli pop'],לך לישון,Israeli
11,spotify:track:6so2IwKQyYFkNv1G0FrZ95,Nunu,ליבינג דה דרים,Neomi Aharoni Gal under exclusive license to D-Music,9,12,16,113718,Nunu,['israeli hip hop'],ליבינג דה דרים,Israeli
12,spotify:track:4N8FwcfRTju02qsgn9Mcl8,Eden Hason,בואי נישן על זה,Mobile1 Music,7,9,9,111596,Eden Hason,['israeli mediterranean'],בואי נישן על זה,Israeli
13,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,6,10,7,110835,Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",About Damn Time,International
14,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,13,72,105667,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels),International
15,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,11,11,3,105574,Kate Bush,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",Hounds Of Love,International
16,spotify:track:4DgyTAwiSJsT5u5EljsImB,"Noa Kirel, Itay Galo",פעמון,Noa Kirel / Itay Galo under exclusive license to NMC United Entertainment Ltd.,4,15,13,101932,Noa Kirel,['israeli pop'],פעמון,Israeli
17,spotify:track:0NtcBVSU9q6ffvVcRPbxBp,"Dana International, Static & Ben El, Static",אחלה גבר,Mobile1 Music,17,-1,1,99529,Dana International,['israeli pop'],אחלה גבר,Israeli
18,spotify:track:7DS5SpsWS7rtKeAfe9rbfn,"Nunu, Sagi Kariv, Forever Tel Aviv",Cute Boy,Neomi Aharoni Gal / Forever Tel Aviv under exclusive license to D-Music,18,-1,1,98469,Nunu,['israeli hip hop'],Cute Boy,Israeli
19,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,19,51,93766,Narkis,['israeli pop'],הולכת איתך,Israeli
20,spotify:track:7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,17,33,92400,Eden Hason,['israeli mediterranean'],אלבום 2,Israeli
21,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,7,16,4,90139,Harry Styles,['pop'],Harry's House,International
22,spotify:track:1ZEsqzNBQqyC7VLRTUDopj,"Mor, Avi Aburomi",חצי שלי,2022 Avi Aburomi & Sarit Productions BY PIL LTD,10,20,12,89090,Mor,['israeli pop'],חצי שלי,Israeli
23,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,7,18,29,88492,אודיה,['israeli pop'],אם הייתי צריכה,Israeli
24,spotify:track:57BFhpG4Iq4Zgnoz2X6zbT,"Osher Cohen, Nadav Navi Aharoni",חמישי שישי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,24,24,6,88244,Osher Cohen,['israeli mediterranean'],חמישי שישי,Israeli
