rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,1,8,215592,Noa Kirel,['israeli pop'],פנתרה,Israeli
2,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,2,2,16,203928,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live),Israeli
3,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,3,3,12,175268,Benaia Barabi,['israeli mediterranean'],קרן שמש,Israeli
4,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,4,8,2,159156,Sam Smith,"['pop', 'uk pop']",Unholy (feat. Kim Petras),International
5,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,4,22,150296,Full Trunk,['israeli rock'],ממותה,Israeli
6,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,5,42,126985,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
7,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,7,9,6,123112,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),International
8,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,11,20,110381,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
9,spotify:track:2XNXcmwubbt8MJYlQRb4V2,Odeya,אינטלקטוערס,Helicon Aroma Music Ltd.,9,14,11,109265,אודיה,['israeli pop'],אינטלקטוערס,Israeli
10,spotify:track:3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,NaNa Disc,10,13,42,107772,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
11,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,12,27,107726,Harry Styles,['pop'],Harry's House,International
12,spotify:track:7DS5SpsWS7rtKeAfe9rbfn,"Nunu, Sagi Kariv, Forever Tel Aviv",Cute Boy,Neomi Aharoni Gal / Forever Tel Aviv under exclusive license to D-Music,1,6,17,104899,Nunu,['israeli hip hop'],Cute Boy,Israeli
13,spotify:track:0UXXAYRUrknaz6FuaPKtFW,אליאב זוהר,מיכל,2022 Eliav Zoharo BY PIL LTD,7,7,10,102624,אליאב זוהר,[],מיכל,Israeli
14,spotify:track:3iJQ54fGO6CyP374UzvDJu,Anna Zak,מי זאת,ITModels under exclusive license to D-Music,1,10,20,98482,Anna Zak,['israeli pop'],מי זאת,Israeli
15,spotify:track:3hpaRxH73ciJCuH6QcNWXO,Eden Hason,מטפסים על הקירות,Mobile1 Music,6,15,9,92241,Eden Hason,['israeli mediterranean'],מטפסים על הקירות,Israeli
16,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,16,17,15,91452,OneRepublic,"['piano rock', 'pop']","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",International
17,spotify:track:5tNrVA1ySsk7HkV5yg2iXN,"Marina Maximilian, Itay Galo",עולה על שולחנות,Marina Maximilian / Itay Galo under exclusive license to D-Music,17,18,12,78727,Marina Maximilian,['israeli pop'],עולה על שולחנות,Israeli
18,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,16,37,78639,שחר סאול,['israeli hip hop'],דובשנייה,Israeli
19,spotify:track:2O1af1DbXF7paOr7O5CRst,Avi Aburomi,ספרי להם הכל,2022 Avi Aburomi BY PIL LTD,12,19,19,73737,Avi Aburomi,['israeli pop'],ספרי להם הכל,Israeli
20,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,20,26,11,69032,Chris Brown,"['r&b', 'rap']",Indigo (Extended),International
21,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,15,27,44,68574,Jasmin Moallem,['israeli pop'],יחפים,Israeli
22,spotify:track:0SmY5bTuls1ccput6QhHSA,Adir Getz,"אני אוהב, אני מכור, אני שרוף",Unicell,20,44,15,68153,Adir Getz,['israeli mediterranean'],"אני אוהב, אני מכור, אני שרוף",Israeli
23,spotify:track:1DAJswyIul47SQNBkYPiCx,Mergui,Sucks to Know You (FU),Mobile1 Music,1,20,12,66741,Mergui,['israeli pop'],Sucks To Know You (FU),Israeli
24,spotify:track:6zJejIfVYLgjud3lTk4DLB,Rosa Linn,SNAP,Nvak Collective,20,24,11,66575,Rosa Linn,['alt z'],SNAP PACK,International
25,spotify:track:2EpdcPssADDCCMeOQ9GVtv,"Omer Adam, Amir Dadon",לבחור נכון & פוליטיקה וסקס,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,25,-1,1,64720,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבחור נכון & פוליטיקה וסקס,Israeli
26,spotify:track:1quBoxh2fvPsy4f0ZBLf46,"Osher Cohen, Shahar Saul",בסוף נרקוד,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,26,28,8,64088,Osher Cohen,['israeli mediterranean'],בסוף נרקוד,Israeli
27,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,27,36,12,63854,Steve Lacy,['afrofuturism'],Gemini Rights,International
28,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,2,25,43,63679,Eden Hason,['israeli mediterranean'],מה פספסתי,Israeli
29,spotify:track:1Dus0KytptzGZvzfAnTcfG,Ran Danker,מלכת הרחבה,NMC United Entertainment Ltd.,21,21,8,63309,Ran Danker,"['festigal', 'israeli pop']",מלכת הרחבה,Israeli
30,spotify:track:6d8ZHsSyTg6ABLkWNCZdSy,Avi Aburomi,מה עובר לך בראש,2022 Avi Aburomi BY PIL LTD,30,41,7,62684,Avi Aburomi,['israeli pop'],מה עובר לך בראש,Israeli
31,spotify:track:7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,30,49,62639,Eden Hason,['israeli mediterranean'],אלבום 2,Israeli
32,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,32,39,47,62020,Tom Odell,['chill pop'],Long Way Down,International
33,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,33,43,99,61782,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",I Love You.,International
34,spotify:track:63TUZWEmunvQnAdLUD61yY,"Noa Kirel, Gitit Fisher",שלושה בנות,session42,2,22,19,61078,Noa Kirel,['israeli pop'],שלושה בנות,Israeli
35,spotify:track:57BFhpG4Iq4Zgnoz2X6zbT,"Osher Cohen, Nadav Navi Aharoni",חמישי שישי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,17,34,22,60962,Osher Cohen,['israeli mediterranean'],חמישי שישי,Israeli
36,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,32,88,59399,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels),International
37,spotify:track:3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Central Cee,18,37,11,59347,Central Cee,"['melodic drill', 'r&drill']",Doja,International
38,spotify:track:4JmmjsGmOED0sn0Le3r84u,"Tuna, Ravid Plotnik",עולם משוגע,Anana,33,33,229,58352,Tuna,"['israeli hip hop', 'israeli pop']",גם זה יעבור,Israeli
39,spotify:track:3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,45,108,56947,Marina Maximilian,['israeli pop'],ביחד,Israeli
40,spotify:track:6i2SQujw0VIv4LPkF5oFqB,Omer Adam,תמיד שלך,P.A.I LTD,18,46,15,56340,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",תמיד שלך,Israeli
41,spotify:track:4CLQRHj24bq6QVR0Fkmg1u,"נופיה ידידיה, הכוכב הבא",זאת שמעל לכל המצופה,Keshet Broadcasting Ltd. under exclusive license to D-Music,28,29,3,55873,נופיה ידידיה,[],הכוכב הבא 2022,Israeli
