rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:3mCCFs2hdDM2mObzARzxOg,"STILLA, Ness",תיק קטן,2023 Va’ad Ha Bait records By PIL LTD,1,1,6,294961,סטילה,['israeli hip hop'],תיק קטן,Israeli
2,spotify:track:6dUregFbvUNqHP5nphqesK,Noa Kirel,Unicorn,KAN Israeli Public Broadcasting Corporation under exclusive license to D-Music,1,2,14,247237,Noa Kirel,['israeli pop'],Unicorn,Israeli
3,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,Loreen,Tattoo,Universal Music AB,2,3,7,219846,Loreen,['europop'],Tattoo,International
4,spotify:track:3Au0H4VhjcXZ5HGOHo8Nc3,Static,רונדלים,Mobile1 Music,4,6,16,219449,Static,[],לירז,Israeli
5,spotify:track:0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,5,17,3,191500,Doli & Penn,['israeli pop'],לאהוב אותך כל יום,Israeli
6,spotify:track:5RX8T3EoTuXcybAxe6oPAw,Käärijä,Cha Cha Cha,WM Finland,3,4,5,176655,Käärijä,['finnish pop'],Cha Cha Cha,International
7,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,7,27,171252,Peer Tasi,['israeli mediterranean'],רדיו שטח,Israeli
8,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,8,77,160368,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
9,spotify:track:60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,9,17,157621,Osher Cohen,['israeli mediterranean'],אושר,Israeli
10,spotify:track:14LdhxElpZS0rKVV4nxtdA,Alessandra,Queen of Kings,Universal Music AS,5,5,5,152033,Alessandra,[],Queen of Kings,International
11,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,11,51,151824,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live),Israeli
12,spotify:track:1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,5,10,28,147202,Eden Hason,['israeli mediterranean'],עד שתבואי עד אליי,Israeli
13,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,13,47,135701,Benaia Barabi,['israeli mediterranean'],קרן שמש,Israeli
14,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,12,21,129703,Miley Cyrus,['pop'],Endless Summer Vacation,International
15,spotify:track:1huEeoVeYDxX6XEF640FfM,Omer Adam,DXB to TLV,P.A.I LTD,15,-1,1,126917,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סוף העולם,Israeli
16,spotify:track:3idINUuyRidKbQiMFt6EkU,"Gal Adam, NOROZ",משוגעת,P.A.I LTD / NOROZ under exclusive license to D-Music,4,15,33,126831,Gal Adam,['israeli mediterranean'],משוגעת,Israeli
17,spotify:track:6W6ssWo1mqA9bLTo47Alsz,"Jasmin Moallem, Mergui",צונאמי,Helicon Music,17,-1,1,126524,Jasmin Moallem,['israeli pop'],אין עולם,Israeli
18,spotify:track:6OXv4CrNp3DFRj6Cu1GojJ,Eyal Golan,מתי את חוזרת,Liam Productions under exclusive license to D-Music,6,25,11,123452,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023,Israeli
19,spotify:track:1zZ9bah4HU0TtICQzCFXp3,"Avi Aburomi, Mor",אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),2023 Avi Aburomi By PIL LTD,2,14,19,118200,Avi Aburomi,['israeli pop'],אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),Israeli
20,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,19,55,115173,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
21,spotify:track:16NPQQxjcSfhb0UFaUVw5s,Eden Hason,אז מה עכשיו,Mobile1 Music,9,16,12,114454,Eden Hason,['israeli mediterranean'],אז מה עכשיו,Israeli
22,spotify:track:6NUzJGlQORUv6NjUwcefr8,Eyal Golan,עיר נמל,Liam Productions under exclusive license to D-Music,22,38,11,113979,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023,Israeli
23,spotify:track:5I0WaR0LpN4Kn1zwbvd145,"E-Z, Noa Kirel",גושפנקא,Unicell,15,24,25,112434,E-Z,['israeli hip hop'],אייקון,Israeli
24,spotify:track:4PcdcSDUImHuVjoCezSYuC,"LIAD MEIR, רון חיון",פלואו של טמבל 2,2023 Duda By PIL LTD,16,20,9,111612,ליעד מאיר,['israeli hip hop'],פלואו של טמבל,Israeli
25,spotify:track:2PpTUW96jjJYr8ib8RUnUu,Tuna,י'א 2,Anana Ltd.,21,21,144,106661,Tuna,"['israeli hip hop', 'israeli pop']",טונהפארק,Israeli
26,spotify:track:5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,27,43,105142,Noa Kirel,['israeli pop'],פנתרה,Israeli
27,spotify:track:06RR5ewHedBUC9GRgWLwkK,Ravid Plotnik,מוזיקה טובה,NaNa Disc,25,26,29,104355,Ravid Plotnik,"['israeli hip hop', 'israeli trap']",בור ועם הארץ,Israeli
28,spotify:track:2b9TjqgLxE6zOZc4DSmYYx,"Noa Kirel, Forever Tel Aviv, Sagi Kariv",פרובוקטיבית,Noa Kirel / Forever Tel Aviv under exclusive license to D-Music,28,-1,1,102535,Noa Kirel,['israeli pop'],פרובוקטיבית,Israeli
29,spotify:track:4tpT9xacu03ADQI7utG24C,"Anna Zak, Itay Galo",אולסטאר וגופיות,ITModels / Itay Galo under exclusive license to D-Music,29,-1,1,101406,Anna Zak,['israeli pop'],אולסטאר וגופיות,Israeli
30,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,43,57,101290,Full Trunk,['israeli rock'],ממותה,Israeli
31,spotify:track:2QUuLcqNlQUFOuMm4osKdN,Peer Tasi,38,Peer Tasi LTD under exclusive license to D-Music,8,23,27,101262,Peer Tasi,['israeli mediterranean'],רדיו שטח,Israeli
32,spotify:track:4f15d7Qc81qw4LKMAQhfYz,Omer Adam,יצאה שבת,P.A.I LTD,32,-1,1,100179,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סוף העולם,Israeli
33,spotify:track:4py8ddBPFRTYqL3vbh2FXq,"Static, Agam Buhbut",טרנטולה,Mobile1 Music,23,42,15,99832,Static,[],לירז,Israeli
34,spotify:track:5gOFp28Edmv4nk8HIwnQfe,Yonatan Kalimi,מי את היום בלעדיי,T.Y Studio & Productions under exclusive license to D-Music,6,18,16,99086,Yonatan Kalimi,['israeli pop'],מי את היום בלעדיי,Israeli
35,spotify:track:5qbezFG8xCtoyUfOcjHUXv,Omer Adam,אני,P.A.I LTD,1,35,25,98464,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סוף העולם,Israeli
36,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,"Miserable Music Group, LLC",18,30,8,97264,David Kushner,"['gen z singer-songwriter', 'singer-songwriter pop']",Daylight,International
37,spotify:track:4mRreSUqP7waa2jT5ul41T,Ravid Plotnik,יום חדש,NaNa Disc,37,41,73,96505,Ravid Plotnik,"['israeli hip hop', 'israeli trap']",ברוכים הבאים לפתח תקוה,Israeli
38,spotify:track:6Eds9y8ZiQHcIegsEIVcYP,"Avraham Tal, Eden Hason",את חסרה לי & אורות,Mobile1 Music,11,31,35,96202,Avraham Tal,['israeli pop'],את חסרה לי & אורות,Israeli
39,spotify:track:6nSQvSGrFykSmDIOetK94r,Jasmin Moallem,יהיה טוב,Helicon Music,39,-1,1,95927,Jasmin Moallem,['israeli pop'],אין עולם,Israeli
40,spotify:track:60GvepzSwgGx8kaZNln4L0,Ravid Plotnik,כל הזמן הזה,NaNa Disc,28,28,273,95557,Ravid Plotnik,"['israeli hip hop', 'israeli trap']",שפל וגאות,Israeli
41,spotify:track:5edYMsNo852Zw29Qni9p8t,Noam Bettan,בובה,Zaav Music / Noam Bettan under exclusive license to D-Music,15,34,22,94535,Noam Bettan,['israeli pop'],מעל המים,Israeli
42,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,5,33,41,94198,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),International
43,spotify:track:7Jeh9SPQdyULPmdIqTNo3y,"Tuna, Margalit Tzan'ani",כנפיים - Live,NaNa Disc,25,37,20,93355,Tuna,"['israeli hip hop', 'israeli pop']",כנפיים (Live),Israeli
44,spotify:track:7wL2FfAPuP90EqSBALn7qM,"Omer Adam, E-Z",התעוררתי עם נמר,P.A.I LTD,44,-1,1,93037,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סוף העולם,Israeli
45,spotify:track:5CCxCzPB3HMh595Y1MNIm5,Tuna,סחרחורת,Anana Ltd.,32,32,96,91482,Tuna,"['israeli hip hop', 'israeli pop']",טונהפארק,Israeli
46,spotify:track:3RlUyFCBbqM62dOs0sNWlH,Hanan Ben Ari,עטלף עיוור,Hanan Ben Ari under exclusive license to D-Music,15,22,4,90914,Hanan Ben Ari,['israeli pop'],עטלף עיוור,Israeli
47,spotify:track:4JmmjsGmOED0sn0Le3r84u,"Tuna, Ravid Plotnik",עולם משוגע,Anana,29,29,264,90038,Tuna,"['israeli hip hop', 'israeli pop']",גם זה יעבור,Israeli
48,spotify:track:6uCZdJ3p3hrfi6mRKVtt7k,Osher Cohen,תראי אהובתי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,24,40,17,87880,Osher Cohen,['israeli mediterranean'],אושר,Israeli
49,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,45,137,86892,Eden Hason,['israeli mediterranean'],אלבום 2,Israeli
50,spotify:track:50uspwzqbMxkpyHzMLwUVy,Static,לירז,Mobile1 Music,4,53,16,86199,Static,[],לירז,Israeli
