rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5nYFRLTLrqiETyy6LUPfhQ","STILLA, Ness","מגדלים","2024 Va’ad Ha Bait records & Maman Productions by PIL ltd",1,1,11,"424957"
2,"spotify:track:34KzX8fwFPLchmOvYBDap0","Osher Cohen, Noa Kirel","אין אותי","Helicon Aroma Music Ltd. / P.A.I Ltd.",1,2,10,"403628"
3,"spotify:track:40i7ilG9ltStXi09E5m32E","Odeya","בן אדם","Helicon Aroma Music Ltd.",3,3,5,"399551"
4,"spotify:track:7AlqKFiOM5X7nJdtbwvsi6","Jasmin Moallem","דאמ","Helicon Music",3,4,7,"346299"
5,"spotify:track:1ChZJDdEU5tR4ZrLeuDh5u","Osher Cohen","לופ","Helicon Aroma Music Ltd. / P.A.I Ltd.",5,32,2,"333000"
6,"spotify:track:78FrkrO3KgizjXDObyFvzW","Static","צ'יק צ'ק","Mobile1 Music",6,27,3,"311747"
7,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",7,8,6,"284795"
8,"spotify:track:3FihyZ7YA7vrNiSUfWww10","STILLA, Ness","באמפרים","2024 Va’ad Ha Bait records & Maman Productions by PIL ltd",1,6,18,"281524"
9,"spotify:track:0h8eZd7eqwZISaz9bkj1zV","Itay Levi","מערב ראשון","Mobile1 Music",3,5,17,"277127"
10,"spotify:track:0D9A15ZzO3VzLIYqOfm6QB","מ'","אני חוזר","Ilay Eliyahu Mataraso under exclusive license to D-Music",9,9,15,"262530"
11,"spotify:track:0Wr6wZgEP1npYg0vrsWPIZ","Peer Tasi","רוז","Peer Tasi LTD under exclusive license to D-Music",1,7,18,"238474"
12,"spotify:track:6qB33ch9RK0aoMfxfnlXa1","Osher Cohen","פלסטרים","Helicon Aroma Music Ltd. / P.A.I Ltd.",1,10,23,"235645"
13,"spotify:track:4DKH1iLhp007TVLURYtmeC","Peer Tasi","מה יהיה מחר","Peer Tasi LTD under exclusive license to D-Music",7,11,18,"221690"
14,"spotify:track:4zXfQYhcSboWEOAwIQST9N","Omer Adam","רק שלך","P.A.I LTD",1,12,27,"199285"
15,"spotify:track:7hBNxod1lDW2HKu9wlBUp5","Odeya","עובד בכפר","Helicon Aroma Music Ltd.",15,17,5,"177623"
16,"spotify:track:4L5Uj4Dt6rjFL0H7hl2qHF","Omer Adam","עברנו הכל","P.A.I LTD",16,39,2,"175415"
17,"spotify:track:1Jx6aZyJR985kw8CWUZ15O","Omer Adam, Odeya, ShrekDiMC","צמוד צמוד","P.A.I LTD / Helicon Aroma Music LTD",1,13,24,"173854"
18,"spotify:track:2eauhZzDelRWx1f3PmdaxU","Itay Levi","חולה ירח","Mobile1 Music",14,18,17,"158097"
