rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7DS5SpsWS7rtKeAfe9rbfn","Nunu, Sagi Kariv, Forever Tel Aviv","Cute Boy","Neomi Aharoni Gal / Forever Tel Aviv under exclusive license to D-Music",1,3,4,"216216"
2,"spotify:track:3iJQ54fGO6CyP374UzvDJu","Anna Zak","מי זאת","ITModels under exclusive license to D-Music",1,1,7,"206008"
3,"spotify:track:2G1o9Mq8KpamOwJPZLuJc7","Full Trunk, Jimbo J","סתלבט בקיבוץ","NaNa Disc",2,2,9,"172222"
4,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,6,14,"155015"
5,"spotify:track:4I9NVCnjIRVriXfNE7VhE0","Eden Hason","עושה לי צרות","Mobile1 Music",3,5,7,"147823"
6,"spotify:track:63TUZWEmunvQnAdLUD61yY","Noa Kirel, Gitit Fisher","שלושה בנות","session42",2,7,6,"140484"
7,"spotify:track:67PF7VLcYEKKF82ziNf9Ur","Shahar Saul, Agam Buhbut, NOROZ","דובשנייה","Mobile1 Music",2,4,24,"137512"
8,"spotify:track:2SxcL0eba2ILQpJPuBBHsG","Eden Hason","מה פספסתי","Mobile1 Music",2,9,30,"124617"
9,"spotify:track:1D8HR389yohrWVZ1yHI2bc","Tuna","היי בייב","NaNa Disc",4,8,29,"123733"
10,"spotify:track:3fCS3m3uWUgAFm3purs15C","Anna Zak","לך לישון","ITModels under exclusive license to D-Music",1,10,26,"117668"
11,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",11,16,6,"116488"
12,"spotify:track:6so2IwKQyYFkNv1G0FrZ95","Nunu","ליבינג דה דרים","Neomi Aharoni Gal under exclusive license to D-Music",9,11,19,"114946"
13,"spotify:track:5dUG9RrLElsi2sxJAhVUZJ","Agam Buhbut, הפשוטע","בשורות טובות","2022 Z.I. Productions BY PIL LTD",7,12,5,"106252"
14,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",3,13,75,"105242"
15,"spotify:track:4N8FwcfRTju02qsgn9Mcl8","Eden Hason","בואי נישן על זה","Mobile1 Music",7,14,12,"102533"
16,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",6,15,10,"96662"
17,"spotify:track:57BFhpG4Iq4Zgnoz2X6zbT","Osher Cohen, Nadav Navi Aharoni","חמישי שישי","Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.",17,21,9,"95063"
18,"spotify:track:2O1af1DbXF7paOr7O5CRst","Avi Aburomi","ספרי להם הכל","2022 Avi Aburomi BY PIL LTD",18,23,6,"94772"
19,"spotify:track:4DgyTAwiSJsT5u5EljsImB","Noa Kirel, Itay Galo","פעמון","Noa Kirel / Itay Galo under exclusive license to NMC United Entertainment Ltd.",4,19,16,"91632"
20,"spotify:track:6i2SQujw0VIv4LPkF5oFqB","Omer Adam","תמיד שלך","P.A.I LTD",18,18,2,"88977"
21,"spotify:track:1vWHfVDGAx5QqtK6lVsiP1","Dana International, Static & Ben El, Static","אחלה גבר","Mobile1 Music",13,17,4,"88808"
22,"spotify:track:7rNA5Jwu23g7PaXcMwfLdq","Eden Hason","מדליקה לי הכל","Mobile1 Music",7,20,36,"88737"
23,"spotify:track:1ZEsqzNBQqyC7VLRTUDopj","Mor, Avi Aburomi","חצי שלי","2022 Avi Aburomi & Sarit Productions BY PIL LTD",10,22,15,"82766"
24,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",24,32,3,"80757"
25,"spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ","Beyoncé","BREAK MY SOUL","Parkwood Entertainment/Columbia",25,26,3,"79793"
26,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music",26,31,4,"77041"
27,"spotify:track:79h6P8bV0ENtq6Vmhkpewr","Odeya","אם הייתי צריכה","A.M Music Productions LTD",7,24,32,"76266"
28,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",23,28,18,"75063"
29,"spotify:track:58HvfVOeJY7lUuCqF0m3ly","Elley Duhé","MIDDLE OF THE NIGHT","Not Fit For Society/RCA Records",14,27,23,"74819"
30,"spotify:track:16tcNezkJ5VETVDVC4m7gj","Mergui","לא להיות לבד","Mobile1 Music",17,25,37,"73889"
31,"spotify:track:4OuoS8NAur7tj6rMDpTVjJ","Maya Dadon","כמו שאני","Icon Artist Management under exclusive license to D-Music",8,30,15,"72095"
32,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",7,29,7,"71885"
33,"spotify:track:2liUMhNvpAxRNVAGnz8jNJ","Static & Ben El, Netta","אפס מאמץ","Mobile1 Music",1,33,53,"71842"
34,"spotify:track:5n8TyE1OHfdAKVa2fRwAwz","Doli & Penn, Noa Kirel, Peled","שחרר אותי","Dolev Ram / Penn Hazut / Noa Kirel under exclusive license to D-Music",34,-1,1,"70315"
35,"spotify:track:2ICsg0MAobTLg4VVjW2iE5","Osher Cohen","אהובי לב אדום","Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.",35,36,9,"69338"
36,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",18,34,39,"67943"
37,"spotify:track:0mBP9X2gPCuapvpZ7TGDk3","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",37,57,2,"67362"
38,"spotify:track:05KQMm1vL6MnJkgobUtwft","Omer Adam","לבד על המיטה","P.A.I LTD",2,37,22,"66500"
39,"spotify:track:4Ow0gCGxYfOcyiCuZOt9mp","Avraham Tal","שבוע טוב","Digistage",17,49,108,"65585"
40,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",2,40,52,"63502"
41,"spotify:track:1lHlKCdVZ4CGbbkTuG6LfT","Jasmin Moallem","יחפים","Helicon Music",15,38,31,"63087"
42,"spotify:track:66iaD8MCoVnBtqUhuzdglT","Ran Danker","בית משוגעים","NMC United Entertainment Ltd.",1,45,70,"63085"
