rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3fCS3m3uWUgAFm3purs15C","Anna Zak","לך לישון","ITModels under exclusive license to D-Music",1,1,5,"191490"
2,"spotify:track:1HhNoOuqm1a5MXYEgAFl8o","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",1,2,15,"139109"
3,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",3,3,54,"128858"
4,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",2,4,31,"117903"
5,"spotify:track:3ZT2YK7nfPXq3xCrlWkgt7","Maya Dadon","חוץ ממך","Icon Artist Management under exclusive license to D-Music",5,13,3,"117730"
6,"spotify:track:26ffnwQVV4votOweWSwpeN","Narkis","הולכת איתך","session42",2,5,33,"115033"
7,"spotify:track:1D8HR389yohrWVZ1yHI2bc","Tuna","היי בייב","NaNa Disc",4,6,8,"107562"
8,"spotify:track:2liUMhNvpAxRNVAGnz8jNJ","Static & Ben El, Netta","אפס מאמץ","Mobile1 Music",1,7,32,"105455"
9,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",7,8,12,"104904"
10,"spotify:track:79h6P8bV0ENtq6Vmhkpewr","Odeya","אם הייתי צריכה","A.M Music Productions LTD",9,10,11,"104259"
11,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",7,9,25,"101549"
12,"spotify:track:6SuC1LItQ9V9SjET2EvvtD","Agam Buhbut, Shahar Saul","באתי להציל אותך","2021 ZI Productions BY PIL LTD",11,12,15,"98431"
13,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",1,11,29,"95856"
14,"spotify:track:67PF7VLcYEKKF82ziNf9Ur","Shahar Saul, Agam Buhbut, NOROZ","דובשנייה","Mobile1 Music",14,15,3,"95525"
15,"spotify:track:2Xr1dTzJee307rmrkt8c0g","CKay","love nwantiti (ah ah ah)","Chocolate City Music",4,14,21,"91020"
16,"spotify:track:7rglLriMNBPAyuJOMGwi39","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",13,17,23,"86394"
17,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",2,16,17,"85759"
18,"spotify:track:1KszHjECoMXM3d5y31ZRVl","Osher Cohen, Noa Kirel","רעשים","A.M Music Productions LTD / P.A.I LTD / Noa Kirel under exclusive license to D-Music",10,18,9,"84705"
19,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",19,22,10,"84457"
20,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",6,21,33,"83975"
21,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",14,25,22,"83419"
22,"spotify:track:1lHlKCdVZ4CGbbkTuG6LfT","Jasmin Moallem","יחפים","Helicon Music",15,19,10,"82431"
23,"spotify:track:6jMCb4UpIBjmiKf6EwVK8u","Omer Adam","חצי דפוק","P.A.I LTD",3,23,28,"80611"
24,"spotify:track:5STI4AAzr3uMvdpx4wUSGr","Omer Adam","חורף באוטו","P.A.I LTD",3,24,15,"80282"
25,"spotify:track:3yyHRwblo5kk0fH9pfMP6M","Marina Maximilian, Guy Mentesh","ביחד","Marina Maximilian under exclusive license to D-Music",14,26,74,"79069"
26,"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","Lil Nas X","THATS WHAT I WANT","Columbia",18,34,21,"77592"
27,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",9,27,27,"75019"
28,"spotify:track:0KqQk985HTWIkQgEABSwPP","Noa Kirel","Thought About That","Atlantic Records",12,20,4,"74488"
29,"spotify:track:5j36y0eeE3I7kCBYIsKqBF","Eden Ben Zaken","מה קרה","Sarit Productions LTD / Helicon Aroma Music Ltd. under exclusive license to D-Music",18,28,6,"71286"
30,"spotify:track:2mGGqzRrPOYhgv4MSG6Fhq","Ravid Plotnik, Sima Noon","‏קורבן","NaNa Disc",5,30,20,"70140"
