rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,1,1,3,407886,Miley Cyrus,['pop'],Flowers
2,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,2,4,9,195666,Peer Tasi,['israeli mediterranean'],רדיו שטח
3,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,3,29,177159,Benaia Barabi,['israeli mediterranean'],קרן שמש
4,spotify:track:4hTFq8sHEVSDXIxTVe4qHJ,Omer Adam,אני,P.A.I LTD,1,2,7,168466,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",אני
5,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,5,33,165304,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live)
6,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,13,59,161085,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
7,spotify:track:3idINUuyRidKbQiMFt6EkU,"Gal Adam, NOROZ",משוגעת,P.A.I LTD / NOROZ under exclusive license to D-Music,4,8,15,150776,Gal Adam,['israeli mediterranean'],משוגעת
8,spotify:track:1bd0D0cXcpGeJXsn2Xt8lc,"Odeya, רואי אדם",האמת,Helicon Aroma Music Ltd.,3,6,17,149770,אודיה,['israeli pop'],האמת
9,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,7,7,8,144680,SZA,"['pop', 'r&b', 'rap']",SOS
10,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,9,37,143970,Eden Hason,['israeli mediterranean'],עושה לי צרות
11,spotify:track:2QUuLcqNlQUFOuMm4osKdN,Peer Tasi,38,Peer Tasi LTD under exclusive license to D-Music,11,17,9,138907,Peer Tasi,['israeli mediterranean'],רדיו שטח
