rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:3fCS3m3uWUgAFm3purs15C,Anna Zak,לך לישון,ITModels under exclusive license to D-Music,1,1,8,173160,Anna Zak,['israeli pop'],לך לישון
2,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,6,6,140793,שחר סאול,['israeli hip hop'],דובשנייה
3,spotify:track:05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,3,5,4,139460,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבד על המיטה
4,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,4,57,125925,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels)
5,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,1,2,18,119457,Imagine Dragons,"['modern rock', 'pop', 'rock']",Mercury - Act 1
6,spotify:track:3ZT2YK7nfPXq3xCrlWkgt7,Maya Dadon,חוץ ממך,Icon Artist Management under exclusive license to D-Music,2,3,6,118482,Maya Dadon,['israeli pop'],חוץ ממך
7,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,7,8,14,110487,אודיה,['israeli pop'],אם הייתי צריכה
8,spotify:track:2liUMhNvpAxRNVAGnz8jNJ,"Static & Ben El, Netta",אפס מאמץ,Mobile1 Music,1,7,35,108487,Static & Ben El,"['israeli pop', 'jewish pop']",שבעה ירחים
9,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,10,11,102757,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
10,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,7,11,28,100472,Farruko,"['reggaeton', 'trap latino', 'urbano latino']",La 167
11,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,12,36,97945,Narkis,['israeli pop'],הולכת איתך
12,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,7,13,15,97719,GAYLE,"['alt z', 'modern alternative pop']",abcdefu
13,spotify:track:70Vsir4Wan3TrEzGCIZy0l,Eden Hason,ככה כל יום,Mobile1 Music,13,14,3,96292,Eden Hason,['israeli mediterranean'],ככה כל יום
14,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,2,9,34,96093,The Kid LAROI,['australian hip hop'],F*CK LOVE 3: OVER YOU
15,spotify:track:6SuC1LItQ9V9SjET2EvvtD,"Agam Buhbut, Shahar Saul",באתי להציל אותך,2021 ZI Productions BY PIL LTD,11,15,18,95589,Agam Buhbut,['israeli mediterranean'],באתי להציל אותך
