rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:6dUregFbvUNqHP5nphqesK,Noa Kirel,Unicorn,KAN Israeli Public Broadcasting Corporation under exclusive license to D-Music,1,4,10,293869,Noa Kirel,['israeli pop'],Unicorn
2,spotify:track:3mCCFs2hdDM2mObzARzxOg,"STILLA, Ness",תיק קטן,2023 Va’ad Ha Bait records By PIL LTD,2,9,2,282717,סטילה,['israeli hip hop'],תיק קטן
3,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,1,23,198231,Peer Tasi,['israeli mediterranean'],רדיו שטח
4,spotify:track:60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,2,13,188074,Osher Cohen,['israeli mediterranean'],אושר
5,spotify:track:1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,5,7,24,165864,Eden Hason,['israeli mediterranean'],עד שתבואי עד אליי
6,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,5,47,145916,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live)
7,spotify:track:1zZ9bah4HU0TtICQzCFXp3,"Avi Aburomi, Mor",אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),2023 Avi Aburomi By PIL LTD,2,3,15,143501,Avi Aburomi,['israeli pop'],אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi)
8,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,10,73,140943,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
9,spotify:track:3Au0H4VhjcXZ5HGOHo8Nc3,Static,רונדלים,Mobile1 Music,9,15,12,140288,Static,[],לירז
10,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,6,17,139269,Miley Cyrus,['pop'],Endless Summer Vacation
11,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,12,43,138896,Benaia Barabi,['israeli mediterranean'],קרן שמש
12,spotify:track:16NPQQxjcSfhb0UFaUVw5s,Eden Hason,אז מה עכשיו,Mobile1 Music,9,14,8,133951,Eden Hason,['israeli mediterranean'],אז מה עכשיו
13,spotify:track:3idINUuyRidKbQiMFt6EkU,"Gal Adam, NOROZ",משוגעת,P.A.I LTD / NOROZ under exclusive license to D-Music,4,11,29,127286,Gal Adam,['israeli mediterranean'],משוגעת
14,spotify:track:5gOFp28Edmv4nk8HIwnQfe,Yonatan Kalimi,מי את היום בלעדיי,T.Y Studio & Productions under exclusive license to D-Music,6,8,12,122737,Yonatan Kalimi,['israeli pop'],מי את היום בלעדיי
15,spotify:track:2QUuLcqNlQUFOuMm4osKdN,Peer Tasi,38,Peer Tasi LTD under exclusive license to D-Music,8,13,23,121818,Peer Tasi,['israeli mediterranean'],רדיו שטח
16,spotify:track:4PcdcSDUImHuVjoCezSYuC,"LIAD MEIR, רון חיון",פלואו של טמבל 2,2023 Duda By PIL LTD,16,18,5,119410,ליעד מאיר,['israeli hip hop'],פלואו של טמבל
17,spotify:track:5I0WaR0LpN4Kn1zwbvd145,"E-Z, Noa Kirel",גושפנקא,Unicell,15,20,21,115993,E-Z,['israeli hip hop'],אייקון
18,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,19,51,115571,Eden Hason,['israeli mediterranean'],עושה לי צרות
19,spotify:track:5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,26,39,108983,Noa Kirel,['israeli pop'],פנתרה
20,spotify:track:6OXv4CrNp3DFRj6Cu1GojJ,Eyal Golan,מתי את חוזרת,Liam Productions under exclusive license to D-Music,6,16,7,103976,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023
21,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,56,68,102625,שחר סאול,['israeli hip hop'],דובשנייה
22,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,5,22,37,97768,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue)
23,spotify:track:4hTFq8sHEVSDXIxTVe4qHJ,Omer Adam,אני,P.A.I LTD,1,33,21,96356,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",אני
24,spotify:track:6uCZdJ3p3hrfi6mRKVtt7k,Osher Cohen,תראי אהובתי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,24,28,13,94434,Osher Cohen,['israeli mediterranean'],אושר
25,spotify:track:4py8ddBPFRTYqL3vbh2FXq,"Static, Agam Buhbut",טרנטולה,Mobile1 Music,23,25,11,93164,Static,[],לירז
26,spotify:track:5edYMsNo852Zw29Qni9p8t,Noam Bettan,בובה,Zaav Music / Noam Bettan under exclusive license to D-Music,15,17,18,93044,Noam Bettan,['israeli pop'],מעל המים
27,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,"Miserable Music Group, LLC",18,27,4,92952,David Kushner,"['gen z singer-songwriter', 'singer-songwriter pop']",Daylight
28,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,6,21,22,92767,SZA,"['pop', 'r&b', 'rap']",SOS
29,spotify:track:6clAq1cGO4PYimAmzelTmL,Shira Margalit,אחותי כבר לא סובלת אותך,Anana Ltd,12,39,24,89114,Shira Margalit,['israeli pop'],אחותי כבר לא סובלת אותך
30,spotify:track:6Eds9y8ZiQHcIegsEIVcYP,"Avraham Tal, Eden Hason",את חסרה לי & אורות,Mobile1 Music,11,31,31,88966,Avraham Tal,['israeli pop'],את חסרה לי & אורות
31,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,38,53,88266,Full Trunk,['israeli rock'],ממותה
32,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,Loreen,Tattoo,Universal Music AB,32,-1,3,87732,Loreen,['europop'],Tattoo
33,spotify:track:7Jeh9SPQdyULPmdIqTNo3y,"Tuna, Margalit Tzan'ani",כנפיים - Live,NaNa Disc,25,35,16,87491,Tuna,"['israeli hip hop', 'israeli pop']",כנפיים (Live)
34,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,24,58,87465,Harry Styles,['pop'],Harry's House
35,spotify:track:6ubV4TOnHggG27ygsPxjvR,Osher Cohen,אקורדים בלילות,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,33,37,13,86850,Osher Cohen,['israeli mediterranean'],אושר
36,spotify:track:2PpTUW96jjJYr8ib8RUnUu,Tuna,י'א 2,Anana Ltd.,23,23,140,84838,Tuna,"['israeli hip hop', 'israeli pop']",טונהפארק
37,spotify:track:1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,29,41,35,81620,Rema,"['afrobeats', 'nigerian pop']",Rave & Roses Ultra
38,spotify:track:50uspwzqbMxkpyHzMLwUVy,Static,לירז,Mobile1 Music,4,32,12,81224,Static,[],לירז
39,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,10,30,23,79949,Metro Boomin,['rap'],HEROES & VILLAINS
40,spotify:track:2gpNRdJs3Sy5GI1G7pTgbZ,"Odeya, Noa Kirel",מאמי,Helicon Aroma Music Ltd.,5,45,21,79435,אודיה,['israeli pop'],האמת
41,spotify:track:6NUzJGlQORUv6NjUwcefr8,Eyal Golan,עיר נמל,Liam Productions under exclusive license to D-Music,35,44,7,79403,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023
42,spotify:track:4oI6mGaEBPrYDS4TP3rSvG,Odeya,פסיכולוגית,Helicon Aroma Music Ltd.,13,29,7,79160,אודיה,['israeli pop'],האמת
43,spotify:track:6kVmhOoBlMEH3WdxrLhjFB,"Static, Eden Ben Zaken",הפשע המושלם,Mobile1 Music,25,42,12,77780,Static,[],לירז
44,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Mosley Music/Interscope Records,14,40,46,76226,OneRepublic,"['piano rock', 'pop']",OneRepublic (Japan Paradise Tour Edition)
45,spotify:track:06RR5ewHedBUC9GRgWLwkK,Ravid Plotnik,מוזיקה טובה,NaNa Disc,36,36,25,75384,Ravid Plotnik,"['israeli hip hop', 'israeli trap']",בור ועם הארץ
46,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,72,133,73938,Eden Hason,['israeli mediterranean'],אלבום 2
47,spotify:track:3RBpmZJ0YG9abVBXI2U1UO,Eden Hason,את חסרה לי,Mobile1 Music,1,54,150,73686,Eden Hason,['israeli mediterranean'],אלבום 2
48,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,4,43,33,72331,Sam Smith,"['pop', 'uk pop']",Gloria
49,spotify:track:6d8ZHsSyTg6ABLkWNCZdSy,Avi Aburomi,מה עובר לך בראש,2022 Avi Aburomi BY PIL LTD,18,47,38,68490,Avi Aburomi,['israeli pop'],מה עובר לך בראש
50,spotify:track:3Y58GeDl9FXsnIaMVXX7RO,Mergui,יהיה יהיה,Mobile1 Music,50,119,2,68168,Mergui,['israeli pop'],יהיה יהיה
