rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:3CZdlwKHGTvfveatbfKD3q,ששון איפרם שאולוב,תמיד אוהב אותי,Mobile1 Music,1,1,14,462594,ששון איפרם שאולוב,['israeli pop'],תמיד אוהב אותי
2,spotify:track:2QkVXq7dLpefWAiETsvIOs,Omer Adam,אהובתי כבר לא רואה אותי,P.A.I LTD,1,2,7,439031,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים
3,spotify:track:5ppuL7dOIhd7td0YCJJuwf,Omer Adam,טקילה,P.A.I LTD,2,3,7,315106,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים
4,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,4,6,19,314920,Lady Gaga,"['art pop', 'dance pop', 'pop']",Die With A Smile
5,spotify:track:3pTsE064ZTJ1n8bP3VAm2c,Omer Adam,תהום,P.A.I LTD,4,4,7,294972,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים
6,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,6,9,10,271610,ROSÉ,['k-pop'],rosie
7,spotify:track:4L5Uj4Dt6rjFL0H7hl2qHF,Omer Adam,עברנו הכל,P.A.I LTD,4,7,15,267668,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",עברנו הכל
8,spotify:track:5nYFRLTLrqiETyy6LUPfhQ,"STILLA, Ness",מגדלים,2024 Va’ad Ha Bait records & Maman Productions by PIL ltd,1,5,24,257940,סטילה,['israeli hip hop'],מגדלים
9,spotify:track:37ZPaitKESRLXRkjrvJVTb,Omer Adam,נרקומן של בדידות,P.A.I LTD,5,8,7,254922,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים
10,spotify:track:1ChZJDdEU5tR4ZrLeuDh5u,Osher Cohen,לופ,Helicon Aroma Music Ltd. / P.A.I Ltd.,1,10,15,247387,Osher Cohen,['israeli mediterranean'],לופ
11,spotify:track:7hBNxod1lDW2HKu9wlBUp5,Odeya,עובד בכפר,Helicon Aroma Music Ltd.,11,11,18,246035,אודיה,['israeli pop'],ילדה של אמונה
12,spotify:track:0KMZESyaad48QMOmg6cYuy,Idan Amedi,סופרמן,Helicon Aroma Music Ltd. / Snype Production Ltd.,12,18,2,232668,Idan Amedi,['israeli pop'],סופרמן
13,spotify:track:0sMyBmtyp4riKYNpDVNSH4,Odeya,את לא יודעת כמה שאני אוהב אותך,Helicon Aroma Music Ltd.,13,20,6,225141,אודיה,['israeli pop'],את לא יודעת כמה שאני אוהב אותך
14,spotify:track:34KzX8fwFPLchmOvYBDap0,"Osher Cohen, Noa Kirel",אין אותי,Helicon Aroma Music Ltd. / P.A.I Ltd.,1,14,23,206472,Osher Cohen,['israeli mediterranean'],NEXT EPISODE
15,spotify:track:6qB33ch9RK0aoMfxfnlXa1,Osher Cohen,פלסטרים,Helicon Aroma Music Ltd. / P.A.I Ltd.,1,15,36,200610,Osher Cohen,['israeli mediterranean'],פלסטרים
16,spotify:track:3FihyZ7YA7vrNiSUfWww10,"STILLA, Ness",באמפרים,2024 Va’ad Ha Bait records & Maman Productions by PIL ltd,1,12,31,198744,סטילה,['israeli hip hop'],באמפרים
17,spotify:track:78FrkrO3KgizjXDObyFvzW,Static,צ'יק צ'ק,Mobile1 Music,1,13,16,197852,Static,[],צ'יק צ'ק
18,spotify:track:6svDE1ySQelKOFfW7kCn2B,"Itay Levi, ששון איפרם שאולוב",התקדמתי ממך,Mobile1 Music,18,27,4,190872,Itay Levi,"['israeli mediterranean', 'mizrahi']",התקדמתי ממך
19,spotify:track:4zXfQYhcSboWEOAwIQST9N,Omer Adam,רק שלך,P.A.I LTD,1,19,40,185163,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
20,spotify:track:2fewVF6oOGKux69rHGbPMq,Eden Hason,צוחקת ובוכה,Mobile1 Music,4,22,47,181056,Eden Hason,['israeli mediterranean'],צוחקת ובוכה
21,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",21,25,9,179865,Gracie Abrams,['alt z'],The Secret of Us (Deluxe)
22,spotify:track:40i7ilG9ltStXi09E5m32E,Odeya,בן אדם,Helicon Aroma Music Ltd.,3,16,18,179634,אודיה,['israeli pop'],ילדה של אמונה
23,spotify:track:0auLq7aePfiNwd1YZNlC4S,Omer Adam,גברת אגו,P.A.I LTD,10,17,7,167193,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים
24,spotify:track:7AlqKFiOM5X7nJdtbwvsi6,Jasmin Moallem,דאמ,Helicon Music,3,21,20,164076,Jasmin Moallem,['israeli pop'],דאמ
25,spotify:track:6JnLTSjPA96Dgg9VCDRf1r,ילד.,למה את?,Universal Music Israel Distributed Labels,6,26,36,163230,ילד.,[],ילד.
26,spotify:track:1hLd6flq2cPLvH2Xraimbu,שירז אברהם,תסביכים קשים,Mobile1 Music,14,23,21,158956,שירז אברהם,['israeli pop'],תסביכים קשים
27,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,15,28,32,156060,Billie Eilish,"['art pop', 'pop']",HIT ME HARD AND SOFT
28,spotify:track:0D9A15ZzO3VzLIYqOfm6QB,מ',אני חוזר,Ilay Eliyahu Mataraso under exclusive license to D-Music,9,29,28,154499,מ',[],לחזור הביתה
29,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",4,30,48,151071,Benson Boone,['singer-songwriter pop'],Fireworks & Rollerblades
30,spotify:track:4DKH1iLhp007TVLURYtmeC,Peer Tasi,מה יהיה מחר,Peer Tasi LTD under exclusive license to D-Music,7,24,31,150259,Peer Tasi,['israeli mediterranean'],רדיו שטח 2
31,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,13,32,49,146514,Teddy Swims,[],I've Tried Everything But Therapy (Part 1)
32,spotify:track:0Wr6wZgEP1npYg0vrsWPIZ,Peer Tasi,רוז,Peer Tasi LTD under exclusive license to D-Music,1,33,31,139839,Peer Tasi,['israeli mediterranean'],רדיו שטח 2
33,spotify:track:3pvBB4oPXTaHV403msHYF0,ששון איפרם שאולוב,גן עדן של משוגעים,Mobile1 Music,6,34,53,139576,ששון איפרם שאולוב,['israeli pop'],גן עדן של משוגעים
34,spotify:track:2LdUmQdymO99riYOVCrUPK,Omer Adam,שתי טיפות,P.A.I LTD,22,35,7,137620,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים
35,spotify:track:0h8eZd7eqwZISaz9bkj1zV,Itay Levi,מערב ראשון,Mobile1 Music,3,40,30,136979,Itay Levi,"['israeli mediterranean', 'mizrahi']",מערב ראשון
36,spotify:track:2yPnlfwQ1AmhHauqQWDlWZ,Osher Cohen,מנגן ושר,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,38,46,136527,Osher Cohen,['israeli mediterranean'],THE LAST EPISODE
37,spotify:track:1Jx6aZyJR985kw8CWUZ15O,"Omer Adam, Odeya, ShrekDiMC",צמוד צמוד,P.A.I LTD / Helicon Aroma Music LTD,1,31,37,135205,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",צמוד צמוד
38,spotify:track:51XDPGyuq8EgHSXwKCn8CQ,Omer Adam,שווארמה ודמעה,P.A.I LTD,17,36,7,131862,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לחנים שבורים
39,spotify:track:2v8ZRDPqR7s7KDt1QQ57hx,Jasmin Moallem,תן לי את האששש,Helicon Music,39,39,3,130931,Jasmin Moallem,['israeli pop'],תן לי את האששש
40,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,29,37,27,130692,Billie Eilish,"['art pop', 'pop']",HIT ME HARD AND SOFT
41,spotify:track:354YT2zYO1GpAmf10xXiZf,ששון איפרם שאולוב,בואי נדבר,Mobile1 Music,4,47,62,126483,ששון איפרם שאולוב,['israeli pop'],גן עדן של משוגעים
42,spotify:track:4dELL8S6XVMibwBkjJACF1,Omer Adam,לילות וקללות,P.A.I LTD,2,41,40,126076,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
43,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,2,44,69,118290,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים
44,spotify:track:77oczEZHFyfbx5GFlIrfNk,"Odeya, E-Z, LIAD MEIR",הטוב הרע ועודיה,Helicon Aroma Music Ltd.,12,43,16,117183,אודיה,['israeli pop'],ילדה של אמונה
45,spotify:track:2Nn5rAJpUi1AhPIubW6HU7,מ',בני ברק או ערק,Ilay Eliyahu Mataraso under exclusive license to D-Music,40,46,12,114757,מ',[],בני ברק או ערק
46,spotify:track:3DTHsQnfuQVESYAYv0fybQ,Ben Zur,אבא,A List Music LTD under exclusive list to D-Music,36,42,30,114226,Ben Zur,['israeli pop'],אבא
47,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,11,48,37,109233,Sabrina Carpenter,['pop'],Short n' Sweet
48,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,56,218,106890,Eden Hason,['israeli mediterranean'],אלבום 2
49,spotify:track:1saT4tObMScARIwT4wTv0W,Ravid Plotnik,נתראה בגלגול הבא,NaNa Disc,23,50,259,106315,Ravid Plotnik,"['israeli hip hop', 'israeli trap']",ועכשיו לחלק האומנותי
50,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,4,49,160,105010,Jasmin Moallem,['israeli pop'],יחפים
