rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:1jCAwxwhHIrtWzGeF6WfJ7,Kfir Tsafrir,פחד אלוהים,Tedy Productions / Kfir Tsafrir under exclusive license to D-Music,1,1,9,364394,Kfir Tsafrir,['israeli trap'],פחד אלוהים
2,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,2,2,20,304454,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים
3,spotify:track:0SMDtYt5HghaTMFc61nCnP,Omer Adam,ואיך שלא,P.A.I LTD,2,3,6,281472,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",ואיך שלא
4,spotify:track:3IiaTxdKgDe9NvmosLM8bM,ששון איפרם שאולוב,בואי נדבר,Mobile1 Music,4,5,13,245391,ששון איפרם שאולוב,['israeli pop'],בואי נדבר
5,spotify:track:6IVIMUcrykPBQqWVA0g7zw,"STILLA, Ness",חרבו דרבו,2023 Maman Productions & Va’ad Ha Bait Records by PIL ltd,1,4,10,239111,סטילה,['israeli hip hop'],חרבו דרבו
6,spotify:track:44GSjYhBxuuKx0ikN5Dmag,"Omer Adam, Jasmin Moallem",יהיה טוב & מים שקופים,P.A.I LTD / Jasmin Moallem,2,7,20,219801,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",יהיה טוב & מים שקופים
7,spotify:track:0E9S1H3TktlpHmGyuKEfkL,יגל אושרי,לצאת מדיכאון,Liam Productions under exclusive license to D-Music,1,6,22,210712,יגל אושרי,['israeli pop'],לצאת מדיכאון
8,spotify:track:16HcSqHWoJn7Be4T2MOCZ4,ששון איפרם שאולוב,גן עדן של משוגעים,Mobile1 Music,8,9,4,209510,ששון איפרם שאולוב,['israeli pop'],גן עדן של משוגעים
9,spotify:track:2CUwpTA4gOSouCTyRN1vnE,Itay Levi,אין לי מקום אחר,Mobile1 Music,9,11,5,208037,Itay Levi,"['israeli mediterranean', 'mizrahi']",אין לי מקום אחר
10,spotify:track:6nSQvSGrFykSmDIOetK94r,Jasmin Moallem,יהיה טוב,Helicon Music,1,8,33,203506,Jasmin Moallem,['israeli pop'],אין עולם
11,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,10,32,187677,Osher Cohen,['israeli mediterranean'],Part II
12,spotify:track:3cXhJh34pRLkZegiL5cfy9,ששון איפרם שאולוב,כשיגמר לכם הקיץ,Mobile1 Music,11,12,14,168597,ששון איפרם שאולוב,['israeli pop'],כשיגמר לכם הקיץ
13,spotify:track:7gaA3wERFkFkgivjwbSvkG,Ariana Grande,"yes, and?",Republic Records,13,-1,1,152030,Ariana Grande,['pop'],"yes, and?"
14,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,4,14,111,151599,Jasmin Moallem,['israeli pop'],יחפים
15,spotify:track:4wEFTT1fmFfsLY1K7Y40Cy,"Peled, Nastia Rod",עזבת ת'בית,Mobile1 Music,5,15,23,148849,Peled,"['israeli hip hop', 'israeli trap']",TATE WE MADE IT
16,spotify:track:0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,1,13,35,144410,Doli & Penn,['israeli pop'],לאהוב אותך כל יום
