rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:4hTFq8sHEVSDXIxTVe4qHJ,Omer Adam,אני,P.A.I LTD,1,109,2,221028,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",אני
2,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,1,24,212838,Benaia Barabi,['israeli mediterranean'],קרן שמש
3,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,2,28,207542,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live)
4,spotify:track:1bd0D0cXcpGeJXsn2Xt8lc,"Odeya, רואי אדם",האמת,Helicon Aroma Music Ltd.,3,3,12,167096,אודיה,['israeli pop'],האמת
5,spotify:track:0iTSkLz9biPGVXqTSrkkNd,"Odeya, Noa Kirel",מאמי,Helicon Aroma Music Ltd./ Noa Kirel under exclusive license to NMC United Entertainment Ltd,5,37,2,153879,אודיה,['israeli pop'],מאמי
6,spotify:track:3idINUuyRidKbQiMFt6EkU,"Gal Adam, NOROZ",משוגעת,P.A.I LTD / NOROZ under exclusive license to D-Music,4,4,10,147966,Gal Adam,['israeli mediterranean'],משוגעת
7,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,4,5,14,143763,Sam Smith,"['pop', 'uk pop']",Unholy (feat. Kim Petras)
8,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,7,54,141042,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
9,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,6,8,18,140087,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue)
10,spotify:track:5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,6,20,139281,Noa Kirel,['israeli pop'],פנתרה
11,spotify:track:0urIdTVIjmPX5i9dsIusQj,Odeya,החיים שלי אחריך,Helicon Aroma Music Ltd.,4,9,5,138953,אודיה,['israeli pop'],החיים שלי אחריך
12,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,10,32,135357,Eden Hason,['israeli mediterranean'],עושה לי צרות
13,spotify:track:1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,11,11,5,120967,Eden Hason,['israeli mediterranean'],עד שתבואי עד אליי
14,spotify:track:6clAq1cGO4PYimAmzelTmL,Shira Margalit,אחותי כבר לא סובלת אותך,Anana Ltd,12,12,5,119920,Shira Margalit,['israeli pop'],אחותי כבר לא סובלת אותך
15,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,13,34,118441,Full Trunk,['israeli rock'],ממותה
16,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,16,16,4,116858,Metro Boomin,['rap'],HEROES & VILLAINS
17,spotify:track:2XNXcmwubbt8MJYlQRb4V2,Odeya,אינטלקטוערס,Helicon Aroma Music Ltd.,6,14,23,115964,אודיה,['israeli pop'],אינטלקטוערס
18,spotify:track:3xtK7rFrJvL5hrBu4vFgf7,"Anna Zak, Eden Ben Zaken, Nunu",ראשון בבוקר,Sarit Productions LTD / Helicon Aroma Music LTD / Itmodels / Neomi Aharoni Gal under exclusive license to D-Music,18,20,3,113127,Anna Zak,['israeli pop'],ראשון בבוקר
19,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,19,24,3,112698,SZA,"['pop', 'r&b', 'rap']",SOS
20,spotify:track:4W1G1xlxcirdtXosgsR0m0,Agam Buhbut,קופידון (Prod. By Triangle),2022 Z.I. Productions BY PIL LTD,10,19,15,109298,Agam Buhbut,['israeli mediterranean'],קופידון (Prod. By Triangle)
21,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,12,15,9,108304,Meghan Trainor,"['hip pop', 'pop']",Takin' It Back
22,spotify:track:05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,18,47,107039,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבד על המיטה
23,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,17,39,104553,Harry Styles,['pop'],Harry's House
24,spotify:track:6Eds9y8ZiQHcIegsEIVcYP,"Avraham Tal, Eden Hason",את חסרה לי & אורות,Mobile1 Music,11,21,12,99379,Avraham Tal,['israeli pop'],את חסרה לי & אורות
25,spotify:track:3hpaRxH73ciJCuH6QcNWXO,Eden Hason,מטפסים על הקירות,Mobile1 Music,6,22,21,97755,Eden Hason,['israeli mediterranean'],מטפסים על הקירות
26,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,21,25,59,91027,Tom Odell,['chill pop'],Long Way Down
27,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,14,23,27,87131,OneRepublic,"['piano rock', 'pop']","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")"
28,spotify:track:6tldCcfbfXkLApFllqab7S,"Omer Adam, Idan Raichel",מדברים בשקט (מתוך חזרות למופע NEXT),P.A.I LTD / Helicon Aroma Music LTD / Next,28,47,4,85006,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",מדברים בשקט (מתוך חזרות למופע NEXT)
29,spotify:track:3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,NaNa Disc,10,27,54,82380,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
30,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,26,31,11,82265,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Encore (Deluxe Version)
31,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,26,49,80634,שחר סאול,['israeli hip hop'],דובשנייה
32,spotify:track:3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,29,120,78407,Marina Maximilian,['israeli pop'],ביחד
33,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,33,35,11,78246,JVKE,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",this is what ____ feels like (Vol. 1-4)
34,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,11,28,8,78197,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Her Loss
35,spotify:track:0SmY5bTuls1ccput6QhHSA,Adir Getz,"אני אוהב, אני מכור, אני שרוף",Unicell,18,36,27,77045,Adir Getz,['israeli mediterranean'],"אני אוהב, אני מכור, אני שרוף"
36,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,32,114,76479,Eden Hason,['israeli mediterranean'],אלבום 2
37,spotify:track:6d8ZHsSyTg6ABLkWNCZdSy,Avi Aburomi,מה עובר לך בראש,2022 Avi Aburomi BY PIL LTD,18,42,19,75668,Avi Aburomi,['israeli pop'],מה עובר לך בראש
38,spotify:track:2PpTUW96jjJYr8ib8RUnUu,Tuna,י'א 2,Anana Ltd.,38,40,121,74677,Tuna,"['israeli hip hop', 'israeli pop']",טונהפארק
39,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,7,38,57,74497,אודיה,['israeli pop'],אם הייתי צריכה
40,spotify:track:73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You - Bonus Track,Atlantic Records,19,41,12,74050,Oliver Tree,['alternative hip hop'],Miss You
41,spotify:track:01H5jdEyPwM4rhc7gTWLgt,Eden Ben Zaken,כינורות,Sarit Productions LTD / Helicon Aroma Music Ltd. under exclusive license to D-Music,26,30,7,73427,Eden Ben Zaken,"['israeli mediterranean', 'israeli pop']",כינורות
42,spotify:track:5tNrVA1ySsk7HkV5yg2iXN,"Marina Maximilian, Itay Galo",עולה על שולחנות,Marina Maximilian / Itay Galo under exclusive license to D-Music,17,39,24,72426,Marina Maximilian,['israeli pop'],עולה על שולחנות
43,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,43,79,4,70289,Peer Tasi,['israeli mediterranean'],רדיו שטח
44,spotify:track:2un3eax2X0XgvF1ixBlw8O,ענבל רז,ננה בננה,session42,31,34,7,70242,ענבל רז,['israeli pop'],ננה בננה
45,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,50,79,69094,Narkis,['israeli pop'],הולכת איתך
46,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,8,43,10,68598,Taylor Swift,['pop'],Midnights
47,spotify:track:5WxVXxCMRnvxUKFq40ELwq,"RAYE, 070 Shake",Escapism.,Human Re Sources,47,88,4,67859,RAYE,"['uk contemporary r&b', 'uk pop']",Escapism. (Sped Up)
48,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,47,56,25,66935,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",AM
49,spotify:track:7DS5SpsWS7rtKeAfe9rbfn,"Nunu, Sagi Kariv, Forever Tel Aviv",Cute Boy,Neomi Aharoni Gal / Forever Tel Aviv under exclusive license to D-Music,1,49,29,66730,Nunu,['israeli hip hop'],Cute Boy
50,spotify:track:6GMedZwOyjw0OQM25vWixh,Hanan Ben Ari,אלא בי,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,50,-1,1,66367,Hanan Ben Ari,['israeli pop'],אלא בי
