rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:4zXfQYhcSboWEOAwIQST9N,Omer Adam,רק שלך,P.A.I LTD,1,1,3,677797,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
2,spotify:track:2yPnlfwQ1AmhHauqQWDlWZ,Osher Cohen,מנגן ושר,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,2,9,475634,Osher Cohen,['israeli mediterranean'],THE LAST EPISODE
3,spotify:track:4dELL8S6XVMibwBkjJACF1,Omer Adam,לילות וקללות,P.A.I LTD,3,3,3,467059,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
4,spotify:track:7fcFn0EdQleBdarD7yLp95,Omer Adam,מבת ים ועד הנצח,P.A.I LTD,4,8,3,287220,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
5,spotify:track:2fewVF6oOGKux69rHGbPMq,Eden Hason,צוחקת ובוכה,Mobile1 Music,4,4,10,270752,Eden Hason,['israeli mediterranean'],צוחקת ובוכה
6,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",4,6,11,270719,Benson Boone,['singer-songwriter pop'],Fireworks & Rollerblades
7,spotify:track:2Ozw7k5CLtM5W9SomrOyjw,Eden Golan,Hurricane,Session42,2,5,5,261015,Eden Golan,[],Hurricane
8,spotify:track:2M8hzSzwsIlsCTAhuAQGSf,Omer Adam,כסף או דמעות,P.A.I LTD,8,11,3,255429,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
9,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,2,7,32,250645,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים
10,spotify:track:2CUwpTA4gOSouCTyRN1vnE,Itay Levi,אין לי מקום אחר,Mobile1 Music,5,13,17,238161,Itay Levi,"['israeli mediterranean', 'mizrahi']",אין לי מקום אחר
