rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:6nSQvSGrFykSmDIOetK94r,Jasmin Moallem,יהיה טוב,Helicon Music,1,4,20,209820,Jasmin Moallem,['israeli pop'],אין עולם
2,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,1,19,161229,Osher Cohen,['israeli mediterranean'],Part II
3,spotify:track:44GSjYhBxuuKx0ikN5Dmag,"Omer Adam, Jasmin Moallem",יהיה טוב & מים שקופים,P.A.I LTD / Jasmin Moallem,3,3,7,159928,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",יהיה טוב & מים שקופים
4,spotify:track:0E9S1H3TktlpHmGyuKEfkL,יגל אושרי,לצאת מדיכאון,Liam Productions under exclusive license to D-Music,4,16,9,153387,יגל אושרי,['israeli pop'],לצאת מדיכאון
5,spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,Acqustic,5,32,2,139292,iñigo quintero,[],Si No Estás
6,spotify:track:3QCWA9RzAPb4Xw4BagADFq,Osher Cohen,ככה וככה,Helicon Aroma Music Ltd./ P.A.I Ltd.,2,2,19,122482,Osher Cohen,['israeli mediterranean'],Part II
7,spotify:track:0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,1,9,22,109358,Doli & Penn,['israeli pop'],לאהוב אותך כל יום
8,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,7,7,7,103513,Kenya Grace,['singer-songwriter pop'],Strangers
9,spotify:track:4wEFTT1fmFfsLY1K7Y40Cy,"Peled, Nastia Rod",עזבת ת'בית,Mobile1 Music,5,8,10,100524,Peled,"['israeli hip hop', 'israeli trap']",TATE WE MADE IT
10,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,6,6,5,96234,Tate McRae,['pop'],greedy
11,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,11,34,98,89866,Jasmin Moallem,['israeli pop'],יחפים
12,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,5,10,11,85167,Doja Cat,"['dance pop', 'pop']",Scarlet
13,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,17,70,85092,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live)
14,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,14,20,7,85018,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים
15,spotify:track:3Au0H4VhjcXZ5HGOHo8Nc3,Static,רונדלים,Mobile1 Music,3,11,35,82699,Static,[],לירז
16,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,21,74,80019,Eden Hason,['israeli mediterranean'],עושה לי צרות
17,spotify:track:0JoYMP7hvEwxKCjj9szUo6,LIAD MEIR,טיל פצמר,2023 Duda by PIL ltd,8,13,11,75603,ליעד מאיר,['israeli hip hop'],טיל פצמר
18,spotify:track:3X0WwsNHfSqpd85A9Iggr2,"Hanan Ben Ari, Peer Tasi",38 וחוץ מכדורגל,Peer Tasi / Hanan Ben Ari under eclusive license to D-Music,13,23,5,73939,Hanan Ben Ari,['israeli pop'],38 וחוץ מכדורגל
19,spotify:track:2KBtuxA73fMKyj37wr1XKM,Omer Adam,סטלות,P.A.I LTD,14,27,8,73700,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סטלות
20,spotify:track:7q40jR7vLHky0IKFTJWJ4K,Eyal Golan,שלום אהובתי,Liam Productions under exclusive license to D-Music,11,19,10,72507,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",שלום אהובתי
21,spotify:track:4E5fqKktoOAT3shxlolPBm,Odeya,אינטלקטוערסית,Helicon Aroma Music Ltd.,5,14,18,70828,אודיה,['israeli pop'],אינטלקטוערסית
22,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,"Drake, Yeat",IDGAF (feat. Yeat),OVO/Republic,15,15,2,69450,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",For All The Dogs
23,spotify:track:60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,18,36,68894,Osher Cohen,['israeli mediterranean'],אושר
24,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,28,96,67213,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
25,spotify:track:5JGVm5Xshr1IlNlW9phZFQ,Eden Hason,לא תראה אותי בוכה,Mobile1 Music,18,37,16,66909,Eden Hason,['israeli mediterranean'],לא תראה אותי בוכה
26,spotify:track:6oTChqDVAXNxJrg57siTxB,Hanan Ben Ari,עטלף עיוור,Hanan Ben Ari under exclusive license to D-Music,13,41,23,63038,Hanan Ben Ari,['israeli pop'],יש כאן יותר מזה
27,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,29,46,61183,Peer Tasi,['israeli mediterranean'],רדיו שטח
28,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,56,156,61108,Eden Hason,['israeli mediterranean'],אלבום 2
29,spotify:track:6NUzJGlQORUv6NjUwcefr8,Eyal Golan,עיר נמל,Liam Productions under exclusive license to D-Music,11,35,30,60405,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023
30,spotify:track:6xtqda5h0wlcFn3WdI4pb6,Tuna,כל הכוכבים,NaNa Disc,19,51,87,60084,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
31,spotify:track:1kuGVB7EU95pJObxwvfwKS,Olivia Rodrigo,vampire,Olivia Rodrigo PS,9,31,16,58977,Olivia Rodrigo,['pop'],GUTS
32,spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Dave, Central Cee",Sprinter,Neighbourhood / Live Yours,10,36,20,58427,Dave,['uk hip hop'],Sprinter
33,spotify:track:6uCZdJ3p3hrfi6mRKVtt7k,Osher Cohen,תראי אהובתי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,10,30,36,57571,Osher Cohen,['israeli mediterranean'],אושר
34,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,45,66,56799,Benaia Barabi,['israeli mediterranean'],קרן שמש
35,spotify:track:6Eds9y8ZiQHcIegsEIVcYP,"Avraham Tal, Eden Hason",את חסרה לי & אורות,Mobile1 Music,11,80,54,56460,Avraham Tal,['israeli pop'],את חסרה לי & אורות
36,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,5,5,22,56249,Bruno Mars,"['dance pop', 'pop']",Unorthodox Jukebox
37,spotify:track:16NPQQxjcSfhb0UFaUVw5s,Eden Hason,אז מה עכשיו,Mobile1 Music,9,59,31,55750,Eden Hason,['israeli mediterranean'],אז מה עכשיו
38,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,38,47,67,54677,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",AM
39,spotify:track:4ZGe1hugAeejCOd7TWGiz0,Inbal Bibi,אף פעם לא לבד,Universal Music Israel,34,44,9,53738,Inbal Bibi,['israeli pop'],אף פעם לא לבד
40,spotify:track:1ttOlVyZvmnozD2muIxulw,Eviatar Banai,עד מחר,Hed Arzi Ltd.,40,84,291,52555,Eviatar Banai,"['classic israeli pop', 'israeli rock']",לילה כיום יאיר
41,spotify:track:0hlBI8n1v5F2mj0tDIM5ai,LIAD MEIR,שלוק מהבלו,2020 Duda By PIL LTD,39,39,20,52538,ליעד מאיר,['israeli hip hop'],שלוק מהבלו
42,spotify:track:6OXv4CrNp3DFRj6Cu1GojJ,Eyal Golan,מתי את חוזרת,Liam Productions under exclusive license to D-Music,6,57,30,51537,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023
43,spotify:track:52n4gF126eIllrGuc9Zus6,Ishay Ribo,לשוב הביתה,2018 ISHAY RIBO LTD BY PIL LTD,10,79,293,51302,Ishay Ribo,['israeli pop'],שטח אפור
