rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:4zXfQYhcSboWEOAwIQST9N,Omer Adam,רק שלך,P.A.I LTD,1,2,2,666819,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
2,spotify:track:2yPnlfwQ1AmhHauqQWDlWZ,Osher Cohen,מנגן ושר,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,1,8,460407,Osher Cohen,['israeli mediterranean'],THE LAST EPISODE
3,spotify:track:4dELL8S6XVMibwBkjJACF1,Omer Adam,לילות וקללות,P.A.I LTD,3,16,2,366392,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
4,spotify:track:2fewVF6oOGKux69rHGbPMq,Eden Hason,צוחקת ובוכה,Mobile1 Music,4,5,9,301468,Eden Hason,['israeli mediterranean'],צוחקת ובוכה
5,spotify:track:2Ozw7k5CLtM5W9SomrOyjw,Eden Golan,Hurricane,Session42,2,3,4,295059,Eden Golan,[],Hurricane
6,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",4,6,10,290171,Benson Boone,['singer-songwriter pop'],Beautiful Things
7,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,2,4,31,274723,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים
8,spotify:track:7fcFn0EdQleBdarD7yLp95,Omer Adam,מבת ים ועד הנצח,P.A.I LTD,8,13,2,254804,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
9,spotify:track:1jCAwxwhHIrtWzGeF6WfJ7,Kfir Tsafrir,פחד אלוהים,Tedy Productions / Kfir Tsafrir under exclusive license to D-Music,1,7,20,249541,Kfir Tsafrir,['israeli trap'],פחד אלוהים
10,spotify:track:3IiaTxdKgDe9NvmosLM8bM,ששון איפרם שאולוב,בואי נדבר,Mobile1 Music,4,8,24,234433,ששון איפרם שאולוב,['israeli pop'],בואי נדבר
11,spotify:track:2M8hzSzwsIlsCTAhuAQGSf,Omer Adam,כסף או דמעות,P.A.I LTD,11,18,2,230662,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
12,spotify:track:0SMDtYt5HghaTMFc61nCnP,Omer Adam,ואיך שלא,P.A.I LTD,2,10,17,217063,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",ואיך שלא
13,spotify:track:2CUwpTA4gOSouCTyRN1vnE,Itay Levi,אין לי מקום אחר,Mobile1 Music,5,11,16,214926,Itay Levi,"['israeli mediterranean', 'mizrahi']",אין לי מקום אחר
14,spotify:track:1dkljZlzg37FoGtUJ1EsxQ,Osher Cohen,איפה אתה,Helicon Aroma Music Ltd./ P.A.I Ltd.,9,12,8,207419,Osher Cohen,['israeli mediterranean'],THE LAST EPISODE
15,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,9,43,207236,Osher Cohen,['israeli mediterranean'],Part II
16,spotify:track:16HcSqHWoJn7Be4T2MOCZ4,ששון איפרם שאולוב,גן עדן של משוגעים,Mobile1 Music,6,14,15,206914,ששון איפרם שאולוב,['israeli pop'],גן עדן של משוגעים
17,spotify:track:1O0VUtEP7oVZKAXOMl0QLY,Omer Adam,אקדח,P.A.I LTD,17,17,2,199137,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
18,spotify:track:5rqeYyQ1EpbEJKkH4cgncs,Tuna,בין העיר לפרדס,NaNa Disc,18,-1,1,171130,Tuna,"['israeli hip hop', 'israeli pop']",בין העיר לפרדס
19,spotify:track:2foTZaysNY65xcTXlQKxg4,Odeya,אם אתה שלי,Helicon Aroma Music Ltd.,19,27,9,169464,אודיה,['israeli pop'],אם אתה שלי
20,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,13,15,11,154598,Teddy Swims,[],I've Tried Everything But Therapy (Part 1)
21,spotify:track:2tudvzsrR56uom6smgOcSf,"Future, Metro Boomin, Kendrick Lamar",Like That,Wilburn Holding Co./Boominati/Epic/Republic,21,22,2,152139,Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",WE DON'T TRUST YOU
22,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,16,19,6,147840,Djo,"['pov: indie', 'psychedelic pop']",DECIDE
23,spotify:track:5lNB8HWmxpICQXi5Pgatz1,"Shahar Tavoch, Agam Buhbut",נאדי באדי,NMC United Entertainment Ltd.,23,60,3,144711,שחר טבוך,[],"היי, זה שחר"
24,spotify:track:3cXhJh34pRLkZegiL5cfy9,ששון איפרם שאולוב,כשיגמר לכם הקיץ,Mobile1 Music,11,21,25,143766,ששון איפרם שאולוב,['israeli pop'],כשיגמר לכם הקיץ
25,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,14,20,4,143154,Ariana Grande,['pop'],eternal sunshine
26,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,6,23,29,142482,Tate McRae,['pop'],greedy
27,spotify:track:1pizAMAnDm5kDUSBKY3SPk,Osher Cohen,עד שיירד הסהר,Helicon Aroma Music Ltd./ P.A.I Ltd.,6,32,8,138637,Osher Cohen,['israeli mediterranean'],THE LAST EPISODE
28,spotify:track:6nSQvSGrFykSmDIOetK94r,Jasmin Moallem,יהיה טוב,Helicon Music,1,25,44,137304,Jasmin Moallem,['israeli pop'],אין עולם
29,spotify:track:4wEFTT1fmFfsLY1K7Y40Cy,"Peled, Nastia Rod",עזבת ת'בית,Mobile1 Music,5,26,34,134490,Peled,"['israeli hip hop', 'israeli trap']",TATE WE MADE IT
30,spotify:track:6ClLC1FYoL8orfOrcknQkk,Alma Gov,מה לעשות עם הזאב,Universal Music Israel Distributed Labels,30,39,7,134083,Alma Gov,[],איך האהבה הזאת חומקת בין האצבעות
31,spotify:track:5zdau2dtmOUHF3CJ3odKfb,ששון איפרם שאולוב,נתראה בגלגול הבא,Mobile1 Music,17,29,21,133245,ששון איפרם שאולוב,['israeli pop'],נתראה בגלגול הבא
32,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,35,120,127102,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
33,spotify:track:3QCWA9RzAPb4Xw4BagADFq,Osher Cohen,ככה וככה,Helicon Aroma Music Ltd./ P.A.I Ltd.,2,24,43,124993,Osher Cohen,['israeli mediterranean'],Part II
34,spotify:track:7wLShogStyDeZvL0a6daN5,Beyoncé,TEXAS HOLD 'EM,Parkwood Entertainment/Columbia,34,53,7,124677,Beyoncé,"['pop', 'r&b']",COWBOY CARTER
35,spotify:track:0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,1,28,46,124604,Doli & Penn,['israeli pop'],לאהוב אותך כל יום
36,spotify:track:2GxrNKugF82CnoRFbQfzPf,Artemas,i like the way you kiss me,Artemas,36,129,2,123703,Artemas,[],i like the way you kiss me
37,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,33,98,122026,Eden Hason,['israeli mediterranean'],עושה לי צרות
38,spotify:track:2KBtuxA73fMKyj37wr1XKM,Omer Adam,סטלות,P.A.I LTD,13,42,32,121509,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סטלות
39,spotify:track:6Xg2Ir8Go9giAzRxW4Jaze,Hatikva 6,גיבורי על,Hatikva 6 under exclusive license to D-Music,39,41,5,120618,Hatikva 6,"['israeli hip hop', 'israeli pop']",גיבורי על
40,spotify:track:3w0w2T288dec0mgeZZqoNN,"¥$, Kanye West, Ty Dolla $ign",CARNIVAL,Ye,22,30,8,119040,¥$,[],VULTURES 1
41,spotify:track:0E9S1H3TktlpHmGyuKEfkL,יגל אושרי,לצאת מדיכאון,Liam Productions under exclusive license to D-Music,1,34,33,117869,יגל אושרי,['israeli pop'],לצאת מדיכאון
42,spotify:track:6xtqda5h0wlcFn3WdI4pb6,Tuna,כל הכוכבים,NaNa Disc,19,51,111,115642,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
43,spotify:track:44GSjYhBxuuKx0ikN5Dmag,"Omer Adam, Jasmin Moallem",יהיה טוב & מים שקופים,P.A.I LTD / Jasmin Moallem,2,31,31,113251,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",יהיה טוב & מים שקופים
44,spotify:track:3yqs30JY1zriDdlN2di2gI,"ששון איפרם שאולוב, Odeya",הדם שלי,Mobile1 Music,14,38,11,111713,ששון איפרם שאולוב,['israeli pop'],הדם שלי
45,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,45,94,111432,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live)
46,spotify:track:3RBpmZJ0YG9abVBXI2U1UO,Eden Hason,את חסרה לי,Mobile1 Music,1,36,197,109985,Eden Hason,['israeli mediterranean'],אלבום 2
47,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,37,180,107621,Eden Hason,['israeli mediterranean'],אלבום 2
48,spotify:track:6oTChqDVAXNxJrg57siTxB,Hanan Ben Ari,עטלף עיוור,Hanan Ben Ari under exclusive license to D-Music,13,40,47,104055,Hanan Ben Ari,['israeli pop'],יש כאן יותר מזה
