rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,1,5,193983,Harry Styles,['pop'],As It Was
2,spotify:track:3fCS3m3uWUgAFm3purs15C,Anna Zak,לך לישון,ITModels under exclusive license to D-Music,1,2,17,130034,Anna Zak,['israeli pop'],לך לישון
3,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,3,15,129914,שחר סאול,['israeli hip hop'],דובשנייה
4,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,4,6,21,123211,Eden Hason,['israeli mediterranean'],מה פספסתי
5,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,4,66,114309,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels)
6,spotify:track:4DgyTAwiSJsT5u5EljsImB,"Noa Kirel, Itay Galo",פעמון,Noa Kirel / Itay Galo under exclusive license to NMC United Entertainment Ltd.,4,5,7,110426,Noa Kirel,['israeli pop'],פעמון
7,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,8,20,106266,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
8,spotify:track:4OuoS8NAur7tj6rMDpTVjJ,Maya Dadon,כמו שאני,Icon Artist Management under exclusive license to D-Music,8,9,6,103322,Maya Dadon,['israeli pop'],כמו שאני
9,spotify:track:05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,7,13,101856,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבד על המיטה
10,spotify:track:1ZEsqzNBQqyC7VLRTUDopj,"Mor, Avi Aburomi",חצי שלי,2022 Avi Aburomi & Sarit Productions BY PIL LTD,10,10,6,98558,Mor,['israeli pop'],חצי שלי
11,spotify:track:6so2IwKQyYFkNv1G0FrZ95,Nunu,ליבינג דה דרים,Neomi Aharoni Gal under exclusive license to D-Music,9,12,10,95464,Nunu,['israeli hip hop'],ליבינג דה דרים
12,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,7,13,37,90477,Farruko,"['reggaeton', 'trap latino', 'urbano latino']",La 167
13,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,1,11,27,90154,Imagine Dragons,"['modern rock', 'pop', 'rock']",Mercury - Act 1
14,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,17,45,88338,Narkis,['israeli pop'],הולכת איתך
15,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,14,14,14,87019,Elley Duhé,['alt z'],MIDDLE OF THE NIGHT
16,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,Jack Harlow,First Class,Generation Now/Atlantic,16,19,4,84087,Jack Harlow,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",First Class
17,spotify:track:4N8FwcfRTju02qsgn9Mcl8,Eden Hason,בואי נישן על זה,Mobile1 Music,17,18,3,83934,Eden Hason,['israeli mediterranean'],בואי נישן על זה
18,spotify:track:70Vsir4Wan3TrEzGCIZy0l,Eden Hason,ככה כל יום,Mobile1 Music,9,15,12,83508,Eden Hason,['israeli mediterranean'],ככה כל יום
19,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,7,16,23,80635,אודיה,['israeli pop'],אם הייתי צריכה
20,spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,18,20,30,80034,Lost Frequencies,"['belgian edm', 'edm', 'pop dance', 'tropical house']",Where Are You Now
21,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,2,21,43,76910,The Kid LAROI,['australian hip hop'],F*CK LOVE 3: OVER YOU
22,spotify:track:7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,26,27,74730,Eden Hason,['israeli mediterranean'],אלבום 2
23,spotify:track:4aqlgwaZNzb94QuHP6y58X,"Omer Adam, Static & Ben El",לכאורה,P.A.I LTD / Gaga Booking,12,23,9,74679,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לכאורה
24,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,7,22,24,74266,GAYLE,"['alt z', 'modern alternative pop']",abcdefu
25,spotify:track:2liUMhNvpAxRNVAGnz8jNJ,"Static & Ben El, Netta",אפס מאמץ,Mobile1 Music,1,28,44,73308,Static & Ben El,"['israeli pop', 'jewish pop']",שבעה ירחים
26,spotify:track:2DB4DdfCFMw1iaR6JaR03a,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,25,25,9,72359,Camila Cabello,"['dance pop', 'pop']",Familia
27,spotify:track:6qi83Ret9Yok9PfZWzmdZk,"בנאל בן ציון, שירז אברהם",חסר/ה לי ברמות,Mobile1 Music,13,27,11,72087,בנאל בן ציון,['israeli pop'],חסר/ה לי ברמות
28,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,1,24,41,71948,Lil Nas X,['lgbtq+ hip hop'],MONTERO
29,spotify:track:18asYwWugKjjsihZ0YvRxO,"Tiësto, Ava Max",The Motto,Atlantic Records,25,29,20,67365,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",The Motto
30,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,Atlantic Records UK,6,30,45,65471,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",=
31,spotify:track:7xluxbbxxQ8ovB6xrJUlim,"Elai Botner, Avraham Aviv Alush",הכי קרוב אלייך,NMC United Entertainment Ltd.,20,32,91,64307,Elai Botner,['israeli pop'],הכי קרוב אלייך
32,spotify:track:66iaD8MCoVnBtqUhuzdglT,Ran Danker,בית משוגעים,NMC United Entertainment Ltd.,1,37,61,64146,Ran Danker,"['festigal', 'israeli pop']",בית משוגעים
33,spotify:track:3RBpmZJ0YG9abVBXI2U1UO,Eden Hason,את חסרה לי,Mobile1 Music,1,34,97,64065,Eden Hason,['israeli mediterranean'],אלבום 2
34,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,14,31,34,63779,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",=
35,spotify:track:3ZT2YK7nfPXq3xCrlWkgt7,Maya Dadon,חוץ ממך,Icon Artist Management under exclusive license to D-Music,2,33,15,63503,Maya Dadon,['israeli pop'],חוץ ממך
36,spotify:track:3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,40,86,61631,Marina Maximilian,['israeli pop'],ביחד
