rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,1,17,335195,Osher Cohen,['israeli mediterranean'],Part II
2,spotify:track:3QCWA9RzAPb4Xw4BagADFq,Osher Cohen,ככה וככה,Helicon Aroma Music Ltd./ P.A.I Ltd.,2,2,17,282669,Osher Cohen,['israeli mediterranean'],Part II
3,spotify:track:0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,1,4,20,205531,Doli & Penn,['israeli pop'],לאהוב אותך כל יום
4,spotify:track:44GSjYhBxuuKx0ikN5Dmag,"Omer Adam, Jasmin Moallem",יהיה טוב & מים שקופים,P.A.I LTD / Jasmin Moallem,3,3,5,204141,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",יהיה טוב & מים שקופים
5,spotify:track:4wEFTT1fmFfsLY1K7Y40Cy,"Peled, Nastia Rod",עזבת ת'בית,Mobile1 Music,5,6,8,199466,Peled,"['israeli hip hop', 'israeli trap']",TATE WE MADE IT
6,spotify:track:56y1jOTK0XSvJzVv9vHQBK,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,5,5,9,178726,Doja Cat,"['dance pop', 'pop']",Scarlet
7,spotify:track:3Au0H4VhjcXZ5HGOHo8Nc3,Static,רונדלים,Mobile1 Music,3,7,33,175089,Static,[],לירז
8,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,8,9,5,164364,Kenya Grace,['singer-songwriter pop'],Strangers
9,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,9,25,3,164162,Tate McRae,['pop'],greedy
10,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,10,43,20,153647,Bruno Mars,"['dance pop', 'pop']",Unorthodox Jukebox
11,spotify:track:6nSQvSGrFykSmDIOetK94r,Jasmin Moallem,יהיה טוב,Helicon Music,11,16,18,152292,Jasmin Moallem,['israeli pop'],אין עולם
12,spotify:track:4E5fqKktoOAT3shxlolPBm,Odeya,אינטלקטוערסית,Helicon Aroma Music Ltd.,5,10,16,151742,אודיה,['israeli pop'],אינטלקטוערסית
13,spotify:track:3X0WwsNHfSqpd85A9Iggr2,"Hanan Ben Ari, Peer Tasi",38 וחוץ מכדורגל,Peer Tasi / Hanan Ben Ari under eclusive license to D-Music,13,18,3,151010,Hanan Ben Ari,['israeli pop'],38 וחוץ מכדורגל
14,spotify:track:7q40jR7vLHky0IKFTJWJ4K,Eyal Golan,שלום אהובתי,Liam Productions under exclusive license to D-Music,11,13,8,148544,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",שלום אהובתי
15,spotify:track:60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,11,34,145745,Osher Cohen,['israeli mediterranean'],אושר
16,spotify:track:0JoYMP7hvEwxKCjj9szUo6,LIAD MEIR,טיל פצמר,2023 Duda by PIL ltd,8,12,9,142131,ליעד מאיר,['israeli hip hop'],טיל פצמר
17,spotify:track:2KBtuxA73fMKyj37wr1XKM,Omer Adam,סטלות,P.A.I LTD,14,17,6,140264,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סטלות
18,spotify:track:2b9TjqgLxE6zOZc4DSmYYx,"Noa Kirel, Forever Tel Aviv, Sagi Kariv",פרובוקטיבית,Noa Kirel / Forever Tel Aviv under exclusive license to D-Music,2,15,18,136890,Noa Kirel,['israeli pop'],פרובוקטיבית
19,spotify:track:6NUzJGlQORUv6NjUwcefr8,Eyal Golan,עיר נמל,Liam Productions under exclusive license to D-Music,11,19,28,136556,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023
20,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,14,72,136245,Eden Hason,['israeli mediterranean'],עושה לי צרות
21,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,21,68,132325,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live)
22,spotify:track:2N0SPREDYqILVEFSsWF5N5,V,Love Me Again,BIGHIT MUSIC,8,8,8,131223,V,"['j-division', 'korean ost']",Layover
23,spotify:track:6oTChqDVAXNxJrg57siTxB,Hanan Ben Ari,עטלף עיוור,Hanan Ben Ari under exclusive license to D-Music,13,29,21,125576,Hanan Ben Ari,['israeli pop'],יש כאן יותר מזה
24,spotify:track:5JGVm5Xshr1IlNlW9phZFQ,Eden Hason,לא תראה אותי בוכה,Mobile1 Music,18,24,14,125443,Eden Hason,['israeli mediterranean'],לא תראה אותי בוכה
25,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,27,94,121304,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
26,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,23,44,120986,Peer Tasi,['israeli mediterranean'],רדיו שטח
27,spotify:track:6uCZdJ3p3hrfi6mRKVtt7k,Osher Cohen,תראי אהובתי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,10,22,34,119261,Osher Cohen,['israeli mediterranean'],אושר
28,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,Atlantic Records,28,128,10,117671,Bruno Mars,"['dance pop', 'pop']",24K Magic
29,spotify:track:3mCCFs2hdDM2mObzARzxOg,"STILLA, Ness",תיק קטן,2023 Va’ad Ha Bait records By PIL LTD,1,26,23,114347,סטילה,['israeli hip hop'],תיק קטן
30,spotify:track:7v7nrrYMIdugbGRAseawG9,Noa Kirel,DEJA VU,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,8,20,10,113290,Noa Kirel,['israeli pop'],DEJA VU
31,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,When I Was Your Man,Atlantic Records,31,111,13,109702,Bruno Mars,"['dance pop', 'pop']",Unorthodox Jukebox
32,spotify:track:16NPQQxjcSfhb0UFaUVw5s,Eden Hason,אז מה עכשיו,Mobile1 Music,9,31,29,108882,Eden Hason,['israeli mediterranean'],אז מה עכשיו
33,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Elektra (NEK),33,133,5,108737,Bruno Mars,"['dance pop', 'pop']",Doo-Wops & Hooligans
34,spotify:track:0E9S1H3TktlpHmGyuKEfkL,יגל אושרי,לצאת מדיכאון,Liam Productions under exclusive license to D-Music,30,30,7,108280,יגל אושרי,['israeli pop'],לצאת מדיכאון
35,spotify:track:1kuGVB7EU95pJObxwvfwKS,Olivia Rodrigo,vampire,Olivia Rodrigo PS,9,32,14,108080,Olivia Rodrigo,['pop'],GUTS
36,spotify:track:4ZGe1hugAeejCOd7TWGiz0,Inbal Bibi,אף פעם לא לבד,Universal Music Israel,34,34,7,108047,Inbal Bibi,['israeli pop'],אף פעם לא לבד
37,spotify:track:4lLtanYk6tkMvooU0tWzG8,Bruno Mars,Grenade,Elektra (NEK),37,116,6,106932,Bruno Mars,"['dance pop', 'pop']",Doo-Wops & Hooligans
38,spotify:track:0NdV41q6lBoO4WyCaZmIJU,Stephane Legar,רק אני יודע,Stephane Gagba / Gaga Management / Helicon Aroma Music LTD. under exclusive license to D-Music,21,35,13,103172,Stephane Legar,"['israeli hip hop', 'israeli pop']",רק אני יודע
39,spotify:track:6OXv4CrNp3DFRj6Cu1GojJ,Eyal Golan,מתי את חוזרת,Liam Productions under exclusive license to D-Music,6,40,28,101829,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023
40,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,15,39,96,101728,Jasmin Moallem,['israeli pop'],יחפים
41,spotify:track:1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,5,36,45,100943,Eden Hason,['israeli mediterranean'],עד שתבואי עד אליי
42,spotify:track:3Q6d64XJr20cHQtRd07YGj,"Omer Adam, David Broza",סיגליות,P.A.I LTD,37,37,18,100690,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סוף העולם
43,spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Dave, Central Cee",Sprinter,Neighbourhood / Live Yours,10,33,18,100029,Dave,['uk hip hop'],Sprinter
44,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,41,64,100022,Benaia Barabi,['israeli mediterranean'],קרן שמש
45,spotify:track:6b8Be6ljOzmkOmFslEb23P,Bruno Mars,24K Magic,Atlantic Records,45,-1,2,98734,Bruno Mars,"['dance pop', 'pop']",24K Magic
46,spotify:track:58m9mqwBLliFpIFSYzprSn,Eyal Golan,עטלף עיוור,Liam Productions under exclusive license to D-Music,30,46,14,96935,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",עטלף עיוור
47,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,47,76,5,93252,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים
