rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:5nYFRLTLrqiETyy6LUPfhQ,"STILLA, Ness",מגדלים,2024 Va’ad Ha Bait records & Maman Productions by PIL ltd,1,2,10,457036,סטילה,['israeli hip hop'],מגדלים
2,spotify:track:34KzX8fwFPLchmOvYBDap0,"Osher Cohen, Noa Kirel",אין אותי,Helicon Aroma Music Ltd. / P.A.I Ltd.,1,1,9,425783,Osher Cohen,['israeli mediterranean'],NEXT EPISODE
3,spotify:track:40i7ilG9ltStXi09E5m32E,Odeya,בן אדם,Helicon Aroma Music Ltd.,3,4,4,403211,אודיה,['israeli pop'],ילדה של אמונה
4,spotify:track:7AlqKFiOM5X7nJdtbwvsi6,Jasmin Moallem,דאמ,Helicon Music,3,3,6,365288,Jasmin Moallem,['israeli pop'],דאמ
5,spotify:track:0h8eZd7eqwZISaz9bkj1zV,Itay Levi,מערב ראשון,Mobile1 Music,3,5,16,319722,Itay Levi,"['israeli mediterranean', 'mizrahi']",מערב ראשון
6,spotify:track:3FihyZ7YA7vrNiSUfWww10,"STILLA, Ness",באמפרים,2024 Va’ad Ha Bait records & Maman Productions by PIL ltd,1,6,17,287517,סטילה,['israeli hip hop'],באמפרים
7,spotify:track:0Wr6wZgEP1npYg0vrsWPIZ,Peer Tasi,רוז,Peer Tasi LTD under exclusive license to D-Music,1,7,17,273669,Peer Tasi,['israeli mediterranean'],רדיו שטח 2
8,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,8,11,5,272919,Lady Gaga,"['art pop', 'dance pop', 'pop']",Die With A Smile
9,spotify:track:0D9A15ZzO3VzLIYqOfm6QB,מ',אני חוזר,Ilay Eliyahu Mataraso under exclusive license to D-Music,9,10,14,272076,מ',[],לחזור הביתה
10,spotify:track:6qB33ch9RK0aoMfxfnlXa1,Osher Cohen,פלסטרים,Helicon Aroma Music Ltd. / P.A.I Ltd.,1,9,22,261508,Osher Cohen,['israeli mediterranean'],פלסטרים
11,spotify:track:4DKH1iLhp007TVLURYtmeC,Peer Tasi,מה יהיה מחר,Peer Tasi LTD under exclusive license to D-Music,7,8,17,252070,Peer Tasi,['israeli mediterranean'],רדיו שטח 2
12,spotify:track:4zXfQYhcSboWEOAwIQST9N,Omer Adam,רק שלך,P.A.I LTD,1,12,26,198349,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
13,spotify:track:1Jx6aZyJR985kw8CWUZ15O,"Omer Adam, Odeya, ShrekDiMC",צמוד צמוד,P.A.I LTD / Helicon Aroma Music LTD,1,13,23,185940,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",צמוד צמוד
14,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,19,122,182939,Eden Hason,['israeli mediterranean'],עושה לי צרות
15,spotify:track:17Gbwxyhsj0dznw9DSruNC,"Omer Adam, ShrekDiMC",ראיתי עולם,P.A.I LTD,1,17,17,178997,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",ראיתי עולם
16,spotify:track:0hdDyhwaJpNW5nsJC3qYPe,Peer Tasi,מלודי,Peer Tasi LTD under exclusive license to D-Music,5,15,17,173763,Peer Tasi,['israeli mediterranean'],רדיו שטח 2
17,spotify:track:7hBNxod1lDW2HKu9wlBUp5,Odeya,עובד בכפר,Helicon Aroma Music Ltd.,17,27,4,168688,אודיה,['israeli pop'],ילדה של אמונה
18,spotify:track:2eauhZzDelRWx1f3PmdaxU,Itay Levi,חולה ירח,Mobile1 Music,14,16,16,168140,Itay Levi,"['israeli mediterranean', 'mizrahi']",חולה ירח
19,spotify:track:2yPnlfwQ1AmhHauqQWDlWZ,Osher Cohen,מנגן ושר,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,14,32,163645,Osher Cohen,['israeli mediterranean'],THE LAST EPISODE
20,spotify:track:2fewVF6oOGKux69rHGbPMq,Eden Hason,צוחקת ובוכה,Mobile1 Music,4,23,33,161793,Eden Hason,['israeli mediterranean'],צוחקת ובוכה
21,spotify:track:2CUwpTA4gOSouCTyRN1vnE,Itay Levi,אין לי מקום אחר,Mobile1 Music,5,21,40,154402,Itay Levi,"['israeli mediterranean', 'mizrahi']",אין לי מקום אחר
22,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,11,18,15,153964,Adam Port,['melodic house'],Move
23,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,13,24,35,153481,Teddy Swims,[],I've Tried Everything But Therapy (Part 1)
24,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,15,22,18,152050,Billie Eilish,"['art pop', 'pop']",HIT ME HARD AND SOFT
25,spotify:track:6JnLTSjPA96Dgg9VCDRf1r,ילד.,למה את?,Universal Music Israel Distributed Labels,6,20,22,149377,ילד.,[],ילד.
26,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",4,26,34,142863,Benson Boone,['singer-songwriter pop'],Fireworks & Rollerblades
27,spotify:track:78FrkrO3KgizjXDObyFvzW,Static,צ'יק צ'ק,Mobile1 Music,27,122,2,141528,Static,[],צ'יק צ'ק
28,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,30,204,140200,Eden Hason,['israeli mediterranean'],אלבום 2
29,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,11,25,23,140069,Sabrina Carpenter,['pop'],Espresso
30,spotify:track:4dELL8S6XVMibwBkjJACF1,Omer Adam,לילות וקללות,P.A.I LTD,2,32,26,135572,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות
31,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,31,67,130055,Osher Cohen,['israeli mediterranean'],Part II
32,spotify:track:1ChZJDdEU5tR4ZrLeuDh5u,Osher Cohen,לופ,Helicon Aroma Music Ltd. / P.A.I Ltd.,32,-1,1,129803,Osher Cohen,['israeli mediterranean'],לופ
33,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,33,36,4,125327,Sabrina Carpenter,['pop'],Short n' Sweet
34,spotify:track:5FQCwtsC3YanKJzpfkvnDt,Moshiko Mor,שותפה שלי,E.S Productions under exclusive license to D-Music,34,46,5,124121,Moshiko Mor,['israeli mediterranean'],שותפה שלי
35,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,2,29,55,122202,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים
36,spotify:track:6Xg2Ir8Go9giAzRxW4Jaze,Hatikva 6,גיבורי על,Hatikva 6 under exclusive license to D-Music,21,34,29,120784,Hatikva 6,"['israeli hip hop', 'israeli pop']",גיבורי על
37,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,28,144,116636,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
38,spotify:track:3RBpmZJ0YG9abVBXI2U1UO,Eden Hason,את חסרה לי,Mobile1 Music,1,35,221,114320,Eden Hason,['israeli mediterranean'],אלבום 2
39,spotify:track:4L5Uj4Dt6rjFL0H7hl2qHF,Omer Adam,עברנו הכל,P.A.I LTD,39,-1,1,111307,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",עברנו הכל
40,spotify:track:4EN9nGt9TWutt0iDTRnXjY,Shilo Ben Saadon,כוכבים,Or Mermelstein under exclusive license to D-Music,16,40,24,110836,שילה בן סעדון,['israeli pop'],כוכבים
41,spotify:track:6xtqda5h0wlcFn3WdI4pb6,Tuna,כל הכוכבים,NaNa Disc,19,37,135,105991,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
42,spotify:track:2WDgnb44mEO7gWUtECuNLJ,"Static, Adi Bity",מכשפה,Mobile1 Music,23,38,21,103912,Static,[],להרים
43,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,4,50,146,103374,Jasmin Moallem,['israeli pop'],יחפים
44,spotify:track:0PfvEnfj3hHl7zlc0WcfGY,Ravid Plotnik,‏שלווה בארמונותייך,NaNa Disc,23,52,126,103084,Ravid Plotnik,"['israeli hip hop', 'israeli trap']",תוך כדי תנועה
45,spotify:track:0SMDtYt5HghaTMFc61nCnP,Omer Adam,ואיך שלא,P.A.I LTD,2,43,41,103039,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",ואיך שלא
