rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:6IVIMUcrykPBQqWVA0g7zw,"STILLA, Ness",חרבו דרבו,2023 Maman Productions & Va’ad Ha Bait Records by PIL ltd,1,1,3,463965,סטילה,['israeli hip hop'],חרבו דרבו
2,spotify:track:0E9S1H3TktlpHmGyuKEfkL,יגל אושרי,לצאת מדיכאון,Liam Productions under exclusive license to D-Music,1,2,15,324492,יגל אושרי,['israeli pop'],לצאת מדיכאון
3,spotify:track:6nSQvSGrFykSmDIOetK94r,Jasmin Moallem,יהיה טוב,Helicon Music,1,3,26,266789,Jasmin Moallem,['israeli pop'],אין עולם
4,spotify:track:44GSjYhBxuuKx0ikN5Dmag,"Omer Adam, Jasmin Moallem",יהיה טוב & מים שקופים,P.A.I LTD / Jasmin Moallem,2,4,13,261884,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",יהיה טוב & מים שקופים
5,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,5,5,13,244542,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים
6,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,7,25,201053,Osher Cohen,['israeli mediterranean'],Part II
7,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,4,6,104,195897,Jasmin Moallem,['israeli pop'],יחפים
8,spotify:track:5oi46p5BbFdvgI0bAeu1rX,Eyal Golan,עם ישראל חי,Liam Productions under exclusive license to D-Music,7,9,6,176826,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",עם ישראל חי
9,spotify:track:2pvlbipBAnMXwFkuRwLJpo,"Odeya, E-Z",חורף 23,Helicon Aroma Music Ltd / E-Z Booking Plus,6,8,6,167462,אודיה,['israeli pop'],חורף 23
10,spotify:track:1jCAwxwhHIrtWzGeF6WfJ7,Kfir Tsafrir,פחד אלוהים,Tedy Productions / Kfir Tsafrir under exclusive license to D-Music,10,67,2,160616,Kfir Tsafrir,['israeli trap'],פחד אלוהים
11,spotify:track:0CBpvL8Z0NRdazbJ4HDm9M,Osher Cohen,תרקדי (7.10.23),Helicon Aroma Music Ltd./ P.A.I Ltd.,10,10,4,152213,Osher Cohen,['israeli mediterranean'],תרקדי (7.10.23)
12,spotify:track:3QCWA9RzAPb4Xw4BagADFq,Osher Cohen,ככה וככה,Helicon Aroma Music Ltd./ P.A.I Ltd.,2,11,25,149644,Osher Cohen,['israeli mediterranean'],Part II
13,spotify:track:0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,1,12,28,149187,Doli & Penn,['israeli pop'],לאהוב אותך כל יום
14,spotify:track:4wEFTT1fmFfsLY1K7Y40Cy,"Peled, Nastia Rod",עזבת ת'בית,Mobile1 Music,5,15,16,133039,Peled,"['israeli hip hop', 'israeli trap']",TATE WE MADE IT
15,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,14,80,132776,Eden Hason,['israeli mediterranean'],עושה לי צרות
16,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,6,13,11,128716,Tate McRae,['pop'],greedy
17,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,19,162,116885,Eden Hason,['israeli mediterranean'],אלבום 2
18,spotify:track:3X0WwsNHfSqpd85A9Iggr2,"Hanan Ben Ari, Peer Tasi",38 וחוץ מכדורגל,Peer Tasi / Hanan Ben Ari under eclusive license to D-Music,13,18,11,112581,Hanan Ben Ari,['israeli pop'],38 וחוץ מכדורגל
19,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,20,102,112406,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
20,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,16,76,111684,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live)
21,spotify:track:3IiaTxdKgDe9NvmosLM8bM,ששון איפרם שאולוב,בואי נדבר,Mobile1 Music,21,24,6,111104,ששון איפרם שאולוב,['israeli pop'],בואי נדבר
22,spotify:track:2KBtuxA73fMKyj37wr1XKM,Omer Adam,סטלות,P.A.I LTD,13,17,14,110879,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סטלות
23,spotify:track:6xtqda5h0wlcFn3WdI4pb6,Tuna,כל הכוכבים,NaNa Disc,19,22,93,109897,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
24,spotify:track:3RBpmZJ0YG9abVBXI2U1UO,Eden Hason,את חסרה לי,Mobile1 Music,1,27,179,101164,Eden Hason,['israeli mediterranean'],אלבום 2
25,spotify:track:3mCCFs2hdDM2mObzARzxOg,"STILLA, Ness",תיק קטן,2023 Va’ad Ha Bait records By PIL LTD,1,29,31,101088,סטילה,['israeli hip hop'],תיק קטן
26,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,7,23,13,100374,Kenya Grace,['singer-songwriter pop'],Strangers
27,spotify:track:60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,30,42,98294,Osher Cohen,['israeli mediterranean'],אושר
28,spotify:track:3cXhJh34pRLkZegiL5cfy9,ששון איפרם שאולוב,כשיגמר לכם הקיץ,Mobile1 Music,28,31,7,97687,ששון איפרם שאולוב,['israeli pop'],כשיגמר לכם הקיץ
29,spotify:track:4E5fqKktoOAT3shxlolPBm,Odeya,אינטלקטוערסית,Helicon Aroma Music Ltd.,5,26,24,96168,אודיה,['israeli pop'],אינטלקטוערסית
30,spotify:track:1f6O2TPzZQhW1Ky2iGYb5X,Hanan Ben Ari,מולדת,Hanan Ben Ari under exclusive license to D-Music,18,21,7,95708,Hanan Ben Ari,['israeli pop'],מולדת
31,spotify:track:6Eds9y8ZiQHcIegsEIVcYP,"Avraham Tal, Eden Hason",את חסרה לי & אורות,Mobile1 Music,11,32,60,95508,Avraham Tal,['israeli pop'],את חסרה לי & אורות
32,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,37,52,91905,Peer Tasi,['israeli mediterranean'],רדיו שטח
33,spotify:track:7q40jR7vLHky0IKFTJWJ4K,Eyal Golan,שלום אהובתי,Liam Productions under exclusive license to D-Music,11,25,16,91707,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",שלום אהובתי
34,spotify:track:0PfvEnfj3hHl7zlc0WcfGY,Ravid Plotnik,‏שלווה בארמונותייך,NaNa Disc,25,34,84,89114,Ravid Plotnik,"['israeli hip hop', 'israeli trap']",תוך כדי תנועה
35,spotify:track:3mITeXQ9Dt7M6nTutuNtsx,"Omer Adam, Infected Mushroom",תרקוד לנצח,P.A.I LTD / Mushroom Touring inc,13,28,5,85782,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",תרקוד לנצח
36,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,36,72,84972,Benaia Barabi,['israeli mediterranean'],קרן שמש
