rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name
1,spotify:track:3iJQ54fGO6CyP374UzvDJu,Anna Zak,מי זאת,ITModels under exclusive license to D-Music,1,2,3,192184,Anna Zak,['israeli pop'],מי זאת
2,spotify:track:63TUZWEmunvQnAdLUD61yY,"Noa Kirel, Gitit Fisher",שלושה בנות,session42,2,127,2,186371,Noa Kirel,['israeli pop'],שלושה בנות
3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,1,10,175625,Harry Styles,['pop'],Harry's House
4,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,3,20,171165,שחר סאול,['israeli hip hop'],דובשנייה
5,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,5,8,5,166002,Full Trunk,['israeli rock'],ממותה
6,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,2,4,26,149762,Eden Hason,['israeli mediterranean'],מה פספסתי
7,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,7,13,3,138280,Eden Hason,['israeli mediterranean'],עושה לי צרות
8,spotify:track:3fCS3m3uWUgAFm3purs15C,Anna Zak,לך לישון,ITModels under exclusive license to D-Music,1,5,22,126487,Anna Zak,['israeli pop'],לך לישון
9,spotify:track:4N8FwcfRTju02qsgn9Mcl8,Eden Hason,בואי נישן על זה,Mobile1 Music,7,7,8,115001,Eden Hason,['israeli mediterranean'],בואי נישן על זה
10,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,Nice Life/Atlantic,6,6,6,113416,Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",About Damn Time
11,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Running Up That Hill (A Deal With God),Fish People,11,61,2,109526,Kate Bush,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",Hounds Of Love
12,spotify:track:6so2IwKQyYFkNv1G0FrZ95,Nunu,ליבינג דה דרים,Neomi Aharoni Gal under exclusive license to D-Music,9,11,15,108116,Nunu,['israeli hip hop'],ליבינג דה דרים
13,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,9,71,107446,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels)
14,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,10,25,106574,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע
15,spotify:track:4DgyTAwiSJsT5u5EljsImB,"Noa Kirel, Itay Galo",פעמון,Noa Kirel / Itay Galo under exclusive license to NMC United Entertainment Ltd.,4,14,12,105461,Noa Kirel,['israeli pop'],פעמון
16,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,Columbia,7,12,3,97840,Harry Styles,['pop'],Harry's House
17,spotify:track:7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,18,32,94938,Eden Hason,['israeli mediterranean'],אלבום 2
18,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,7,21,28,92832,אודיה,['israeli pop'],אם הייתי צריכה
19,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,19,50,91775,Narkis,['israeli pop'],הולכת איתך
20,spotify:track:1ZEsqzNBQqyC7VLRTUDopj,"Mor, Avi Aburomi",חצי שלי,2022 Avi Aburomi & Sarit Productions BY PIL LTD,10,15,11,90399,Mor,['israeli pop'],חצי שלי
21,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,15,24,9,85837,Jack Harlow,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",Come Home The Kids Miss You
22,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,14,22,19,85020,Elley Duhé,['alt z'],MIDDLE OF THE NIGHT
23,spotify:track:4OuoS8NAur7tj6rMDpTVjJ,Maya Dadon,כמו שאני,Icon Artist Management under exclusive license to D-Music,8,17,11,85008,Maya Dadon,['israeli pop'],כמו שאני
24,spotify:track:57BFhpG4Iq4Zgnoz2X6zbT,"Osher Cohen, Nadav Navi Aharoni",חמישי שישי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,24,28,5,83545,Osher Cohen,['israeli mediterranean'],חמישי שישי
25,spotify:track:2DB4DdfCFMw1iaR6JaR03a,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,23,25,14,82965,Camila Cabello,"['dance pop', 'pop']",Familia
26,spotify:track:0fX4oNGBWO3dSGUZcVdVV2,Kendrick Lamar,N95,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,2,16,4,82159,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Mr. Morale & The Big Steppers
27,spotify:track:4FdGfK3PKb9rlyoG342H8e,Eden Ben Zaken,WTF,Sarit Productions LTD / Helicon Aroma Music Ltd. under exclusive license to D-Music,23,23,4,81369,Eden Ben Zaken,"['israeli mediterranean', 'israeli pop']",עם או בלי לאהוב
28,spotify:track:2liUMhNvpAxRNVAGnz8jNJ,"Static & Ben El, Netta",אפס מאמץ,Mobile1 Music,1,26,49,78055,Static & Ben El,"['israeli pop', 'jewish pop']",שבעה ירחים
29,spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,18,27,35,77202,Lost Frequencies,"['belgian edm', 'edm', 'pop dance', 'tropical house']",Where Are You Now
30,spotify:track:05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,20,18,75691,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבד על המיטה
31,spotify:track:0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),Mercury Records/Republic Records,31,-1,1,75669,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Twelve Carat Toothache
32,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,2,29,48,72154,The Kid LAROI,['australian hip hop'],F*CK LOVE 3: OVER YOU
33,spotify:track:7rRyQDWc3y2zWPJvAbT3IO,"Metro the Savage, Noa Kirel, Boaz van de Beatz",DALE PROMO,Graph Pen Ltd. under exclusive license to D-Music,32,32,2,72000,Metro the Savage,[],DALE PROMO
34,spotify:track:3RBpmZJ0YG9abVBXI2U1UO,Eden Hason,את חסרה לי,Mobile1 Music,1,37,102,70923,Eden Hason,['israeli mediterranean'],אלבום 2
35,spotify:track:4aqlgwaZNzb94QuHP6y58X,"Omer Adam, Static & Ben El",לכאורה,P.A.I LTD / Gaga Booking,12,36,14,67642,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לכאורה
36,spotify:track:2O1af1DbXF7paOr7O5CRst,Avi Aburomi,ספרי להם הכל,2022 Avi Aburomi BY PIL LTD,36,50,2,67460,Avi Aburomi,['israeli pop'],ספרי להם הכל
37,spotify:track:3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,34,91,66974,Marina Maximilian,['israeli pop'],ביחד
38,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,14,39,39,66598,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",=
39,spotify:track:66iaD8MCoVnBtqUhuzdglT,Ran Danker,בית משוגעים,NMC United Entertainment Ltd.,1,35,66,66296,Ran Danker,"['festigal', 'israeli pop']",בית משוגעים
40,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,Atlantic Records UK,6,33,50,66082,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",=
41,spotify:track:06JvOZ39sK8D8SqiqfaxDU,"Kanye West, XXXTENTACION",True Love,Columbia,41,47,2,65349,Kanye West,"['chicago rap', 'hip hop', 'rap']",True Love
42,spotify:track:32vE1nuG8T9c8bhmZdRY6d,"Post Malone, Roddy Ricch",Cooped Up (with Roddy Ricch),Mercury Records/Republic Records,42,53,4,64066,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Twelve Carat Toothache
43,spotify:track:6SuC1LItQ9V9SjET2EvvtD,"Agam Buhbut, Shahar Saul",באתי להציל אותך,2021 ZI Productions BY PIL LTD,11,44,32,63638,Agam Buhbut,['israeli mediterranean'],באתי להציל אותך
44,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,7,43,29,63471,GAYLE,"['alt z', 'modern alternative pop']",abcdefu
45,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,1,38,32,63416,Imagine Dragons,"['modern rock', 'pop', 'rock']",Mercury - Act 1
46,spotify:track:6qi83Ret9Yok9PfZWzmdZk,"בנאל בן ציון, שירז אברהם",חסר/ה לי ברמות,Mobile1 Music,13,41,16,62937,בנאל בן ציון,['israeli pop'],חסר/ה לי ברמות
47,spotify:track:18asYwWugKjjsihZ0YvRxO,"Tiësto, Ava Max",The Motto,Atlantic Records,25,45,25,62786,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",The Motto
48,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,40,85,62351,Eden Hason,['israeli mediterranean'],אלבום 2
49,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,15,48,27,61656,Jasmin Moallem,['israeli pop'],יחפים
50,spotify:track:70Vsir4Wan3TrEzGCIZy0l,Eden Hason,ככה כל יום,Mobile1 Music,9,31,17,61614,Eden Hason,['israeli mediterranean'],ככה כל יום
