,song_name,artist_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party
MONTERO (Call Me By Your Name) - Lil Nas X,MONTERO (Call Me By Your Name),Lil Nas X,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
סיבת הסיבות - Ishay Ribo,סיבת הסיבות,Ishay Ribo,major,4.4799089431762695,0.075960136950016,0.924039900302887,4.294299125671387,4.429819107055664,1.1858227252960205,0.221272200345993,0.7787277698516846,0.5477980971336365,0.4522019028663635,0.3344213366508484,0.6655787229537964,0.5218534469604492,0.4781465828418731
"סחרחורת & בדד - Omer Adam, Tuna",סחרחורת & בדד,"Omer Adam, Tuna",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
רסיסים - Raviv Kaner,רסיסים,Raviv Kaner,major,5.685647010803223,0.005968437064439,0.9940316081047058,3.616345405578613,4.599686622619629,1.044946551322937,0.0422057211399078,0.9577942490577698,0.3611178398132324,0.6388821601867676,0.0241020247340202,0.9758979678153992,0.8338269591331482,0.166173055768013
שבוע טוב - Avraham Tal,שבוע טוב,Avraham Tal,minor,3.89816951751709,0.2296150624752044,0.7703849673271179,5.267634391784668,5.175257682800293,1.1268495321273804,0.2047916799783706,0.7952083349227905,0.8524540066719055,0.1475460082292556,0.504580020904541,0.4954199194908142,0.3208369612693786,0.6791630387306213
אני כבר לא בך - Itay Levi,אני כבר לא בך,Itay Levi,major,6.800208568572998,0.2427453100681305,0.7572546601295471,5.081290245056152,4.965185642242432,1.0887166261672974,0.1819212287664413,0.8180788159370422,0.7478361129760742,0.2521638572216034,0.4804312884807586,0.5195687413215637,0.2856405377388,0.7143594622612
מדליקה לי הכל - Eden Hason,מדליקה לי הכל,Eden Hason,minor,4.583694934844971,0.1705946177244186,0.8294054269790649,4.827615261077881,4.793134689331055,1.1806057691574097,0.105125643312931,0.8948743939399719,0.6632310748100281,0.3367688655853271,0.282903105020523,0.7170968651771545,0.5150750279426575,0.4849249720573425
מה פספסתי - Eden Hason,מה פספסתי,Eden Hason,minor,4.293644428253174,0.1390581429004669,0.8609418869018555,4.629971027374268,4.597744941711426,1.363166093826294,0.309779018163681,0.6902210116386414,0.8193967938423157,0.1806032061576843,0.5106383562088013,0.4893616437911987,0.6444493532180786,0.3555506765842438
השמלה החדשה שלי - Ran Danker,השמלה החדשה שלי,Ran Danker,major,3.821175813674927,0.0469104945659637,0.9530895352363586,4.1512956619262695,4.438148498535156,1.3809984922409058,0.128895416855812,0.8711045384407043,0.4846966564655304,0.5153033137321472,0.1355322897434234,0.8644677400588989,0.6834999918937683,0.3165000081062317
לא להיות לבד - Mergui,לא להיות לבד,Mergui,major,2.896117687225342,0.2422540783882141,0.7577459216117859,4.507412433624268,4.425904273986816,1.5457755327224731,0.2865676283836365,0.7134323716163635,0.6879919767379761,0.3120079636573791,0.4283023178577423,0.5716976523399353,0.4626551866531372,0.5373448133468628
מה קרה - Eden Ben Zaken,מה קרה,Eden Ben Zaken,major,4.349318981170654,0.0095872543752193,0.9904127717018129,3.66654896736145,4.71177864074707,1.1084043979644775,0.0604541338980197,0.9395458102226256,0.3759353756904602,0.6240646243095398,0.0374653562903404,0.9625346660614014,0.7979303002357483,0.2020697146654129
שמש - Hanan Ben Ari,שמש,Hanan Ben Ari,major,4.069552898406982,0.1009355634450912,0.8990644216537476,4.7237067222595215,4.711956977844238,0.9597861766815186,0.1944182813167572,0.8055817484855652,0.7064712643623352,0.2935287356376648,0.4263067543506622,0.5736932158470154,0.3149132430553436,0.6850867867469788
הטעות הכי יפה - Itay Levi,הטעות הכי יפה,Itay Levi,major,5.745957374572754,0.019987454637885,0.980012595653534,4.636890411376953,5.369419097900391,1.037903070449829,0.241422563791275,0.7585774660110474,0.5195359587669373,0.4804640710353851,0.1162573471665382,0.88374263048172,0.5103886723518372,0.4896113574504852
שקיעות אדומות - Eden Hason,שקיעות אדומות,Eden Hason,major,6.9234819412231445,0.1862655729055404,0.8137344717979431,6.285632610321045,5.6370134353637695,0.9568243026733398,0.4290245175361633,0.5709755420684814,0.970711350440979,0.0292885825037956,0.7555359601974487,0.2444640100002288,0.1217997297644615,0.8782002925872803
לא מרגיש טוב - Eden Hason,לא מרגיש טוב,Eden Hason,major,4.848915100097656,0.327300876379013,0.6726991534233093,5.48795747756958,5.131300449371338,1.181363224983215,0.6644477844238281,0.3355522751808166,0.9611210823059082,0.0388789661228656,0.7848519086837769,0.2151481062173843,0.1460471451282501,0.8539528846740723
THATS WHAT I WANT - Lil Nas X,THATS WHAT I WANT,Lil Nas X,minor,5.379121780395508,0.3190717101097107,0.6809283494949341,4.461594581604004,4.686963081359863,1.1508684158325195,0.092067539691925,0.9079325199127196,0.5556000471115112,0.4443999528884887,0.2969335317611694,0.7030664682388306,0.3669354021549225,0.6330646276473999
good 4 u - Olivia Rodrigo,good 4 u,Olivia Rodrigo,major,6.078299045562744,0.0149201499298214,0.985079824924469,3.939528703689575,4.885006904602051,0.9764867424964904,0.0832965075969696,0.9167035222053528,0.4185173809528351,0.5814826488494873,0.0623510219156742,0.9376489520072936,0.6508118510246277,0.3491881191730499
Toxic - BoyWithUke,Toxic,BoyWithUke,minor,4.018256664276123,0.2515965402126312,0.7484034299850464,5.061395645141602,4.941875457763672,1.2085471153259275,0.227165937423706,0.772834062576294,0.8633264303207397,0.136673554778099,0.502535879611969,0.497464120388031,0.4006496071815491,0.5993503928184509
אין מאושר ממני - Eliad,אין מאושר ממני,Eliad,major,5.991064548492432,0.0102104088291525,0.9897895455360411,3.9044508934021,4.934584617614746,1.1192783117294312,0.0503193512558937,0.9496806263923644,0.3749001920223236,0.625099778175354,0.0339495949447155,0.9660504460334778,0.8271878361701965,0.1728121936321258
דפוק עם תעודות - Eyal Golan,דפוק עם תעודות,Eyal Golan,minor,4.5842061042785645,0.2594970464706421,0.7405029535293579,5.2872700691223145,4.979261875152588,1.0275933742523191,0.3028230667114258,0.6971768736839294,0.8894587159156799,0.110541321337223,0.5716262459754944,0.4283737540245056,0.2668946981430053,0.7331053018569946
סהרה - Tuna,סהרה,Tuna,minor,4.028371334075928,0.0297838244587183,0.9702161550521852,4.686197280883789,4.652378082275391,1.1666558980941772,0.3436276912689209,0.6563723683357239,0.7327134013175964,0.2672865688800812,0.3259840905666351,0.6740159392356873,0.5503796339035034,0.4496203362941742
"Do It To It - ACRAZE, Cherish",Do It To It,"ACRAZE, Cherish",minor,6.122622013092041,0.005968437064439,0.9940316081047058,3.616345405578613,4.599686622619629,1.1561020612716677,0.0422057211399078,0.9577942490577698,0.3611178398132324,0.6388821601867676,0.0241020247340202,0.9758979678153992,0.8338269591331482,0.166173055768013
Infinity - Jaymes Young,Infinity,Jaymes Young,minor,2.891300916671753,0.2335817217826843,0.7664183378219604,5.156288146972656,4.637452125549316,1.1256625652313232,0.3853292465209961,0.6146707534790039,0.9323174357414246,0.0676825642585754,0.638080894947052,0.3619191348552704,0.4987810850143432,0.5012189745903015
זוגות כאלה - Osher Cohen,זוגות כאלה,Osher Cohen,major,6.9080305099487305,0.0649139434099197,0.9350860118865968,5.404047012329102,5.542572021484375,1.0408624410629272,0.8134775161743164,0.1865224391222,0.897853672504425,0.1021463721990585,0.7563550472259521,0.2436450272798538,0.1781080067157745,0.8218920230865479
"טרילילי טרללה - Noa Kirel, Ilan Peled",טרילילי טרללה,"Noa Kirel, Ilan Peled",minor,4.352431774139404,0.1690980345010757,0.8309019207954407,4.446307182312012,4.403380870819092,1.2214246988296509,0.1753740459680557,0.8246259689331055,0.743984580039978,0.2560153603553772,0.3959485590457916,0.6040514707565308,0.3553726077079773,0.6446273326873779
אלוף העולם - Hanan Ben Ari,אלוף העולם,Hanan Ben Ari,minor,5.1622748374938965,0.1296133995056152,0.87038654088974,4.348302841186523,4.509061813354492,1.0976293087005615,0.8134213089942932,0.1865786910057068,0.8577139377593994,0.1422860771417617,0.6567971706390381,0.3432028591632843,0.2479283213615417,0.7520716786384583
Blinding Lights - The Weeknd,Blinding Lights,The Weeknd,minor,3.507943630218506,0.1885546594858169,0.8114452958106995,4.8085527420043945,4.604272842407227,1.0910296440124512,0.2794166505336761,0.7205833792686462,0.760962188243866,0.239037811756134,0.5068750381469727,0.4931249618530273,0.3262737095355987,0.6737263202667236
"תל אביב זה אני ואת - Amir Ve Ben, Jane Bordeaux, Amir Sade",תל אביב זה אני ואת,"Amir Ve Ben, Jane Bordeaux, Amir Sade",major,3.819947004318237,0.2613606750965118,0.7386393547058105,4.386598587036133,4.497241497039795,1.2340832948684692,0.4868769347667694,0.513123095035553,0.8325876593589783,0.1674123406410217,0.5204786658287048,0.4795213043689728,0.2860082685947418,0.7139917016029358
"השמיים נעולים - Doli & Penn, Ivri Lider, Peled, Ella Lee",השמיים נעולים,"Doli & Penn, Ivri Lider, Peled, Ella Lee",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
אם תרצי - Hanan Ben Ari,אם תרצי,Hanan Ben Ari,minor,5.647458076477051,0.054471768438816,0.945528209209442,4.437587261199951,4.918307304382324,1.3321503400802612,0.2676505148410797,0.7323495149612427,0.5034734606742859,0.4965265393257141,0.1514663845300674,0.848533570766449,0.5225557684898376,0.4774442315101623
Beggin' - Måneskin,Beggin',Måneskin,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"My Universe - Coldplay, BTS",My Universe,"Coldplay, BTS",major,5.045135498046875,0.0060732862912118,0.9939267039299012,3.709818840026856,4.725003719329834,1.1725525856018066,0.0584478601813316,0.9415521025657654,0.3742252290248871,0.6257747411727905,0.0283270645886659,0.9716729521751404,0.7812676429748535,0.2187324166297912
גדל לי קצת זקן - Eden Hason,גדל לי קצת זקן,Eden Hason,major,4.6908769607543945,0.2211062312126159,0.778893768787384,5.172543048858643,4.840823173522949,1.0824061632156372,0.184464231133461,0.815535843372345,0.8195810317993164,0.1804189234972,0.4970115125179291,0.5029884576797485,0.3318315744400024,0.6681684851646423
"Smokin Out The Window - Bruno Mars, Anderson .Paak, Silk Sonic",Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",major,3.69400405883789,0.1182751804590225,0.8817247748374939,4.900057315826416,4.706884384155273,1.159089207649231,0.2593356966972351,0.7406642436981201,0.9021682739257812,0.0978317037224769,0.4735548794269562,0.5264450907707214,0.6038680076599121,0.3961319625377655
"Moth To A Flame (with The Weeknd) - Swedish House Mafia, The Weeknd",Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
כל הכוכבים - Tuna,כל הכוכבים,Tuna,minor,5.633679866790772,0.0516594722867012,0.9483405351638794,4.545254230499268,5.45699405670166,1.1182968616485596,0.1912382096052169,0.8087617754936218,0.8136413097381592,0.186358630657196,0.3188520967960357,0.6811479330062866,0.6816206574440002,0.3183793723583221
נשלים את הכל - Raviv Kaner,נשלים את הכל,Raviv Kaner,major,4.939391613006592,0.0055661178193986,0.9944339394569396,3.79512357711792,4.79415225982666,1.1935607194900513,0.0510001443326473,0.94899982213974,0.4079748094081878,0.5920252203941345,0.0252014175057411,0.974798619747162,0.7528041005134583,0.2471958994865417
"קריוקי - Tuna, Peer Tasi",קריוקי,"Tuna, Peer Tasi",major,3.20194149017334,0.0410617068409919,0.9589383006095886,4.725013732910156,4.847517967224121,1.2289785146713257,0.364409476518631,0.6355905532836914,0.8063921332359314,0.1936078369617462,0.6927012801170349,0.3072987794876098,0.2367004156112671,0.7632995843887329
רוצה שלום - Raviv Kaner,רוצה שלום,Raviv Kaner,minor,4.496678352355957,0.2199063897132873,0.7800936102867126,4.669680595397949,4.839885234832764,1.040182113647461,0.446100503206253,0.5538995265960693,0.8431137800216675,0.1568861603736877,0.5546494126319885,0.4453505277633667,0.3641677498817444,0.6358322501182556
"‏קורבן - Ravid Plotnik, Sima Noon",‏קורבן,"Ravid Plotnik, Sima Noon",minor,2.6122193336486816,0.090117335319519,0.9098827242851256,4.772790431976318,4.803492546081543,1.0702377557754517,0.7214351296424866,0.278564840555191,0.8449920415878296,0.1550079435110092,0.581183910369873,0.4188160896301269,0.1758020967245102,0.8241978883743286
לחזור הביתה - Hatikva 6,לחזור הביתה,Hatikva 6,major,5.389208793640137,0.1429486870765686,0.8570513129234314,5.414301872253418,4.960760116577148,1.0635706186294556,0.3487708270549774,0.6512291431427002,0.9144384264945984,0.0855616331100463,0.6407173871994019,0.3592826426029205,0.3425420224666595,0.6574580073356628
שרק תחייך - Yuval Dayan,שרק תחייך,Yuval Dayan,major,4.513154029846191,0.2400847673416137,0.7599152326583862,5.207247734069824,5.05255126953125,1.0095491409301758,0.499486356973648,0.5005136132240295,0.9457108974456788,0.0542890951037406,0.7790363430976868,0.2209636569023132,0.3500655889511108,0.6499344110488892
"One Right Now (with The Weeknd) - Post Malone, The Weeknd",One Right Now (with The Weeknd),"Post Malone, The Weeknd",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"Save Your Tears (with Ariana Grande) (Remix) - The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
שלמים - Idan Rafael Haviv,שלמים,Idan Rafael Haviv,major,6.416750907897949,0.1390666514635086,0.8609333038330078,4.261067390441895,4.373523712158203,1.0266069173812866,0.5778189897537231,0.4221810102462768,0.8838365077972412,0.1161635369062423,0.5742422938346863,0.4257577657699585,0.3265987038612366,0.6734012961387634
"Kiss Me More (feat. SZA) - Doja Cat, SZA",Kiss Me More (feat. SZA),"Doja Cat, SZA",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
Watermelon Sugar - Harry Styles,Watermelon Sugar,Harry Styles,major,3.988373279571533,0.0059684393927454,0.9940314888954164,3.616345882415772,4.599686622619629,1.0667160749435425,0.0422057062387466,0.9577943086624146,0.36111781001091,0.6388821601867676,0.0241020303219556,0.9758979678153992,0.8338269591331482,0.1661730259656906
פרצופים - Omer Adam,פרצופים,Omer Adam,minor,4.682557106018066,0.0718907788395881,0.9281092882156372,4.937213897705078,5.025341987609863,1.1780753135681152,0.7112098932266235,0.2887901663780212,0.8584079742431641,0.1415920555591583,0.7296582460403442,0.2703417539596557,0.1867266148328781,0.8132734298706055
Modern Love - Geva Alon,Modern Love,Geva Alon,major,6.29326057434082,0.0112964324653148,0.9887035489082336,4.691912651062012,5.506939888000488,1.0370855331420898,0.3919121026992798,0.6080878973007202,0.7930679321289062,0.2069320976734161,0.2630661129951477,0.7369338274002075,0.6089051961898804,0.391094833612442
"מסיבה - Jasmin Moallem, Shekel",מסיבה,"Jasmin Moallem, Shekel",major,3.803324699401856,0.3046996295452118,0.6953004002571106,4.720063209533691,4.82347583770752,0.991445779800415,0.5532695651054382,0.4467304646968841,0.9254760146141052,0.0745240449905395,0.7053709626197815,0.2946290075778961,0.2210778594017028,0.7789221405982971
מקום - Hanan Ben Ari,מקום,Hanan Ben Ari,minor,5.369884490966797,0.1284241080284118,0.8715759515762329,4.996004104614258,4.924206256866455,0.9733231663703918,0.3608936071395874,0.6391064524650574,0.8661860227584839,0.1338139325380325,0.653024435043335,0.3469755947589874,0.267667144536972,0.7323328852653503
יודעת לסובב - Tuna,יודעת לסובב,Tuna,minor,5.040520191192627,0.2469976991415023,0.7530022859573364,4.514132499694824,4.64574146270752,1.256437063217163,0.5816996693611145,0.4183003306388855,0.8704383969306946,0.1295616030693054,0.6514648795127869,0.3485351204872131,0.2846363484859466,0.715363621711731
The Business - Tiësto,The Business,Tiësto,minor,7.134556293487549,0.1439113169908523,0.8560887575149536,4.544266700744629,5.045699596405029,1.1612533330917358,0.2714462578296661,0.7285537123680115,0.8926070928573608,0.1073929592967033,0.5448184609413147,0.4551815390586853,0.3023506104946136,0.697649359703064
אמן על הילדים - Hanan Ben Ari,אמן על הילדים,Hanan Ben Ari,minor,5.365824222564697,0.079971857368946,0.9200281500816344,5.021668434143066,5.82487678527832,0.9866586327552797,0.229666382074356,0.7703335881233215,0.7267487645149231,0.2732512950897217,0.204195961356163,0.795803964138031,0.7898662090301514,0.2101338505744934
Sweater Weather - The Neighbourhood,Sweater Weather,The Neighbourhood,major,4.795104026794434,0.00596843380481,0.9940316081047058,3.616345405578613,4.599686622619629,0.9930211901664734,0.0422057174146175,0.9577943086624146,0.36111781001091,0.6388821601867676,0.0241020079702138,0.9758979678153992,0.8338270783424377,0.1661729514598846
"מי לא יבוא - Avraham Tal, Benaia Barabi",מי לא יבוא,"Avraham Tal, Benaia Barabi",minor,5.023874759674072,0.0064824777655303,0.993517518043518,3.832713842391968,4.963008403778076,1.2976235151290894,0.0415694825351238,0.9584305882453918,0.289711594581604,0.710288405418396,0.020147455856204,0.979852557182312,0.8537178635597229,0.1462820768356323
ממתק - Eden Ben Zaken,ממתק,Eden Ben Zaken,minor,5.046255111694336,0.1359838545322418,0.8640161156654358,4.112853050231934,4.484684944152832,1.3027548789978027,0.2706353366374969,0.7293646335601807,0.7206568121910095,0.2793431878089905,0.3197241127490997,0.6802758574485779,0.4959763884544372,0.5040236115455627
"Peaches (feat. Daniel Caesar & Giveon) - Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
שימי - Tuna,שימי,Tuna,minor,3.23070764541626,0.274591863155365,0.725408136844635,4.620966911315918,4.609626770019531,1.3048443794250488,0.4178406000137329,0.5821593999862671,0.7984516620635986,0.2015483826398849,0.5663654804229736,0.4336345493793487,0.3502363562583923,0.6497635841369629
אהבה כמו שלנו - Sarit Hadad,אהבה כמו שלנו,Sarit Hadad,major,7.481453895568848,0.1219832897186279,0.8780167698860168,4.183022499084473,4.630807876586914,1.0761759281158447,0.3437213599681854,0.656278669834137,0.6848626732826233,0.3151373267173767,0.3834365010261535,0.6165634989738464,0.4357442557811737,0.5642557740211487
Bad Little Thing - Noa Kirel,Bad Little Thing,Noa Kirel,major,3.4279677867889404,0.0287699550390243,0.9712300300598145,4.559450626373291,5.71046257019043,1.0193496942520142,0.2159114927053451,0.7840885519981384,0.573198676109314,0.426801323890686,0.1068756580352783,0.8931243419647217,0.6743430495262146,0.325656920671463
