rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,1,15,354313,Osher Cohen,['israeli mediterranean'],Part II,Israeli
2,spotify:track:3QCWA9RzAPb4Xw4BagADFq,Osher Cohen,ככה וככה,Helicon Aroma Music Ltd./ P.A.I Ltd.,2,2,15,289974,Osher Cohen,['israeli mediterranean'],Part II,Israeli
3,spotify:track:0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,1,3,18,237180,Doli & Penn,['israeli pop'],לאהוב אותך כל יום,Israeli
4,spotify:track:44GSjYhBxuuKx0ikN5Dmag,"Omer Adam, Jasmin Moallem",יהיה טוב & מים שקופים,P.A.I LTD / Jasmin Moallem,4,4,3,204048,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",יהיה טוב & מים שקופים,Israeli
5,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,5,5,7,184393,Doja Cat,"['dance pop', 'pop']",Paint The Town Red,International
6,spotify:track:3Au0H4VhjcXZ5HGOHo8Nc3,Static,רונדלים,Mobile1 Music,3,6,31,177207,Static,[],לירז,Israeli
7,spotify:track:4wEFTT1fmFfsLY1K7Y40Cy,"Peled, Nastia Rod",עזבת ת'בית,Mobile1 Music,7,7,6,175831,Peled,"['israeli hip hop', 'israeli trap']",TATE WE MADE IT,Israeli
8,spotify:track:60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,8,32,154360,Osher Cohen,['israeli mediterranean'],אושר,Israeli
9,spotify:track:0JoYMP7hvEwxKCjj9szUo6,LIAD MEIR,טיל פצמר,2023 Duda by PIL ltd,8,9,7,148921,ליעד מאיר,['israeli hip hop'],טיל פצמר,Israeli
10,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,10,70,147066,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
11,spotify:track:7q40jR7vLHky0IKFTJWJ4K,Eyal Golan,שלום אהובתי,Liam Productions under exclusive license to D-Music,11,14,6,139254,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",שלום אהובתי,Israeli
12,spotify:track:4E5fqKktoOAT3shxlolPBm,Odeya,אינטלקטוערסית,Helicon Aroma Music Ltd.,5,11,14,136929,אודיה,['israeli pop'],אינטלקטוערסית,Israeli
13,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,20,42,131055,Peer Tasi,['israeli mediterranean'],רדיו שטח,Israeli
14,spotify:track:2KBtuxA73fMKyj37wr1XKM,Omer Adam,סטלות,P.A.I LTD,14,21,4,129986,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סטלות,Israeli
15,spotify:track:2b9TjqgLxE6zOZc4DSmYYx,"Noa Kirel, Forever Tel Aviv, Sagi Kariv",פרובוקטיבית,Noa Kirel / Forever Tel Aviv under exclusive license to D-Music,2,23,16,128890,Noa Kirel,['israeli pop'],פרובוקטיבית,Israeli
16,spotify:track:6nSQvSGrFykSmDIOetK94r,Jasmin Moallem,יהיה טוב,Helicon Music,16,22,16,128581,Jasmin Moallem,['israeli pop'],אין עולם,Israeli
17,spotify:track:6NUzJGlQORUv6NjUwcefr8,Eyal Golan,עיר נמל,Liam Productions under exclusive license to D-Music,11,17,26,128048,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023,Israeli
18,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,16,92,126987,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
19,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,19,82,3,125940,Kenya Grace,['singer-songwriter pop'],Strangers,International
20,spotify:track:6uCZdJ3p3hrfi6mRKVtt7k,Osher Cohen,תראי אהובתי,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,10,12,32,125402,Osher Cohen,['israeli mediterranean'],אושר,Israeli
21,spotify:track:3mCCFs2hdDM2mObzARzxOg,"STILLA, Ness",תיק קטן,2023 Va’ad Ha Bait records By PIL LTD,1,19,21,124205,סטילה,['israeli hip hop'],תיק קטן,Israeli
22,spotify:track:1kuGVB7EU95pJObxwvfwKS,Olivia Rodrigo,vampire,Olivia Rodrigo PS,9,13,12,120296,Olivia Rodrigo,['pop'],GUTS,International
23,spotify:track:5JGVm5Xshr1IlNlW9phZFQ,Eden Hason,לא תראה אותי בוכה,Mobile1 Music,18,18,12,116934,Eden Hason,['israeli mediterranean'],לא תראה אותי בוכה,Israeli
24,spotify:track:16NPQQxjcSfhb0UFaUVw5s,Eden Hason,אז מה עכשיו,Mobile1 Music,9,15,27,116928,Eden Hason,['israeli mediterranean'],אז מה עכשיו,Israeli
25,spotify:track:6oTChqDVAXNxJrg57siTxB,Hanan Ben Ari,עטלף עיוור,Hanan Ben Ari under exclusive license to D-Music,13,24,19,115444,Hanan Ben Ari,['israeli pop'],יש כאן יותר מזה,Israeli
26,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,26,66,113392,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live),Israeli
27,spotify:track:1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,5,25,43,112174,Eden Hason,['israeli mediterranean'],עד שתבואי עד אליי,Israeli
28,spotify:track:2N0SPREDYqILVEFSsWF5N5,V,Love Me Again,BIGHIT MUSIC,28,34,6,109756,V,"['j-division', 'korean ost']",Layover,International
29,spotify:track:5h1BN75CEh8wdSwE1xrbSe,V,Slow Dancing,BIGHIT MUSIC,29,-1,1,108337,V,"['j-division', 'korean ost']",Layover,International
30,spotify:track:3X0WwsNHfSqpd85A9Iggr2,"Hanan Ben Ari, Peer Tasi",38 וחוץ מכדורגל,Peer Tasi / Hanan Ben Ari under eclusive license to D-Music,30,-1,1,106443,Hanan Ben Ari,['israeli pop'],38 וחוץ מכדורגל,Israeli
31,spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Dave, Central Cee",Sprinter,Neighbourhood / Live Yours,10,28,16,102486,Dave,['uk hip hop'],Sprinter,International
32,spotify:track:0E9S1H3TktlpHmGyuKEfkL,יגל אושרי,לצאת מדיכאון,Liam Productions under exclusive license to D-Music,32,45,5,101434,יגל אושרי,['israeli pop'],לצאת מדיכאון,Israeli
33,spotify:track:6xtqda5h0wlcFn3WdI4pb6,Tuna,כל הכוכבים,NaNa Disc,19,52,83,100123,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
34,spotify:track:0NdV41q6lBoO4WyCaZmIJU,Stephane Legar,רק אני יודע,Stephane Gagba / Gaga Management / Helicon Aroma Music LTD. under exclusive license to D-Music,21,27,11,99980,Stephane Legar,"['israeli hip hop', 'israeli pop']",רק אני יודע,Israeli
35,spotify:track:7v7nrrYMIdugbGRAseawG9,Noa Kirel,DEJA VU,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,8,30,8,97658,Noa Kirel,['israeli pop'],DEJA VU,International
36,spotify:track:6OXv4CrNp3DFRj6Cu1GojJ,Eyal Golan,מתי את חוזרת,Liam Productions under exclusive license to D-Music,6,29,26,96502,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023,Israeli
37,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,19,35,12,94417,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Dance The Night (From Barbie The Album),International
38,spotify:track:29ZGOiRf0t8zjvz5JwwdM4,עטרה אוריה,ילד מטריה,NMC United Entertainment Ltd.,29,33,10,94318,עטרה אוריה,[],ילד מטריה,Israeli
