rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:34KzX8fwFPLchmOvYBDap0,"Osher Cohen, Noa Kirel",אין אותי,Helicon Aroma Music Ltd. / P.A.I Ltd.,1,1,5,579574,Osher Cohen,['israeli mediterranean'],NEXT EPISODE,Israeli
2,spotify:track:5nYFRLTLrqiETyy6LUPfhQ,"STILLA, Ness",מגדלים,2024 Va’ad Ha Bait records & Maman Productions by PIL ltd,2,2,6,436493,סטילה,['israeli hip hop'],מגדלים,Israeli
3,spotify:track:3FihyZ7YA7vrNiSUfWww10,"STILLA, Ness",באמפרים,2024 Va’ad Ha Bait records & Maman Productions by PIL ltd,1,3,13,390327,סטילה,['israeli hip hop'],באמפרים,Israeli
4,spotify:track:0h8eZd7eqwZISaz9bkj1zV,Itay Levi,מערב ראשון,Mobile1 Music,3,4,12,379530,Itay Levi,"['israeli mediterranean', 'mizrahi']",מערב ראשון,Israeli
5,spotify:track:0Wr6wZgEP1npYg0vrsWPIZ,Peer Tasi,רוז,Peer Tasi LTD under exclusive license to D-Music,1,5,13,345467,Peer Tasi,['israeli mediterranean'],רדיו שטח 2,Israeli
6,spotify:track:6qB33ch9RK0aoMfxfnlXa1,Osher Cohen,פלסטרים,Helicon Aroma Music Ltd. / P.A.I Ltd.,1,6,18,324435,Osher Cohen,['israeli mediterranean'],פלסטרים,Israeli
7,spotify:track:4DKH1iLhp007TVLURYtmeC,Peer Tasi,מה יהיה מחר,Peer Tasi LTD under exclusive license to D-Music,7,7,13,279821,Peer Tasi,['israeli mediterranean'],רדיו שטח 2,Israeli
8,spotify:track:1Jx6aZyJR985kw8CWUZ15O,"Omer Adam, Odeya, ShrekDiMC",צמוד צמוד,P.A.I LTD / Helicon Aroma Music LTD,1,9,19,228092,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",צמוד צמוד,Israeli
9,spotify:track:17Gbwxyhsj0dznw9DSruNC,"Omer Adam, ShrekDiMC",ראיתי עולם,P.A.I LTD,1,8,13,224467,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",ראיתי עולם,Israeli
10,spotify:track:4zXfQYhcSboWEOAwIQST9N,Omer Adam,רק שלך,P.A.I LTD,1,11,22,219488,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חמישה לילות,Israeli
11,spotify:track:2yPnlfwQ1AmhHauqQWDlWZ,Osher Cohen,מנגן ושר,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,14,28,217222,Osher Cohen,['israeli mediterranean'],THE LAST EPISODE,Israeli
12,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,12,13,11,208319,Adam Port,['melodic house'],Move,International
13,spotify:track:0hdDyhwaJpNW5nsJC3qYPe,Peer Tasi,מלודי,Peer Tasi LTD under exclusive license to D-Music,5,12,13,204291,Peer Tasi,['israeli mediterranean'],רדיו שטח 2,Israeli
14,spotify:track:6JnLTSjPA96Dgg9VCDRf1r,ילד.,למה את?,Universal Music Israel Distributed Labels,6,10,18,195802,ילד.,[],ילד.,Israeli
15,spotify:track:2CUwpTA4gOSouCTyRN1vnE,Itay Levi,אין לי מקום אחר,Mobile1 Music,5,16,36,179329,Itay Levi,"['israeli mediterranean', 'mizrahi']",אין לי מקום אחר,Israeli
16,spotify:track:7AlqKFiOM5X7nJdtbwvsi6,Jasmin Moallem,דאמ,Helicon Music,16,142,2,171492,Jasmin Moallem,['israeli pop'],דאמ,Israeli
17,spotify:track:2eauhZzDelRWx1f3PmdaxU,Itay Levi,חולה ירח,Mobile1 Music,14,17,12,171116,Itay Levi,"['israeli mediterranean', 'mizrahi']",חולה ירח,Israeli
18,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,15,15,14,169060,Billie Eilish,"['art pop', 'pop']",HIT ME HARD AND SOFT,International
19,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,27,63,169048,Osher Cohen,['israeli mediterranean'],Part II,Israeli
20,spotify:track:0D9A15ZzO3VzLIYqOfm6QB,מ',אני חוזר,Ilay Eliyahu Mataraso under exclusive license to D-Music,20,25,10,154898,מ',[],לחזור הביתה,Israeli
21,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",4,19,30,151919,Benson Boone,['singer-songwriter pop'],Fireworks & Rollerblades,International
22,spotify:track:5lNB8HWmxpICQXi5Pgatz1,"Shahar Tavoch, Agam Buhbut",נאדי באדי,NMC United Entertainment Ltd.,5,20,23,150824,שחר טבוך,[],"היי, זה שחר",Israeli
23,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,11,18,19,143719,Sabrina Carpenter,['pop'],Espresso,International
24,spotify:track:6Xg2Ir8Go9giAzRxW4Jaze,Hatikva 6,גיבורי על,Hatikva 6 under exclusive license to D-Music,21,21,25,140380,Hatikva 6,"['israeli hip hop', 'israeli pop']",גיבורי על,Israeli
25,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,2,35,51,140083,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים,Israeli
26,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,13,28,31,133932,Teddy Swims,[],I've Tried Everything But Therapy (Part 1),International
27,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,31,118,130894,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
