rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:3fCS3m3uWUgAFm3purs15C,Anna Zak,לך לישון,ITModels under exclusive license to D-Music,1,1,9,167112,Anna Zak,['israeli pop'],לך לישון,Israeli
2,spotify:track:05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,3,5,145433,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבד על המיטה,Israeli
3,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,2,7,129207,שחר סאול,['israeli hip hop'],דובשנייה,Israeli
4,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,4,58,128777,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels),International
5,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,1,5,19,116637,Imagine Dragons,"['modern rock', 'pop', 'rock']",Mercury - Act 1,International
6,spotify:track:3ZT2YK7nfPXq3xCrlWkgt7,Maya Dadon,חוץ ממך,Icon Artist Management under exclusive license to D-Music,2,6,7,110970,Maya Dadon,['israeli pop'],חוץ ממך,Israeli
7,spotify:track:2liUMhNvpAxRNVAGnz8jNJ,"Static & Ben El, Netta",אפס מאמץ,Mobile1 Music,1,8,36,109324,Static & Ben El,"['israeli pop', 'jewish pop']",שבעה ירחים,Israeli
8,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,7,7,15,101919,אודיה,['israeli pop'],אם הייתי צריכה,Israeli
9,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,7,10,29,101760,Farruko,"['reggaeton', 'trap latino', 'urbano latino']",La 167,International
10,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,9,12,99413,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
11,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,2,14,35,97308,The Kid LAROI,['australian hip hop'],F*CK LOVE 3: OVER YOU,International
12,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,7,12,16,93905,GAYLE,"['alt z', 'modern alternative pop']",abcdefu,International
13,spotify:track:70Vsir4Wan3TrEzGCIZy0l,Eden Hason,ככה כל יום,Mobile1 Music,13,13,4,92410,Eden Hason,['israeli mediterranean'],ככה כל יום,Israeli
14,spotify:track:6qi83Ret9Yok9PfZWzmdZk,"בנאל בן ציון, שירז אברהם",חסר/ה לי ברמות,Mobile1 Music,14,35,3,90907,בנאל בן ציון,['israeli pop'],חסר/ה לי ברמות,Israeli
15,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,11,37,89174,Narkis,['israeli pop'],הולכת איתך,Israeli
