rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,Columbia,1,1,5,193983,Harry Styles,['pop'],As It Was,International
2,spotify:track:3fCS3m3uWUgAFm3purs15C,Anna Zak,לך לישון,ITModels under exclusive license to D-Music,1,2,17,130034,Anna Zak,['israeli pop'],לך לישון,Israeli
3,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,3,15,129914,שחר סאול,['israeli hip hop'],דובשנייה,Israeli
4,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,4,6,21,123211,Eden Hason,['israeli mediterranean'],מה פספסתי,Israeli
5,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,3,4,66,114309,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels),International
6,spotify:track:4DgyTAwiSJsT5u5EljsImB,"Noa Kirel, Itay Galo",פעמון,Noa Kirel / Itay Galo under exclusive license to NMC United Entertainment Ltd.,4,5,7,110426,Noa Kirel,['israeli pop'],פעמון,Israeli
7,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,8,20,106266,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
8,spotify:track:4OuoS8NAur7tj6rMDpTVjJ,Maya Dadon,כמו שאני,Icon Artist Management under exclusive license to D-Music,8,9,6,103322,Maya Dadon,['israeli pop'],כמו שאני,Israeli
9,spotify:track:05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,7,13,101856,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבד על המיטה,Israeli
10,spotify:track:1ZEsqzNBQqyC7VLRTUDopj,"Mor, Avi Aburomi",חצי שלי,2022 Avi Aburomi & Sarit Productions BY PIL LTD,10,10,6,98558,Mor,['israeli pop'],חצי שלי,Israeli
11,spotify:track:6so2IwKQyYFkNv1G0FrZ95,Nunu,ליבינג דה דרים,Neomi Aharoni Gal under exclusive license to D-Music,9,12,10,95464,Nunu,['israeli hip hop'],ליבינג דה דרים,Israeli
12,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,7,13,37,90477,Farruko,"['reggaeton', 'trap latino', 'urbano latino']",La 167,International
13,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,1,11,27,90154,Imagine Dragons,"['modern rock', 'pop', 'rock']",Mercury - Act 1,International
14,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,17,45,88338,Narkis,['israeli pop'],הולכת איתך,Israeli
15,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,14,14,14,87019,Elley Duhé,['alt z'],MIDDLE OF THE NIGHT,International
16,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,Jack Harlow,First Class,Generation Now/Atlantic,16,19,4,84087,Jack Harlow,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",First Class,International
17,spotify:track:4N8FwcfRTju02qsgn9Mcl8,Eden Hason,בואי נישן על זה,Mobile1 Music,17,18,3,83934,Eden Hason,['israeli mediterranean'],בואי נישן על זה,Israeli
18,spotify:track:70Vsir4Wan3TrEzGCIZy0l,Eden Hason,ככה כל יום,Mobile1 Music,9,15,12,83508,Eden Hason,['israeli mediterranean'],ככה כל יום,Israeli
19,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,7,16,23,80635,אודיה,['israeli pop'],אם הייתי צריכה,Israeli
20,spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,18,20,30,80034,Lost Frequencies,"['belgian edm', 'edm', 'pop dance', 'tropical house']",Where Are You Now,International
21,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,2,21,43,76910,The Kid LAROI,['australian hip hop'],F*CK LOVE 3: OVER YOU,International
22,spotify:track:7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,26,27,74730,Eden Hason,['israeli mediterranean'],אלבום 2,Israeli
23,spotify:track:4aqlgwaZNzb94QuHP6y58X,"Omer Adam, Static & Ben El",לכאורה,P.A.I LTD / Gaga Booking,12,23,9,74679,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לכאורה,Israeli
24,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,7,22,24,74266,GAYLE,"['alt z', 'modern alternative pop']",abcdefu,International
25,spotify:track:2liUMhNvpAxRNVAGnz8jNJ,"Static & Ben El, Netta",אפס מאמץ,Mobile1 Music,1,28,44,73308,Static & Ben El,"['israeli pop', 'jewish pop']",שבעה ירחים,Israeli
26,spotify:track:2DB4DdfCFMw1iaR6JaR03a,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,25,25,9,72359,Camila Cabello,"['dance pop', 'pop']",Familia,International
27,spotify:track:6qi83Ret9Yok9PfZWzmdZk,"בנאל בן ציון, שירז אברהם",חסר/ה לי ברמות,Mobile1 Music,13,27,11,72087,בנאל בן ציון,['israeli pop'],חסר/ה לי ברמות,Israeli
28,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,1,24,41,71948,Lil Nas X,['lgbtq+ hip hop'],MONTERO,International
29,spotify:track:18asYwWugKjjsihZ0YvRxO,"Tiësto, Ava Max",The Motto,Atlantic Records,25,29,20,67365,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",The Motto,International
30,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,Atlantic Records UK,6,30,45,65471,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",=,International
31,spotify:track:7xluxbbxxQ8ovB6xrJUlim,"Elai Botner, Avraham Aviv Alush",הכי קרוב אלייך,NMC United Entertainment Ltd.,20,32,91,64307,Elai Botner,['israeli pop'],הכי קרוב אלייך,Israeli
32,spotify:track:66iaD8MCoVnBtqUhuzdglT,Ran Danker,בית משוגעים,NMC United Entertainment Ltd.,1,37,61,64146,Ran Danker,"['festigal', 'israeli pop']",בית משוגעים,Israeli
33,spotify:track:3RBpmZJ0YG9abVBXI2U1UO,Eden Hason,את חסרה לי,Mobile1 Music,1,34,97,64065,Eden Hason,['israeli mediterranean'],אלבום 2,Israeli
34,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,14,31,34,63779,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",=,International
35,spotify:track:3ZT2YK7nfPXq3xCrlWkgt7,Maya Dadon,חוץ ממך,Icon Artist Management under exclusive license to D-Music,2,33,15,63503,Maya Dadon,['israeli pop'],חוץ ממך,Israeli
36,spotify:track:3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,40,86,61631,Marina Maximilian,['israeli pop'],ביחד,Israeli
37,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,13,35,35,61142,Elton John,"['glam rock', 'mellow gold', 'piano rock', 'rock']",The Lockdown Sessions,International
38,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,15,38,22,60699,Jasmin Moallem,['israeli pop'],יחפים,Israeli
39,spotify:track:2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),Chocolate City Music,4,39,33,60049,CKay,"['afro r&b', 'afrobeats']",CKay The First,International
40,spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,Atlantic Records,33,36,15,59768,Charlie Puth,"['pop', 'viral pop']",Light Switch (Instrumental),International
41,spotify:track:3Ng0zyr8FgKhr93QySZrwn,"Omer Adam, Gal Adam",אחים בדם,P.A.I LTD,41,41,3,57552,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",אחים בדם,Israeli
42,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,45,80,56298,Eden Hason,['israeli mediterranean'],אלבום 2,Israeli
43,spotify:track:1rmxF8VNLZ2gXwwzqGJ9tJ,"Eden Hason, Jasmin Moallem, Israel Bidur",שושנים עצובות (ישראל בידור),Sarit Productions LTD / Jasmin Moallem under exclusive license to D-Music,8,136,53,56000,Eden Hason,['israeli mediterranean'],שושנים עצובות (ישראל בידור),Israeli
44,spotify:track:71h6sV5KytTmPARarI28wI,Raviv Kaner,רסיסים,Helicon Aroma Music Ltd.,1,49,93,55976,Raviv Kaner,['israeli pop'],רסיסים,Israeli
45,spotify:track:4Ow0gCGxYfOcyiCuZOt9mp,Avraham Tal,שבוע טוב,Digistage,17,50,99,55968,Avraham Tal,['israeli pop'],שבוע טוב,Israeli
46,spotify:track:1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,Atlantic Records,17,42,22,55561,Jaymes Young,['indie poptimism'],Feel Something,International
47,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,44,44,30,54894,Justin Bieber,"['canadian pop', 'pop']",Justice,International
48,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,9,43,39,54748,Doja Cat,"['dance pop', 'pop']",Planet Her,International
49,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,Columbia,18,46,33,54384,Lil Nas X,['lgbtq+ hip hop'],MONTERO,International
50,spotify:track:5e4PVtYVBu9BpJVhmQhIvS,Hanan Ben Ari,שמש,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,26,47,139,54225,Hanan Ben Ari,['israeli pop'],שמש,Israeli
