rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:2V4A1lYgPT5gjffHHnXwP3,Omer Adam,קאקדילה,P.A.I LTD,1,-1,1,154125,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",קאקדילה,Israeli
2,spotify:track:2liUMhNvpAxRNVAGnz8jNJ,"Static & Ben El, Netta",אפס מאמץ,Mobile1 Music,1,1,27,143093,Static & Ben El,"['israeli pop', 'jewish pop']",שבעה ירחים,Israeli
3,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,2,3,26,134607,The Kid LAROI,['australian hip hop'],F*CK LOVE 3: OVER YOU,International
4,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,2,28,133781,Narkis,['israeli pop'],הולכת איתך,Israeli
5,spotify:track:1r9xUipOqoNwggBpENDsvJ,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,KIDinaKORNER/Interscope Records,4,4,10,125399,Imagine Dragons,"['modern rock', 'pop', 'rock']",Enemy (with JID) [from the series Arcane League of Legends],International
6,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,5,5,49,124710,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Dreamland (+ Bonus Levels),International
7,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,7,9,20,118354,Farruko,"['reggaeton', 'trap latino', 'urbano latino']",La 167,International
8,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,1,8,24,117633,Lil Nas X,['lgbtq+ hip hop'],MONTERO,International
9,spotify:track:5STI4AAzr3uMvdpx4wUSGr,Omer Adam,חורף באוטו,P.A.I LTD,3,6,10,111750,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",חורף באוטו,Israeli
10,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,7,3,108976,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
11,spotify:track:2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),Chocolate City Music,4,10,16,108187,CKay,"['afro r&b', 'afrobeats']",CKay The First,International
12,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,2,14,12,106836,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",30,International
13,spotify:track:6jMCb4UpIBjmiKf6EwVK8u,Omer Adam,חצי דפוק,P.A.I LTD,3,13,23,104586,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",3,Israeli
14,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,11,12,7,103094,GAYLE,"['alt z', 'modern alternative pop']",abcdefu,International
15,spotify:track:6SuC1LItQ9V9SjET2EvvtD,"Agam Buhbut, Shahar Saul",באתי להציל אותך,2021 ZI Productions BY PIL LTD,15,15,10,98255,Agam Buhbut,['israeli mediterranean'],באתי להציל אותך,Israeli
16,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,Atlantic Records UK,6,16,28,98148,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",=,International
17,spotify:track:1KszHjECoMXM3d5y31ZRVl,"Osher Cohen, Noa Kirel",רעשים,A.M Music Productions LTD / P.A.I LTD / Noa Kirel under exclusive license to D-Music,10,11,4,97860,Osher Cohen,['israeli mediterranean'],רעשים,Israeli
18,spotify:track:7rglLriMNBPAyuJOMGwi39,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,13,18,18,95593,Elton John,"['glam rock', 'mellow gold', 'piano rock', 'rock']",The Lockdown Sessions,International
19,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,14,17,17,92245,Ed Sheeran,"['pop', 'singer-songwriter pop', 'uk pop']",=,International
20,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,20,21,6,89994,אודיה,['israeli pop'],אם הייתי צריכה,Israeli
21,spotify:track:4F5i9rkN4DBMysvhzzEHoh,"Eden Ben Zaken, Eden Hason",פילטרים יפים,Sarit Productions LTD / A.M Music Productions LTD under exclusive license to D-Music,15,19,5,84907,Eden Ben Zaken,"['israeli mediterranean', 'israeli pop']",פילטרים יפים,Israeli
22,spotify:track:3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,20,69,84501,Marina Maximilian,['israeli pop'],ביחד,Israeli
23,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,23,24,5,81533,Jasmin Moallem,['israeli pop'],יחפים,Israeli
24,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,9,23,22,81396,Doja Cat,"['dance pop', 'pop']",Planet Her,International
25,spotify:track:66iaD8MCoVnBtqUhuzdglT,Ran Danker,בית משוגעים,NMC United Entertainment Ltd.,1,22,44,75510,Ran Danker,"['festigal', 'israeli pop']",בית משוגעים,Israeli
26,spotify:track:0w4e9A0KryKlPySPdyZQDC,"NOROZ, Ido B & Zooki",מגבת באוויר,NOROZ under exclusive license to D-Music,9,26,18,70137,NOROZ,"['israeli hip hop', 'israeli trap']",מרגיש מוגזם,Israeli
27,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,36,41,69702,Lil Nas X,['lgbtq+ hip hop'],MONTERO,International
28,spotify:track:6sADtPKtORAMZP3GQhOsHv,Ishay Ribo,סיבת הסיבות,2021 Ishay Ribo BY PIL LTD,8,28,45,69232,Ishay Ribo,['israeli pop'],סיבת הסיבות,Israeli
29,spotify:track:7lwBfnN8IVlP6WW702pGH0,"Omer Adam, Tuna",סחרחורת & בדד,P.A.I LTD \ איתי זבולון,7,25,16,68249,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",סחרחורת & בדד,Israeli
30,spotify:track:4qAHhdpiGcbzqwjqmwuXwj,Raviv Kaner,רסיסים,Tedy Productions under exclusive license to D-Music,1,27,76,67900,Raviv Kaner,['israeli pop'],רסיסים,Israeli
31,spotify:track:4Ow0gCGxYfOcyiCuZOt9mp,Avraham Tal,שבוע טוב,Digistage,17,30,82,66866,Avraham Tal,['israeli pop'],שבוע טוב,Israeli
32,spotify:track:6J8hw9Lcrp3zxk9J7s5RmH,Itay Levi,אני כבר לא בך,Mobile1 Music,31,31,3,65061,Itay Levi,"['israeli mediterranean', 'mizrahi']",אני כבר לא בך,Israeli
33,spotify:track:7rNA5Jwu23g7PaXcMwfLdq,Eden Hason,מדליקה לי הכל,Mobile1 Music,7,29,10,64925,Eden Hason,['israeli mediterranean'],אלבום 2,Israeli
34,spotify:track:2SxcL0eba2ILQpJPuBBHsG,Eden Hason,מה פספסתי,Mobile1 Music,33,33,4,64728,Eden Hason,['israeli mediterranean'],מה פספסתי,Israeli
35,spotify:track:0Cq5UOSrvfzJN5pUWx8Prb,Ran Danker,השמלה החדשה שלי,NMC United Entertainment Ltd.,26,41,11,64236,Ran Danker,"['festigal', 'israeli pop']",השמלה החדשה שלי,Israeli
36,spotify:track:16tcNezkJ5VETVDVC4m7gj,Mergui,לא להיות לבד,Mobile1 Music,17,34,11,64058,Mergui,['israeli pop'],לא להיות לבד,Israeli
37,spotify:track:5j36y0eeE3I7kCBYIsKqBF,Eden Ben Zaken,מה קרה,Sarit Productions LTD / Helicon Aroma Music Ltd. under exclusive license to D-Music,37,-1,1,62970,Eden Ben Zaken,"['israeli mediterranean', 'israeli pop']",מה קרה,Israeli
38,spotify:track:5e4PVtYVBu9BpJVhmQhIvS,Hanan Ben Ari,שמש,Hanan Ben Ari / Mor Dahan under exclusive license to D-Music,26,43,122,62353,Hanan Ben Ari,['israeli pop'],שמש,Israeli
39,spotify:track:3A9gSVar0MgHpO86WXeSW9,Itay Levi,הטעות הכי יפה,Mobile1 Music,16,32,32,62044,Itay Levi,"['israeli mediterranean', 'mizrahi']",הטעות הכי יפה,Israeli
40,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,35,63,61903,Eden Hason,['israeli mediterranean'],אלבום 2,Israeli
41,spotify:track:686FdlEzrYCttdUAFByYhI,Eden Hason,לא מרגיש טוב,Mobile1 Music,29,39,6,61352,Eden Hason,['israeli mediterranean'],לא מרגיש טוב,Israeli
42,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,Columbia,18,50,16,61171,Lil Nas X,['lgbtq+ hip hop'],MONTERO,International
43,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,2,53,34,59716,Olivia Rodrigo,['pop'],SOUR,International
44,spotify:track:2gQPv5jvVPqU2a9HhMNO1v,BoyWithUke,Toxic,Republic Records,28,45,12,59078,BoyWithUke,['sad rap'],Toxic,International
45,spotify:track:0XQ39JCh0I9tsKEmwMEH5F,Eliad,אין מאושר ממני,Eliad / Or Mermelstein under exclusive license to D-Music,29,38,8,58858,Eliad,['israeli pop'],מסע,Israeli
46,spotify:track:2Xl1BmPcZakzag2gIRs06i,Eyal Golan,דפוק עם תעודות,Liam Productions under exclusive license to D-Music,40,40,2,58563,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",דפוק עם תעודות,Israeli
47,spotify:track:3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,NaNa Disc,22,37,3,57869,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
48,spotify:track:20on25jryn53hWghthWWW3,"ACRAZE, Cherish",Do It To It,"Thrive Music, LLC",48,56,8,57865,ACRAZE,"['pop dance', 'tech house']",Do It To It,International
49,spotify:track:1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,Atlantic Records,49,66,5,57862,Jaymes Young,['indie poptimism'],Feel Something,International
50,spotify:track:2e33MYvTvmpUPTgOZJbRHf,Osher Cohen,זוגות כאלה,A.M Music Productions LTD / P.A.I LTD,17,42,29,56586,Osher Cohen,['israeli mediterranean'],זוגות כאלה,Israeli
