rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,2,8,291151,Osher Cohen,['israeli mediterranean'],Part II,Israeli
2,spotify:track:0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,1,1,11,289355,Doli & Penn,['israeli pop'],לאהוב אותך כל יום,Israeli
3,spotify:track:3Au0H4VhjcXZ5HGOHo8Nc3,Static,רונדלים,Mobile1 Music,3,4,24,250172,Static,[],לירז,Israeli
4,spotify:track:3mCCFs2hdDM2mObzARzxOg,"STILLA, Ness",תיק קטן,2023 Va’ad Ha Bait records By PIL LTD,1,3,14,232019,סטילה,['israeli hip hop'],תיק קטן,Israeli
5,spotify:track:2b9TjqgLxE6zOZc4DSmYYx,"Noa Kirel, Forever Tel Aviv, Sagi Kariv",פרובוקטיבית,Noa Kirel / Forever Tel Aviv under exclusive license to D-Music,2,5,9,225751,Noa Kirel,['israeli pop'],פרובוקטיבית,Israeli
6,spotify:track:4E5fqKktoOAT3shxlolPBm,Odeya,אינטלקטוערסית,Helicon Aroma Music Ltd.,6,8,7,196459,אודיה,['israeli pop'],אינטלקטוערסית,Israeli
7,spotify:track:3QCWA9RzAPb4Xw4BagADFq,Osher Cohen,ככה וככה,Helicon Aroma Music Ltd./ P.A.I Ltd.,7,7,8,193592,Osher Cohen,['israeli mediterranean'],Part II,Israeli
8,spotify:track:4tpT9xacu03ADQI7utG24C,"Anna Zak, Itay Galo",אולסטאר וגופיות,ITModels / Itay Galo under exclusive license to D-Music,5,6,9,176747,Anna Zak,['israeli pop'],אולסטאר וגופיות,Israeli
9,spotify:track:75sIATEdqHxN7jfNsRCwGl,"עידו בי, ערן יוסף, שגב",ברולטה,Mobile1 Music,6,9,8,166441,עידו בי,[],ברולטה,Israeli
10,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,14,35,163687,Peer Tasi,['israeli mediterranean'],רדיו שטח,Israeli
11,spotify:track:60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,13,25,161235,Osher Cohen,['israeli mediterranean'],אושר,Israeli
12,spotify:track:6NUzJGlQORUv6NjUwcefr8,Eyal Golan,עיר נמל,Liam Productions under exclusive license to D-Music,12,15,19,151155,Eyal Golan,"['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",2023,Israeli
13,spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Dave, Central Cee",Sprinter,Neighbourhood / Live Yours,10,10,9,148569,Dave,['uk hip hop'],Sprinter,International
14,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,11,85,146387,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
15,spotify:track:3k79jB4aGmMDUQzEwa46Rz,Olivia Rodrigo,vampire,Olivia Rodrigo PS,9,12,5,141568,Olivia Rodrigo,['pop'],vampire,International
16,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,20,63,134758,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
17,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,21,55,132600,Benaia Barabi,['israeli mediterranean'],קרן שמש,Israeli
