rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:6dUregFbvUNqHP5nphqesK,Noa Kirel,Unicorn,KAN Israeli Public Broadcasting Corporation under exclusive license to D-Music,1,27,2,418907,Noa Kirel,['israeli pop'],Unicorn,International
2,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,1,15,272539,Peer Tasi,['israeli mediterranean'],רדיו שטח,Israeli
3,spotify:track:1zZ9bah4HU0TtICQzCFXp3,"Avi Aburomi, Mor",אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),2023 Avi Aburomi By PIL LTD,3,3,7,218947,Avi Aburomi,['israeli pop'],אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),Israeli
4,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,2,9,215980,Miley Cyrus,['pop'],Endless Summer Vacation,International
5,spotify:track:1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,5,5,16,188267,Eden Hason,['israeli mediterranean'],עד שתבואי עד אליי,Israeli
6,spotify:track:60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,6,6,5,182699,Osher Cohen,['israeli mediterranean'],אושר,Israeli
7,spotify:track:50uspwzqbMxkpyHzMLwUVy,Static,לירז,Mobile1 Music,4,4,4,178032,Static,[],לירז,Israeli
8,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,7,35,173173,Benaia Barabi,['israeli mediterranean'],קרן שמש,Israeli
9,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,8,39,162678,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live),Israeli
10,spotify:track:3idINUuyRidKbQiMFt6EkU,"Gal Adam, NOROZ",משוגעת,P.A.I LTD / NOROZ under exclusive license to D-Music,4,9,21,155813,Gal Adam,['israeli mediterranean'],משוגעת,Israeli
11,spotify:track:4hTFq8sHEVSDXIxTVe4qHJ,Omer Adam,אני,P.A.I LTD,1,10,13,148535,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",אני,Israeli
12,spotify:track:2QUuLcqNlQUFOuMm4osKdN,Peer Tasi,38,Peer Tasi LTD under exclusive license to D-Music,11,12,15,144829,Peer Tasi,['israeli mediterranean'],רדיו שטח,Israeli
13,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,15,65,140269,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
14,spotify:track:1bd0D0cXcpGeJXsn2Xt8lc,"Odeya, רואי אדם",האמת,Helicon Aroma Music Ltd.,3,13,23,138273,אודיה,['israeli pop'],האמת,Israeli
15,spotify:track:5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,18,31,136725,Noa Kirel,['israeli pop'],פנתרה,Israeli
16,spotify:track:0iTSkLz9biPGVXqTSrkkNd,"Odeya, Noa Kirel",מאמי,Helicon Aroma Music Ltd./ Noa Kirel under exclusive license to NMC United Entertainment Ltd,5,20,13,134858,אודיה,['israeli pop'],מאמי,Israeli
17,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,14,43,129508,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
18,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,6,16,14,126498,SZA,"['pop', 'r&b', 'rap']",SOS,International
19,spotify:track:5I0WaR0LpN4Kn1zwbvd145,"E-Z, Noa Kirel",גושפנקא,Unicell,17,17,13,124996,E-Z,['israeli hip hop'],אייקון,Israeli
20,spotify:track:5gOFp28Edmv4nk8HIwnQfe,Yonatan Kalimi,מי את היום בלעדיי,T.Y Studio & Productions under exclusive license to D-Music,20,33,4,117177,Yonatan Kalimi,['israeli pop'],מי את היום בלעדיי,Israeli
