rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,artist_type
1,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,2,25,208804,Benaia Barabi,['israeli mediterranean'],קרן שמש,Israeli
2,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,3,29,205863,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live),Israeli
3,spotify:track:4hTFq8sHEVSDXIxTVe4qHJ,Omer Adam,אני,P.A.I LTD,1,1,3,179954,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",אני,Israeli
4,spotify:track:1bd0D0cXcpGeJXsn2Xt8lc,"Odeya, רואי אדם",האמת,Helicon Aroma Music Ltd.,3,4,13,160290,אודיה,['israeli pop'],האמת,Israeli
5,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,5,9,19,155244,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),International
6,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,4,7,15,148299,Sam Smith,"['pop', 'uk pop']",Unholy (feat. Kim Petras),International
7,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,8,55,146839,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
8,spotify:track:3idINUuyRidKbQiMFt6EkU,"Gal Adam, NOROZ",משוגעת,P.A.I LTD / NOROZ under exclusive license to D-Music,4,6,11,144429,Gal Adam,['israeli mediterranean'],משוגעת,Israeli
9,spotify:track:0iTSkLz9biPGVXqTSrkkNd,"Odeya, Noa Kirel",מאמי,Helicon Aroma Music Ltd./ Noa Kirel under exclusive license to NMC United Entertainment Ltd,5,5,3,141585,אודיה,['israeli pop'],מאמי,Israeli
10,spotify:track:5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,10,21,138478,Noa Kirel,['israeli pop'],פנתרה,Israeli
11,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,12,33,135944,Eden Hason,['israeli mediterranean'],עושה לי צרות,Israeli
12,spotify:track:0urIdTVIjmPX5i9dsIusQj,Odeya,החיים שלי אחריך,Helicon Aroma Music Ltd.,4,11,6,135109,אודיה,['israeli pop'],החיים שלי אחריך,Israeli
13,spotify:track:1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,11,13,6,120076,Eden Hason,['israeli mediterranean'],עד שתבואי עד אליי,Israeli
14,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,23,40,119384,Harry Styles,['pop'],Harry's House,International
15,spotify:track:6clAq1cGO4PYimAmzelTmL,Shira Margalit,אחותי כבר לא סובלת אותך,Anana Ltd,12,14,6,118466,Shira Margalit,['israeli pop'],אחותי כבר לא סובלת אותך,Israeli
16,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,16,19,4,118083,SZA,"['pop', 'r&b', 'rap']",SOS,International
17,spotify:track:2XNXcmwubbt8MJYlQRb4V2,Odeya,אינטלקטוערס,Helicon Aroma Music Ltd.,6,17,24,116352,אודיה,['israeli pop'],אינטלקטוערס,Israeli
18,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,16,16,5,112649,Metro Boomin,['rap'],HEROES & VILLAINS,International
19,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,12,21,10,112117,Meghan Trainor,"['hip pop', 'pop']",Takin' It Back,International
20,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,15,35,111324,Full Trunk,['israeli rock'],ממותה,Israeli
21,spotify:track:4W1G1xlxcirdtXosgsR0m0,Agam Buhbut,קופידון (Prod. By Triangle),2022 Z.I. Productions BY PIL LTD,10,20,16,108911,Agam Buhbut,['israeli mediterranean'],קופידון (Prod. By Triangle),Israeli
22,spotify:track:3xtK7rFrJvL5hrBu4vFgf7,"Anna Zak, Eden Ben Zaken, Nunu",ראשון בבוקר,Sarit Productions LTD / Helicon Aroma Music LTD / Itmodels / Neomi Aharoni Gal under exclusive license to D-Music,18,18,4,105421,Anna Zak,['israeli pop'],ראשון בבוקר,Israeli
23,spotify:track:3hpaRxH73ciJCuH6QcNWXO,Eden Hason,מטפסים על הקירות,Mobile1 Music,6,25,22,99720,Eden Hason,['israeli mediterranean'],מטפסים על הקירות,Israeli
24,spotify:track:05KQMm1vL6MnJkgobUtwft,Omer Adam,לבד על המיטה,P.A.I LTD,2,22,48,98751,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",לבד על המיטה,Israeli
25,spotify:track:6Eds9y8ZiQHcIegsEIVcYP,"Avraham Tal, Eden Hason",את חסרה לי & אורות,Mobile1 Music,11,24,13,98074,Avraham Tal,['israeli pop'],את חסרה לי & אורות,Israeli
26,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,21,26,60,92419,Tom Odell,['chill pop'],Long Way Down,International
27,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,14,27,28,91769,OneRepublic,"['piano rock', 'pop']","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",International
28,spotify:track:2QUuLcqNlQUFOuMm4osKdN,Peer Tasi,38,Peer Tasi LTD under exclusive license to D-Music,28,58,5,84849,Peer Tasi,['israeli mediterranean'],רדיו שטח,Israeli
29,spotify:track:67PF7VLcYEKKF82ziNf9Ur,"Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,Mobile1 Music,2,31,50,82363,שחר סאול,['israeli hip hop'],דובשנייה,Israeli
30,spotify:track:3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,NaNa Disc,10,29,55,82338,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,Israeli
31,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,26,30,12,81969,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Encore (Deluxe Version),International
32,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,32,33,12,80073,JVKE,"['modern indie pop', 'pov: indie', 'singer-songwriter pop']",this is what ____ feels like (Vol. 1-4),International
33,spotify:track:6tldCcfbfXkLApFllqab7S,"Omer Adam, Idan Raichel",מדברים בשקט (מתוך חזרות למופע NEXT),P.A.I LTD / Helicon Aroma Music LTD / Next,28,28,5,80042,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",מדברים בשקט (מתוך חזרות למופע NEXT),Israeli
34,spotify:track:4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,34,43,5,80010,Peer Tasi,['israeli mediterranean'],רדיו שטח,Israeli
35,spotify:track:68kVzJf0STAv91tuLutuDr,Eden Hason,שקיעות אדומות,Mobile1 Music,2,36,115,79761,Eden Hason,['israeli mediterranean'],אלבום 2,Israeli
36,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,11,34,9,79037,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Her Loss,International
37,spotify:track:0SmY5bTuls1ccput6QhHSA,Adir Getz,"אני אוהב, אני מכור, אני שרוף",Unicell,18,35,28,77358,Adir Getz,['israeli mediterranean'],"אני אוהב, אני מכור, אני שרוף",Israeli
38,spotify:track:2PpTUW96jjJYr8ib8RUnUu,Tuna,י'א 2,Anana Ltd.,38,38,122,75340,Tuna,"['israeli hip hop', 'israeli pop']",טונהפארק,Israeli
39,spotify:track:79h6P8bV0ENtq6Vmhkpewr,Odeya,אם הייתי צריכה,A.M Music Productions LTD,7,39,58,75312,אודיה,['israeli pop'],אם הייתי צריכה,Israeli
40,spotify:track:3yyHRwblo5kk0fH9pfMP6M,"Marina Maximilian, Guy Mentesh",ביחד,Marina Maximilian under exclusive license to D-Music,14,32,121,74884,Marina Maximilian,['israeli pop'],ביחד,Israeli
41,spotify:track:6d8ZHsSyTg6ABLkWNCZdSy,Avi Aburomi,מה עובר לך בראש,2022 Avi Aburomi BY PIL LTD,18,37,20,72923,Avi Aburomi,['israeli pop'],מה עובר לך בראש,Israeli
42,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,8,46,11,72438,Taylor Swift,['pop'],Midnights,International
43,spotify:track:5WxVXxCMRnvxUKFq40ELwq,"RAYE, 070 Shake",Escapism.,Human Re Sources,43,47,5,72354,RAYE,"['uk contemporary r&b', 'uk pop']",Escapism. (Sped Up),International
44,spotify:track:26ffnwQVV4votOweWSwpeN,Narkis,הולכת איתך,session42,2,45,80,72214,Narkis,['israeli pop'],הולכת איתך,Israeli
45,spotify:track:0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,45,53,17,71753,Rema,"['afrobeats', 'nigerian pop']",Calm Down (with Selena Gomez),International
46,spotify:track:73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You - Bonus Track,Atlantic Records,19,40,13,71589,Oliver Tree,['alternative hip hop'],Miss You,International
47,spotify:track:5tNrVA1ySsk7HkV5yg2iXN,"Marina Maximilian, Itay Galo",עולה על שולחנות,Marina Maximilian / Itay Galo under exclusive license to D-Music,17,42,25,71152,Marina Maximilian,['israeli pop'],עולה על שולחנות,Israeli
48,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,15,51,57,69180,Jasmin Moallem,['israeli pop'],יחפים,Israeli
49,spotify:track:01H5jdEyPwM4rhc7gTWLgt,Eden Ben Zaken,כינורות,Sarit Productions LTD / Helicon Aroma Music Ltd. under exclusive license to D-Music,26,41,8,68914,Eden Ben Zaken,"['israeli mediterranean', 'israeli pop']",כינורות,Israeli
50,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,47,48,26,68328,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",AM,International
